date,cases,deaths
2020-03-08,1,0.0
2020-03-09,2,0.0
2020-03-10,2,0.0
2020-03-11,2,0.0
2020-03-12,2,0.0
2020-03-13,2,0.0
2020-03-14,2,0.0
2020-03-15,2,0.0
2020-03-16,3,0.0
2020-03-17,3,0.0
2020-03-18,4,0.0
2020-03-19,4,0.0
2020-03-20,4,0.0
2020-03-21,6,0.0
2020-03-22,8,0.0
2020-03-23,12,0.0
2020-03-24,13,0.0
2020-03-25,15,0.0
2020-03-26,21,0.0
2020-03-27,28,2.0
2020-03-28,36,2.0
2020-03-29,48,1.0
2020-03-30,58,1.0
2020-03-31,70,1.0
2020-04-01,91,1.0
2020-04-02,116,1.0
2020-04-03,138,1.0
2020-04-04,163,4.0
2020-04-05,177,4.0
2020-04-06,197,6.0
2020-04-07,226,6.0
2020-04-08,244,7.0
2020-04-09,259,11.0
2020-04-10,291,12.0
2020-04-11,307,15.0
2020-04-12,321,16.0
2020-04-13,336,16.0
2020-04-14,357,18.0
2020-04-15,367,19.0
2020-04-16,385,22.0
2020-04-17,414,24.0
2020-04-18,442,24.0
2020-04-19,478,24.0
2020-04-20,506,24.0
2020-04-21,519,26.0
2020-04-22,527,28.0
2020-04-23,577,33.0
2020-04-24,594,34.0
2020-04-25,623,34.0
2020-04-26,656,38.0
2020-04-27,656,36.0
2020-04-28,658,38.0
2020-04-29,671,40.0
2020-04-30,681,42.0
2020-05-01,716,49.0
2020-05-02,761,51.0
2020-05-03,780,51.0
2020-05-04,790,51.0
2020-05-05,801,54.0
2020-05-06,899,56.0
2020-05-07,910,60.0
2020-05-08,944,63.0
2020-05-09,969,65.0
2020-05-10,976,65.0
2020-05-11,991,66.0
2020-05-12,1003,68.0
2020-05-13,1007,69.0
2020-05-14,1015,70.0
2020-05-15,1030,70.0
2020-05-16,1038,73.0
2020-05-17,1050,74.0
2020-05-18,1057,74.0
2020-05-19,1068,74.0
2020-05-20,1079,74.0
2020-05-21,1106,76.0
2020-05-22,1114,76.0
2020-05-23,1123,78.0
2020-05-24,1137,78.0
2020-05-25,1143,80.0
2020-05-26,1150,80.0
2020-05-27,1155,80.0
2020-05-28,1162,81.0
2020-05-29,1182,85.0
2020-05-30,1187,85.0
2020-05-31,1190,85.0
2020-06-01,1192,85.0
2020-06-02,1198,87.0
2020-06-03,1201,88.0
2020-06-04,1213,90.0
2020-06-05,1225,92.0
2020-06-06,1233,93.0
