date,cases,deaths
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,2,0.0
2020-03-17,2,0.0
2020-03-18,2,0.0
2020-03-19,5,0.0
2020-03-20,5,0.0
2020-03-21,5,0.0
2020-03-22,6,0.0
2020-03-23,6,0.0
2020-03-24,6,0.0
2020-03-25,6,1.0
2020-03-26,6,1.0
2020-03-27,7,1.0
2020-03-28,9,1.0
2020-03-29,13,2.0
2020-03-30,15,2.0
2020-03-31,17,2.0
2020-04-01,21,2.0
2020-04-02,25,3.0
2020-04-03,26,3.0
2020-04-04,28,3.0
2020-04-05,28,3.0
2020-04-06,33,3.0
2020-04-07,38,5.0
2020-04-08,45,5.0
2020-04-09,43,5.0
2020-04-10,47,5.0
2020-04-11,47,5.0
2020-04-12,49,5.0
2020-04-13,51,5.0
2020-04-14,51,5.0
2020-04-15,61,5.0
2020-04-16,62,5.0
2020-04-17,62,5.0
2020-04-18,69,5.0
2020-04-19,69,5.0
2020-04-20,73,5.0
2020-04-21,72,5.0
2020-04-22,76,5.0
2020-04-23,77,5.0
2020-04-24,82,5.0
2020-04-25,84,6.0
2020-04-26,118,6.0
2020-04-27,153,6.0
2020-04-28,159,6.0
2020-04-29,170,6.0
2020-04-30,173,6.0
2020-05-01,177,8.0
2020-05-02,186,10.0
2020-05-03,192,10.0
2020-05-04,203,10.0
2020-05-05,212,10.0
2020-05-06,221,10.0
2020-05-07,226,10.0
2020-05-08,235,10.0
2020-05-09,243,10.0
2020-05-10,246,10.0
2020-05-11,257,10.0
2020-05-12,261,10.0
2020-05-13,259,10.0
2020-05-14,261,11.0
2020-05-15,264,12.0
2020-05-16,287,12.0
2020-05-17,287,12.0
2020-05-18,299,13.0
2020-05-19,306,15.0
2020-05-20,334,18.0
2020-05-21,339,18.0
2020-05-22,342,18.0
2020-05-23,347,18.0
2020-05-24,348,18.0
2020-05-25,359,19.0
2020-05-26,368,20.0
2020-05-27,380,22.0
2020-05-28,382,26.0
2020-05-29,399,28.0
2020-05-30,408,30.0
2020-05-31,412,30.0
2020-06-01,419,30.0
2020-06-02,433,36.0
2020-06-03,441,36.0
2020-06-04,444,38.0
2020-06-05,446,38.0
2020-06-06,448,39.0
2020-06-07,448,39.0
2020-06-08,450,40.0
2020-06-09,454,44.0
2020-06-10,456,45.0
2020-06-11,459,47.0
2020-06-12,463,47.0
2020-06-13,468,48.0
2020-06-14,474,48.0
2020-06-15,477,48.0
2020-06-16,481,50.0
2020-06-17,484,50.0
2020-06-18,497,50.0
2020-06-19,499,51.0
2020-06-20,502,51.0
2020-06-21,504,51.0
2020-06-22,505,52.0
2020-06-23,506,53.0
2020-06-24,514,53.0
2020-06-25,529,53.0
2020-06-26,532,54.0
2020-06-27,541,58.0
2020-06-28,542,58.0
2020-06-29,543,58.0
2020-06-30,547,59.0
2020-07-01,548,59.0
2020-07-02,555,60.0
2020-07-03,565,60.0
2020-07-04,570,60.0
2020-07-05,580,60.0
2020-07-06,582,60.0
2020-07-07,585,60.0
2020-07-08,585,61.0
2020-07-09,587,61.0
2020-07-10,599,61.0
2020-07-11,603,61.0
2020-07-12,612,61.0
2020-07-13,615,61.0
2020-07-14,622,61.0
2020-07-15,626,61.0
2020-07-16,641,61.0
2020-07-17,644,61.0
2020-07-18,657,62.0
2020-07-19,671,62.0
2020-07-20,679,62.0
2020-07-21,689,63.0
2020-07-22,694,63.0
2020-07-23,711,64.0
2020-07-24,727,64.0
2020-07-25,739,64.0
2020-07-26,745,66.0
2020-07-27,758,66.0
2020-07-28,765,66.0
2020-07-29,770,66.0
2020-07-30,784,66.0
2020-07-31,793,67.0
2020-08-01,805,67.0
2020-08-02,811,67.0
2020-08-03,817,68.0
2020-08-04,831,68.0
2020-08-05,836,68.0
2020-08-06,862,68.0
2020-08-07,879,68.0
2020-08-08,891,68.0
2020-08-09,897,68.0
2020-08-10,912,68.0
2020-08-11,920,68.0
2020-08-12,927,68.0
2020-08-13,945,68.0
2020-08-14,956,68.0
2020-08-15,974,68.0
2020-08-16,988,68.0
2020-08-17,991,64.0
2020-08-18,997,64.0
2020-08-19,998,64.0
2020-08-20,1006,64.0
2020-08-21,1016,64.0
2020-08-22,1022,64.0
2020-08-23,1030,64.0
2020-08-24,1034,64.0
2020-08-25,1039,64.0
2020-08-26,1043,64.0
2020-08-27,1052,64.0
2020-08-28,1054,64.0
2020-08-29,1064,64.0
2020-08-30,1075,65.0
2020-08-31,1087,65.0
2020-09-01,1094,65.0
2020-09-02,1101,65.0
2020-09-03,1124,65.0
2020-09-04,1139,65.0
2020-09-05,1144,65.0
2020-09-06,1154,65.0
2020-09-07,1163,65.0
2020-09-08,1167,65.0
2020-09-09,1175,65.0
2020-09-10,1183,65.0
2020-09-11,1197,65.0
2020-09-12,1222,65.0
2020-09-13,1227,65.0
2020-09-14,1239,65.0
2020-09-15,1243,66.0
2020-09-16,1255,66.0
2020-09-17,1259,66.0
2020-09-18,1269,66.0
2020-09-19,1278,66.0
2020-09-20,1283,66.0
2020-09-21,1285,66.0
2020-09-22,1293,66.0
2020-09-23,1298,66.0
2020-09-24,1300,66.0
2020-09-25,1313,66.0
2020-09-26,1321,66.0
2020-09-27,1326,66.0
2020-09-28,1334,66.0
2020-09-29,1347,67.0
2020-09-30,1349,67.0
2020-10-01,1371,67.0
2020-10-02,1393,67.0
2020-10-03,1402,67.0
2020-10-04,1415,67.0
2020-10-05,1425,67.0
2020-10-06,1435,67.0
2020-10-07,1440,67.0
2020-10-08,1455,67.0
2020-10-09,1470,68.0
2020-10-10,1485,68.0
2020-10-11,1492,68.0
2020-10-12,1501,68.0
2020-10-13,1512,69.0
2020-10-14,1515,69.0
2020-10-15,1523,69.0
2020-10-16,1538,69.0
2020-10-17,1556,69.0
2020-10-18,1561,69.0
2020-10-19,1582,69.0
2020-10-20,1596,69.0
2020-10-21,1608,69.0
2020-10-22,1632,69.0
2020-10-23,1648,69.0
2020-10-24,1678,69.0
2020-10-25,1692,69.0
2020-10-26,1702,69.0
2020-10-27,1709,69.0
2020-10-28,1733,69.0
2020-10-29,1770,70.0
2020-10-30,1793,70.0
2020-10-31,1819,71.0
2020-11-01,1836,71.0
2020-11-02,1854,71.0
2020-11-03,1878,72.0
2020-11-04,1908,72.0
2020-11-05,1955,72.0
2020-11-06,2003,73.0
2020-11-07,2049,74.0
2020-11-08,2083,74.0
2020-11-09,2107,74.0
2020-11-10,2142,74.0
2020-11-11,2181,74.0
2020-11-12,2258,74.0
2020-11-13,2325,74.0
2020-11-14,2389,74.0
2020-11-15,2441,74.0
2020-11-16,2459,75.0
2020-11-17,2543,76.0
2020-11-18,2612,76.0
2020-11-19,2901,76.0
2020-11-20,3026,78.0
2020-11-21,3124,78.0
2020-11-22,3222,78.0
2020-11-23,3264,78.0
2020-11-24,3358,78.0
2020-11-25,3451,80.0
2020-11-26,3588,80.0
2020-11-27,3650,80.0
2020-11-28,3712,81.0
2020-11-29,3803,81.0
2020-11-30,3838,81.0
2020-12-01,3914,81.0
2020-12-02,4014,81.0
2020-12-03,4185,83.0
2020-12-04,4314,83.0
2020-12-05,4442,85.0
2020-12-06,4570,85.0
2020-12-07,4625,85.0
2020-12-08,4715,87.0
2020-12-09,4851,89.0
2020-12-10,4996,91.0
2020-12-11,5114,92.0
2020-12-12,5250,92.0
2020-12-13,5352,91.0
2020-12-14,5403,91.0
2020-12-15,5441,92.0
2020-12-16,5576,94.0
2020-12-17,5665,95.0
2020-12-18,5806,104.0
2020-12-19,5872,104.0
2020-12-20,5972,105.0
2020-12-21,6006,105.0
2020-12-22,6049,110.0
2020-12-23,6153,112.0
2020-12-24,6255,114.0
2020-12-25,6346,114.0
2020-12-26,6378,114.0
2020-12-27,6398,115.0
2020-12-28,6421,117.0
2020-12-29,6470,118.0
2020-12-30,6559,122.0
2020-12-31,6662,123.0
2021-01-01,6733,124.0
2021-01-02,6825,124.0
2021-01-03,6856,126.0
2021-01-04,6883,126.0
