date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,3,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,6,0
2020-04-07,6,0
2020-04-08,7,0
2020-04-09,10,0
2020-04-10,10,0
2020-04-11,13,0
2020-04-12,12,0
2020-04-13,12,0
2020-04-14,16,0
2020-04-15,15,0
2020-04-16,15,0
2020-04-17,18,0
2020-04-18,18,0
2020-04-19,18,0
2020-04-20,20,0
2020-04-21,21,0
2020-04-22,21,0
2020-04-23,23,0
2020-04-24,23,0
2020-04-25,23,0
2020-04-26,23,0
2020-04-27,27,0
2020-04-28,27,0
2020-04-29,27,0
2020-04-30,27,0
2020-05-01,30,0
2020-05-02,31,0
2020-05-03,31,0
2020-05-04,31,0
2020-05-05,31,0
2020-05-06,31,0
2020-05-07,33,0
2020-05-08,35,0
2020-05-09,35,0
2020-05-10,36,0
2020-05-11,36,0
2020-05-12,36,0
2020-05-13,36,0
2020-05-14,36,1
2020-05-15,36,1
2020-05-16,35,1
2020-05-17,36,1
2020-05-18,40,1
2020-05-19,41,1
2020-05-20,42,1
2020-05-21,42,1
2020-05-22,42,1
2020-05-23,42,1
2020-05-24,42,1
2020-05-25,42,1
2020-05-26,42,1
2020-05-27,43,1
2020-05-28,44,1
2020-05-29,44,1
2020-05-30,46,1
2020-05-31,46,1
2020-06-01,46,1
2020-06-02,47,1
2020-06-03,48,1
2020-06-04,50,1
2020-06-05,50,1
2020-06-06,50,1
2020-06-07,50,1
2020-06-08,52,1
2020-06-09,53,1
2020-06-10,52,1
2020-06-11,52,1
2020-06-12,53,1
2020-06-13,54,1
2020-06-14,54,1
2020-06-15,54,1
2020-06-16,54,1
2020-06-17,55,1
2020-06-18,56,1
2020-06-19,56,1
2020-06-20,57,1
2020-06-21,57,1
2020-06-22,57,1
2020-06-23,59,1
2020-06-24,59,1
2020-06-25,59,1
2020-06-26,59,1
2020-06-27,63,1
2020-06-28,64,1
2020-06-29,64,1
2020-06-30,65,1
2020-07-01,66,1
2020-07-02,67,1
2020-07-03,71,1
2020-07-04,73,2
2020-07-05,73,2
2020-07-06,73,2
2020-07-07,73,2
2020-07-08,77,2
2020-07-09,79,2
2020-07-10,79,2
2020-07-11,87,2
2020-07-12,88,2
2020-07-13,88,2
2020-07-14,94,2
2020-07-15,99,2
2020-07-16,112,2
2020-07-17,117,2
2020-07-18,123,2
2020-07-19,125,2
2020-07-20,126,2
2020-07-21,134,2
2020-07-22,137,2
2020-07-23,138,2
2020-07-24,139,2
2020-07-25,143,2
2020-07-26,143,2
2020-07-27,144,2
2020-07-28,146,2
2020-07-29,146,2
2020-07-30,146,2
2020-07-31,146,2
2020-08-01,149,2
2020-08-02,150,2
2020-08-03,150,2
2020-08-04,153,2
2020-08-05,154,2
2020-08-06,154,2
2020-08-07,156,2
2020-08-08,161,2
2020-08-09,164,2
2020-08-10,166,2
2020-08-11,168,2
2020-08-12,167,2
2020-08-13,173,2
2020-08-14,176,2
2020-08-15,181,2
2020-08-16,185,2
2020-08-17,185,2
2020-08-18,188,2
2020-08-19,190,2
2020-08-20,192,2
2020-08-21,193,3
2020-08-22,194,3
2020-08-23,194,3
2020-08-24,199,3
2020-08-25,200,3
2020-08-26,201,3
2020-08-27,204,3
2020-08-28,205,3
2020-08-29,206,3
2020-08-30,206,3
2020-08-31,208,3
2020-09-01,212,3
2020-09-02,212,3
2020-09-03,213,3
2020-09-04,218,3
2020-09-05,220,3
2020-09-06,220,3
2020-09-07,223,3
2020-09-08,224,3
2020-09-09,227,3
2020-09-10,227,3
2020-09-11,228,3
2020-09-12,230,3
2020-09-13,231,3
2020-09-14,232,3
2020-09-15,233,3
2020-09-16,235,3
2020-09-17,237,3
2020-09-18,239,3
2020-09-19,241,3
2020-09-20,244,3
2020-09-21,244,3
2020-09-22,245,3
2020-09-23,245,3
2020-09-24,248,3
2020-09-25,249,3
2020-09-26,249,3
2020-09-27,249,3
2020-09-28,251,3
2020-09-29,253,3
2020-09-30,255,3
2020-10-01,255,3
2020-10-02,259,3
2020-10-03,264,3
2020-10-04,268,3
2020-10-05,269,3
2020-10-06,279,3
2020-10-07,273,3
2020-10-08,275,3
2020-10-09,289,4
2020-10-10,298,4
2020-10-11,306,4
2020-10-12,308,4
2020-10-13,309,4
2020-10-14,315,4
2020-10-15,317,4
2020-10-16,322,4
2020-10-17,326,4
2020-10-18,328,5
2020-10-19,329,5
2020-10-20,331,5
2020-10-21,331,5
2020-10-22,342,5
2020-10-23,344,5
2020-10-24,346,5
2020-10-25,353,5
2020-10-26,366,5
2020-10-27,366,5
2020-10-28,410,5
2020-10-29,417,5
2020-10-30,424,5
2020-10-31,441,5
