date,cases,deaths
2020-03-09,1,0.0
2020-03-10,1,0.0
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,3,0.0
2020-04-02,3,0.0
2020-04-03,5,0.0
2020-04-04,9,0.0
2020-04-05,11,1.0
2020-04-06,10,1.0
2020-04-07,11,1.0
2020-04-08,11,1.0
2020-04-09,13,1.0
2020-04-10,14,1.0
2020-04-11,14,1.0
2020-04-12,14,1.0
2020-04-13,15,1.0
2020-04-14,17,1.0
2020-04-15,25,1.0
2020-04-16,27,1.0
2020-04-17,29,1.0
2020-04-18,35,3.0
2020-04-19,37,4.0
2020-04-20,39,5.0
2020-04-21,41,5.0
2020-04-22,46,5.0
2020-04-23,48,5.0
2020-04-24,52,5.0
2020-04-25,52,6.0
2020-04-26,55,8.0
2020-04-27,57,8.0
2020-04-28,59,10.0
2020-04-29,69,12.0
2020-04-30,70,13.0
2020-05-01,72,13.0
2020-05-02,85,15.0
2020-05-03,84,15.0
2020-05-04,87,15.0
2020-05-05,123,15.0
2020-05-06,124,15.0
2020-05-07,125,15.0
2020-05-08,128,15.0
2020-05-09,129,15.0
2020-05-10,133,16.0
2020-05-11,136,16.0
2020-05-12,137,17.0
2020-05-13,143,18.0
2020-05-14,145,18.0
2020-05-15,148,20.0
2020-05-16,149,21.0
2020-05-17,153,21.0
2020-05-18,153,21.0
2020-05-19,153,21.0
2020-05-20,156,21.0
2020-05-21,163,21.0
2020-05-22,169,21.0
2020-05-23,176,21.0
2020-05-24,183,21.0
2020-05-25,187,21.0
2020-05-26,191,22.0
2020-05-27,194,22.0
2020-05-28,206,22.0
2020-05-29,213,22.0
2020-05-30,230,22.0
2020-05-31,234,22.0
2020-06-01,239,22.0
2020-06-02,240,22.0
2020-06-03,253,22.0
2020-06-04,270,22.0
2020-06-05,280,22.0
2020-06-06,288,22.0
2020-06-07,298,23.0
2020-06-08,301,23.0
2020-06-09,307,24.0
2020-06-10,312,26.0
2020-06-11,313,25.0
2020-06-12,320,26.0
2020-06-13,324,28.0
2020-06-14,333,28.0
2020-06-15,339,28.0
2020-06-16,343,28.0
2020-06-17,348,28.0
2020-06-18,356,28.0
2020-06-19,360,28.0
2020-06-20,358,28.0
2020-06-21,369,28.0
2020-06-22,376,28.0
2020-06-23,378,28.0
2020-06-24,385,29.0
2020-06-25,395,29.0
2020-06-26,407,29.0
2020-06-27,420,29.0
2020-06-28,430,29.0
2020-06-29,434,29.0
2020-06-30,437,29.0
2020-07-01,450,29.0
2020-07-02,454,29.0
2020-07-03,460,29.0
2020-07-04,472,29.0
2020-07-05,481,29.0
2020-07-06,486,29.0
2020-07-07,488,29.0
2020-07-08,489,29.0
2020-07-09,495,29.0
2020-07-10,505,29.0
2020-07-11,517,29.0
2020-07-12,524,29.0
2020-07-13,528,29.0
2020-07-14,530,29.0
2020-07-15,534,29.0
2020-07-16,540,29.0
2020-07-17,550,29.0
2020-07-18,555,29.0
2020-07-19,560,29.0
2020-07-20,570,29.0
2020-07-21,578,29.0
2020-07-22,583,29.0
