date,cases,deaths
2020-03-22,1,1
2020-03-23,1,1
2020-03-24,1,1
2020-03-25,1,1
2020-03-26,1,1
2020-03-27,1,1
2020-03-28,1,1
2020-03-29,1,1
2020-03-30,1,1
2020-03-31,1,1
2020-04-01,1,1
2020-04-02,5,1
2020-04-03,6,1
2020-04-04,7,1
2020-04-05,8,1
2020-04-06,7,1
2020-04-07,8,1
2020-04-08,11,2
2020-04-09,12,2
2020-04-10,12,2
2020-04-11,14,2
2020-04-12,17,2
2020-04-13,17,2
2020-04-14,17,2
2020-04-15,17,2
2020-04-16,19,2
2020-04-17,20,2
2020-04-18,22,2
2020-04-19,24,2
2020-04-20,24,2
2020-04-21,25,2
2020-04-22,27,2
2020-04-23,28,2
2020-04-24,33,2
2020-04-25,36,2
2020-04-26,37,2
2020-04-27,38,2
2020-04-28,39,2
2020-04-29,41,2
2020-04-30,46,2
2020-05-01,47,2
2020-05-02,51,2
2020-05-03,52,2
2020-05-04,52,2
2020-05-05,54,2
2020-05-06,54,2
2020-05-07,63,2
2020-05-08,73,2
2020-05-09,79,2
2020-05-10,81,2
2020-05-11,81,2
2020-05-12,85,2
2020-05-13,89,2
2020-05-14,90,2
2020-05-15,91,2
2020-05-16,94,2
2020-05-17,97,2
2020-05-18,98,2
2020-05-19,99,2
2020-05-20,102,3
2020-05-21,106,3
2020-05-22,107,3
2020-05-23,116,3
2020-05-24,117,3
2020-05-25,119,3
2020-05-26,119,3
2020-05-27,119,3
2020-05-28,121,3
2020-05-29,120,3
2020-05-30,120,3
2020-05-31,121,3
2020-06-01,121,3
2020-06-02,122,3
2020-06-03,123,3
2020-06-04,127,3
