date,cases,deaths
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,4,0
2020-03-26,7,0
2020-03-27,8,1
2020-03-28,11,1
2020-03-29,11,1
2020-03-30,14,1
2020-03-31,14,1
2020-04-01,18,1
2020-04-02,19,1
2020-04-03,26,1
2020-04-04,28,1
2020-04-05,29,1
2020-04-06,34,1
2020-04-07,36,1
2020-04-08,38,1
2020-04-09,40,1
2020-04-10,42,1
2020-04-11,43,1
2020-04-12,45,1
2020-04-13,45,1
2020-04-14,46,1
2020-04-15,46,2
2020-04-16,51,2
2020-04-17,53,2
2020-04-18,55,2
2020-04-19,56,2
2020-04-20,58,2
2020-04-21,59,2
2020-04-22,59,2
2020-04-23,62,2
2020-04-24,64,2
2020-04-25,71,2
2020-04-26,75,2
2020-04-27,90,2
2020-04-28,95,2
2020-04-29,102,2
2020-04-30,110,2
2020-05-01,115,2
2020-05-02,121,2
2020-05-03,157,2
2020-05-04,182,2
2020-05-05,191,2
2020-05-06,198,2
2020-05-07,203,2
2020-05-08,208,2
2020-05-09,226,2
2020-05-10,234,2
2020-05-11,245,2
2020-05-12,249,2
2020-05-13,262,2
2020-05-14,269,2
2020-05-15,282,2
2020-05-16,292,2
2020-05-17,304,2
2020-05-18,308,2
2020-05-19,315,2
2020-05-20,333,3
2020-05-21,344,3
2020-05-22,350,3
2020-05-23,358,3
2020-05-24,371,3
2020-05-25,375,3
2020-05-26,377,3
2020-05-27,382,3
2020-05-28,384,3
2020-05-29,392,3
2020-05-30,395,3
2020-05-31,404,3
2020-06-01,416,3
2020-06-02,420,4
2020-06-03,423,4
2020-06-04,431,4
2020-06-05,436,4
2020-06-06,443,4
2020-06-07,455,5
2020-06-08,458,5
2020-06-09,462,5
2020-06-10,468,5
2020-06-11,468,5
2020-06-12,474,5
2020-06-13,481,5
2020-06-14,488,5
2020-06-15,493,5
2020-06-16,494,5
2020-06-17,500,7
2020-06-18,509,8
2020-06-19,513,8
2020-06-20,529,8
2020-06-21,533,8
2020-06-22,542,8
2020-06-23,544,9
2020-06-24,547,9
2020-06-25,558,9
2020-06-26,582,9
2020-06-27,602,9
2020-06-28,612,9
2020-06-29,627,9
2020-06-30,636,9
2020-07-01,643,9
2020-07-02,662,9
2020-07-03,680,9
2020-07-04,697,9
2020-07-05,718,9
2020-07-06,729,9
2020-07-07,730,10
2020-07-08,738,10
2020-07-09,746,10
2020-07-10,762,10
2020-07-11,773,10
2020-07-12,782,10
2020-07-13,788,10
2020-07-14,798,11
2020-07-15,805,11
2020-07-16,817,11
2020-07-17,829,11
2020-07-18,855,11
2020-07-19,878,11
2020-07-20,889,11
2020-07-21,892,11
2020-07-22,910,12
2020-07-23,924,12
2020-07-24,945,12
2020-07-25,963,12
2020-07-26,975,12
2020-07-27,982,12
2020-07-28,1000,12
2020-07-29,1022,12
2020-07-30,1034,12
2020-07-31,1056,12
2020-08-01,1088,12
2020-08-02,1097,12
2020-08-03,1106,12
2020-08-04,1121,12
2020-08-05,1126,12
2020-08-06,1149,12
2020-08-07,1180,12
2020-08-08,1192,12
2020-08-09,1214,12
2020-08-10,1224,12
2020-08-11,1241,12
2020-08-12,1248,12
2020-08-13,1266,13
