date,cases,deaths
2020-05-17,1,0.0
2020-05-18,1,0.0
2020-05-19,1,0.0
2020-05-20,3,0.0
2020-05-21,3,0.0
2020-05-22,4,0.0
2020-05-23,4,0.0
2020-05-24,5,0.0
2020-05-25,5,0.0
2020-05-26,6,0.0
2020-05-27,7,0.0
2020-05-28,7,0.0
2020-05-29,7,0.0
2020-05-30,7,0.0
2020-05-31,7,0.0
2020-06-01,7,0.0
2020-06-02,7,0.0
2020-06-03,7,0.0
2020-06-04,7,0.0
2020-06-05,7,0.0
2020-06-06,7,0.0
2020-06-07,7,0.0
2020-06-08,7,0.0
2020-06-09,7,0.0
2020-06-10,7,0.0
2020-06-11,7,0.0
2020-06-12,7,0.0
2020-06-13,7,0.0
2020-06-14,7,0.0
2020-06-15,8,0.0
2020-06-16,8,0.0
2020-06-17,8,0.0
2020-06-18,7,0.0
2020-06-19,7,0.0
2020-06-20,7,0.0
2020-06-21,7,0.0
2020-06-22,7,0.0
2020-06-23,7,0.0
2020-06-24,7,0.0
2020-06-25,7,0.0
2020-06-26,8,0.0
2020-06-27,8,0.0
2020-06-28,8,0.0
2020-06-29,8,0.0
2020-06-30,8,0.0
2020-07-01,8,0.0
2020-07-02,8,0.0
2020-07-03,8,0.0
2020-07-04,8,0.0
2020-07-05,8,0.0
2020-07-06,8,0.0
2020-07-07,8,0.0
2020-07-08,8,0.0
2020-07-09,8,0.0
2020-07-10,8,0.0
2020-07-11,8,0.0
2020-07-12,8,0.0
2020-07-13,8,0.0
2020-07-14,8,0.0
2020-07-15,8,0.0
2020-07-16,10,0.0
2020-07-17,12,0.0
2020-07-18,12,0.0
2020-07-19,12,0.0
2020-07-20,12,0.0
2020-07-21,12,0.0
2020-07-22,12,0.0
2020-07-23,12,0.0
2020-07-24,12,0.0
2020-07-25,12,0.0
2020-07-26,13,0.0
2020-07-27,13,0.0
2020-07-28,13,0.0
2020-07-29,15,0.0
2020-07-30,15,0.0
2020-07-31,15,0.0
2020-08-01,16,0.0
2020-08-02,16,0.0
2020-08-03,16,0.0
2020-08-04,16,0.0
2020-08-05,16,0.0
2020-08-06,16,0.0
2020-08-07,16,0.0
2020-08-08,16,0.0
2020-08-09,16,0.0
2020-08-10,16,0.0
2020-08-11,16,0.0
2020-08-12,17,0.0
2020-08-13,17,0.0
2020-08-14,17,0.0
2020-08-15,17,0.0
2020-08-16,17,0.0
2020-08-17,17,0.0
2020-08-18,17,0.0
2020-08-19,18,0.0
2020-08-20,20,0.0
2020-08-21,20,0.0
2020-08-22,20,0.0
2020-08-23,20,0.0
2020-08-24,20,0.0
2020-08-25,20,0.0
2020-08-26,20,0.0
2020-08-27,20,0.0
2020-08-28,20,0.0
2020-08-29,20,0.0
2020-08-30,22,0.0
2020-08-31,22,0.0
2020-09-01,22,0.0
2020-09-02,22,0.0
2020-09-03,23,0.0
2020-09-04,23,0.0
2020-09-05,23,0.0
2020-09-06,23,0.0
2020-09-07,23,0.0
2020-09-08,23,0.0
2020-09-09,23,0.0
2020-09-10,23,0.0
2020-09-11,25,0.0
