date,cases,deaths
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,1.0
2020-04-06,1,1.0
2020-04-07,1,1.0
2020-04-08,1,1.0
2020-04-09,1,1.0
2020-04-10,1,1.0
2020-04-11,1,1.0
2020-04-12,1,1.0
2020-04-13,1,1.0
2020-04-14,1,1.0
2020-04-15,1,1.0
2020-04-16,2,1.0
2020-04-17,2,1.0
2020-04-18,2,2.0
2020-04-19,2,2.0
2020-04-20,2,2.0
2020-04-21,2,2.0
2020-04-22,2,2.0
2020-04-23,2,2.0
2020-04-24,2,2.0
2020-04-25,2,2.0
2020-04-26,2,2.0
2020-04-27,2,2.0
2020-04-28,2,2.0
2020-04-29,2,2.0
2020-04-30,2,2.0
2020-05-01,3,2.0
2020-05-02,3,2.0
2020-05-03,3,2.0
2020-05-04,4,3.0
2020-05-05,4,3.0
2020-05-06,4,3.0
2020-05-07,6,3.0
2020-05-08,6,3.0
2020-05-09,6,3.0
2020-05-10,6,3.0
2020-05-11,6,3.0
2020-05-12,7,3.0
2020-05-13,7,3.0
2020-05-14,7,3.0
2020-05-15,7,3.0
2020-05-16,7,3.0
2020-05-17,8,3.0
2020-05-18,8,3.0
2020-05-19,8,3.0
2020-05-20,8,3.0
2020-05-21,8,3.0
2020-05-22,8,3.0
2020-05-23,8,3.0
2020-05-24,12,3.0
2020-05-25,12,3.0
2020-05-26,13,3.0
2020-05-27,13,3.0
2020-05-28,14,3.0
2020-05-29,14,3.0
2020-05-30,15,3.0
2020-05-31,15,3.0
2020-06-01,14,3.0
2020-06-02,14,3.0
2020-06-03,14,3.0
2020-06-04,17,3.0
2020-06-05,17,3.0
2020-06-06,17,3.0
2020-06-07,17,3.0
2020-06-08,16,3.0
2020-06-09,16,3.0
2020-06-10,16,3.0
2020-06-11,16,3.0
2020-06-12,16,3.0
2020-06-13,16,3.0
2020-06-14,17,3.0
2020-06-15,17,3.0
2020-06-16,17,3.0
2020-06-17,17,3.0
2020-06-18,18,3.0
2020-06-19,18,3.0
2020-06-20,18,3.0
2020-06-21,20,3.0
2020-06-22,20,3.0
2020-06-23,20,3.0
2020-06-24,20,3.0
2020-06-25,20,3.0
2020-06-26,20,3.0
2020-06-27,20,3.0
2020-06-28,20,3.0
2020-06-29,20,3.0
2020-06-30,20,3.0
2020-07-01,20,3.0
2020-07-02,20,3.0
2020-07-03,20,3.0
2020-07-04,20,3.0
2020-07-05,20,3.0
2020-07-06,21,3.0
2020-07-07,21,3.0
2020-07-08,21,3.0
2020-07-09,21,3.0
2020-07-10,21,3.0
2020-07-11,21,3.0
2020-07-12,22,3.0
2020-07-13,24,3.0
2020-07-14,29,3.0
2020-07-15,30,3.0
2020-07-16,30,3.0
2020-07-17,33,3.0
2020-07-18,33,3.0
2020-07-19,34,3.0
2020-07-20,34,3.0
2020-07-21,34,3.0
2020-07-22,34,3.0
2020-07-23,34,3.0
2020-07-24,34,3.0
