date,cases,deaths
2020-03-22,2,0.0
2020-03-23,2,0.0
2020-03-24,2,0.0
2020-03-25,2,0.0
2020-03-26,2,0.0
2020-03-27,3,0.0
2020-03-28,4,0.0
2020-03-29,6,0.0
2020-03-30,7,0.0
2020-03-31,7,0.0
2020-04-01,8,0.0
2020-04-02,10,0.0
2020-04-03,10,0.0
2020-04-04,10,0.0
2020-04-05,10,0.0
2020-04-06,12,0.0
2020-04-07,12,0.0
2020-04-08,12,0.0
2020-04-09,13,0.0
2020-04-10,13,0.0
2020-04-11,13,0.0
2020-04-12,13,0.0
2020-04-13,13,0.0
2020-04-14,14,0.0
2020-04-15,14,0.0
2020-04-16,14,0.0
2020-04-17,14,0.0
2020-04-18,14,0.0
2020-04-19,14,0.0
2020-04-20,14,0.0
2020-04-21,14,0.0
2020-04-22,14,0.0
2020-04-23,14,0.0
2020-04-24,14,0.0
2020-04-25,14,0.0
2020-04-26,14,0.0
2020-04-27,14,0.0
2020-04-28,14,0.0
2020-04-29,14,0.0
2020-04-30,14,0.0
2020-05-01,14,0.0
2020-05-02,14,0.0
2020-05-03,14,0.0
2020-05-04,14,0.0
2020-05-05,14,0.0
2020-05-06,14,0.0
2020-05-07,14,0.0
2020-05-08,14,0.0
2020-05-09,15,0.0
2020-05-10,14,0.0
2020-05-11,14,0.0
2020-05-12,14,0.0
2020-05-13,14,0.0
2020-05-14,15,0.0
2020-05-15,15,0.0
2020-05-16,17,0.0
2020-05-17,18,0.0
2020-05-18,18,0.0
2020-05-19,17,0.0
2020-05-20,20,0.0
2020-05-21,19,1.0
2020-05-22,20,1.0
2020-05-23,20,1.0
2020-05-24,22,1.0
2020-05-25,22,1.0
2020-05-26,22,1.0
2020-05-27,24,1.0
2020-05-28,25,1.0
2020-05-29,27,1.0
2020-05-30,29,1.0
2020-05-31,29,1.0
2020-06-01,29,1.0
2020-06-02,29,1.0
2020-06-03,30,1.0
2020-06-04,33,1.0
2020-06-05,34,1.0
2020-06-06,34,1.0
2020-06-07,34,1.0
2020-06-08,32,1.0
2020-06-09,32,1.0
2020-06-10,37,1.0
2020-06-11,39,1.0
2020-06-12,41,1.0
2020-06-13,42,1.0
2020-06-14,42,1.0
2020-06-15,44,1.0
2020-06-16,49,1.0
2020-06-17,49,1.0
2020-06-18,54,1.0
2020-06-19,57,1.0
2020-06-20,58,1.0
2020-06-21,59,1.0
2020-06-22,61,1.0
2020-06-23,62,1.0
2020-06-24,68,1.0
2020-06-25,70,1.0
2020-06-26,81,1.0
2020-06-27,86,1.0
2020-06-28,93,1.0
2020-06-29,99,1.0
2020-06-30,99,1.0
2020-07-01,105,1.0
2020-07-02,138,1.0
2020-07-03,150,1.0
2020-07-04,157,1.0
2020-07-05,179,1.0
2020-07-06,182,1.0
2020-07-07,190,1.0
2020-07-08,206,1.0
2020-07-09,224,1.0
2020-07-10,271,1.0
2020-07-11,285,1.0
2020-07-12,317,1.0
2020-07-13,329,1.0
2020-07-14,345,1.0
2020-07-15,356,9.0
2020-07-16,386,11.0
2020-07-17,395,12.0
2020-07-18,420,12.0
2020-07-19,434,12.0
2020-07-20,450,13.0
2020-07-21,457,14.0
2020-07-22,473,16.0
2020-07-23,488,16.0
2020-07-24,509,16.0
2020-07-25,523,16.0
2020-07-26,534,16.0
2020-07-27,552,16.0
2020-07-28,552,16.0
2020-07-29,558,17.0
2020-07-30,567,17.0
2020-07-31,572,17.0
2020-08-01,578,17.0
2020-08-02,581,17.0
2020-08-03,576,17.0
2020-08-04,579,17.0
2020-08-05,586,17.0
2020-08-06,596,17.0
2020-08-07,598,17.0
2020-08-08,603,17.0
2020-08-09,625,17.0
2020-08-10,634,17.0
2020-08-11,634,17.0
2020-08-12,644,17.0
2020-08-13,664,18.0
2020-08-14,672,19.0
2020-08-15,678,19.0
2020-08-16,686,19.0
2020-08-17,687,19.0
2020-08-18,695,20.0
2020-08-19,673,20.0
2020-08-20,691,20.0
2020-08-21,700,20.0
2020-08-22,709,20.0
2020-08-23,715,20.0
2020-08-24,721,20.0
2020-08-25,724,20.0
2020-08-26,727,20.0
2020-08-27,786,20.0
2020-08-28,801,20.0
2020-08-29,816,20.0
