date,cases,deaths
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,3,0.0
2020-03-18,5,0.0
2020-03-19,5,0.0
2020-03-20,5,0.0
2020-03-21,5,0.0
2020-03-22,6,0.0
2020-03-23,6,0.0
2020-03-24,7,0.0
2020-03-25,7,0.0
2020-03-26,7,0.0
2020-03-27,9,0.0
2020-03-28,15,0.0
2020-03-29,17,0.0
2020-03-30,21,0.0
2020-03-31,25,0.0
2020-04-01,27,0.0
2020-04-02,31,0.0
2020-04-03,33,0.0
2020-04-04,33,0.0
2020-04-05,35,0.0
2020-04-06,35,0.0
2020-04-07,35,0.0
2020-04-08,35,0.0
2020-04-09,36,0.0
2020-04-10,36,0.0
2020-04-11,37,0.0
2020-04-12,37,0.0
2020-04-13,36,0.0
2020-04-14,37,0.0
2020-04-15,38,0.0
2020-04-16,42,0.0
2020-04-17,44,0.0
2020-04-18,45,0.0
2020-04-19,45,0.0
2020-04-20,52,0.0
2020-04-21,55,0.0
2020-04-22,59,0.0
2020-04-23,67,0.0
2020-04-24,99,0.0
2020-04-25,131,0.0
2020-04-26,169,0.0
2020-04-27,179,0.0
2020-04-28,198,0.0
2020-04-29,258,0.0
2020-04-30,318,0.0
2020-05-01,408,0.0
2020-05-02,515,0.0
2020-05-03,537,0.0
2020-05-04,578,1.0
2020-05-05,613,3.0
2020-05-06,626,3.0
2020-05-07,644,4.0
2020-05-08,654,5.0
2020-05-09,660,5.0
2020-05-10,676,6.0
2020-05-11,701,6.0
2020-05-12,712,7.0
2020-05-13,741,8.0
2020-05-14,755,9.0
2020-05-15,757,10.0
2020-05-16,773,10.0
2020-05-17,776,11.0
2020-05-18,788,11.0
2020-05-19,795,11.0
2020-05-20,807,12.0
2020-05-21,816,13.0
2020-05-22,821,14.0
2020-05-23,821,14.0
2020-05-24,853,14.0
2020-05-25,865,15.0
2020-05-26,864,17.0
2020-05-27,874,17.0
2020-05-28,879,17.0
2020-05-29,888,20.0
2020-05-30,900,20.0
2020-05-31,905,21.0
2020-06-01,916,24.0
2020-06-02,925,24.0
2020-06-03,929,24.0
2020-06-04,948,26.0
2020-06-05,958,26.0
2020-06-06,959,26.0
2020-06-07,959,26.0
