date,cases,deaths
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,4,0
2020-03-30,5,0
2020-03-31,6,0
2020-04-01,7,0
2020-04-02,7,0
2020-04-03,8,0
2020-04-04,8,0
2020-04-05,8,0
2020-04-06,8,0
2020-04-07,8,0
2020-04-08,8,0
2020-04-09,9,0
2020-04-10,10,0
2020-04-11,10,0
2020-04-12,11,0
2020-04-13,12,0
2020-04-14,15,0
2020-04-15,17,0
2020-04-16,23,0
2020-04-17,28,0
2020-04-18,33,0
2020-04-19,36,0
2020-04-20,42,0
2020-04-21,53,0
2020-04-22,53,0
2020-04-23,55,0
2020-04-24,73,0
2020-04-25,79,0
2020-04-26,83,0
2020-04-27,91,0
2020-04-28,109,0
2020-04-29,130,1
2020-04-30,130,1
2020-05-01,155,1
2020-05-02,175,1
2020-05-03,193,1
2020-05-04,210,2
2020-05-05,219,3
2020-05-06,220,5
2020-05-07,229,5
2020-05-08,235,6
2020-05-09,238,8
2020-05-10,238,8
2020-05-11,238,8
2020-05-12,239,8
2020-05-13,239,10
2020-05-14,240,11
2020-05-15,241,11
2020-05-16,242,12
2020-05-17,247,12
2020-05-18,249,13
2020-05-19,250,14
2020-05-20,251,14
2020-05-21,251,15
2020-05-22,250,15
2020-05-23,250,15
2020-05-24,256,16
2020-05-25,256,16
2020-05-26,257,16
2020-05-27,258,16
2020-05-28,260,16
2020-05-29,260,16
2020-05-30,261,16
2020-05-31,260,16
2020-06-01,260,17
2020-06-02,261,17
2020-06-03,263,17
2020-06-04,269,17
2020-06-05,269,17
2020-06-06,271,17
2020-06-07,274,17
2020-06-08,273,17
2020-06-09,275,17
2020-06-10,277,17
2020-06-11,278,17
2020-06-12,279,17
2020-06-13,280,17
2020-06-14,283,17
2020-06-15,282,17
2020-06-16,283,17
2020-06-17,287,17
2020-06-18,290,17
2020-06-19,290,17
2020-06-20,291,17
2020-06-21,296,17
2020-06-22,298,17
2020-06-23,304,17
2020-06-24,305,17
2020-06-25,305,17
2020-06-26,306,17
2020-06-27,309,17
2020-06-28,313,17
2020-06-29,315,17
2020-06-30,317,17
2020-07-01,318,17
2020-07-02,321,17
