date,cases,deaths
2020-03-30,1,0.0
2020-03-31,4,0.0
2020-04-01,4,0.0
2020-04-02,5,0.0
2020-04-03,5,0.0
2020-04-04,5,0.0
2020-04-05,6,0.0
2020-04-06,6,0.0
2020-04-07,6,0.0
2020-04-08,6,0.0
2020-04-09,8,0.0
2020-04-10,8,0.0
2020-04-11,8,0.0
2020-04-12,8,0.0
2020-04-13,10,0.0
2020-04-14,11,0.0
2020-04-15,11,0.0
2020-04-16,12,0.0
2020-04-17,13,0.0
2020-04-18,14,0.0
2020-04-19,14,0.0
2020-04-20,15,0.0
2020-04-21,16,0.0
2020-04-22,17,0.0
2020-04-23,18,0.0
2020-04-24,18,0.0
2020-04-25,18,0.0
2020-04-26,18,0.0
2020-04-27,19,0.0
2020-04-28,19,0.0
2020-04-29,20,0.0
2020-04-30,21,0.0
2020-05-01,22,0.0
2020-05-02,24,0.0
2020-05-03,24,0.0
2020-05-04,24,0.0
2020-05-05,25,0.0
2020-05-06,25,0.0
2020-05-07,30,0.0
2020-05-08,31,0.0
2020-05-09,31,0.0
2020-05-10,31,0.0
2020-05-11,34,0.0
2020-05-12,34,0.0
2020-05-13,34,0.0
2020-05-14,35,0.0
2020-05-15,36,0.0
2020-05-16,36,0.0
2020-05-17,36,0.0
2020-05-18,36,0.0
2020-05-19,36,0.0
2020-05-20,36,0.0
2020-05-21,36,0.0
2020-05-22,36,0.0
2020-05-23,36,0.0
2020-05-24,36,0.0
2020-05-25,36,0.0
2020-05-26,36,0.0
2020-05-27,36,0.0
2020-05-28,36,0.0
2020-05-29,36,0.0
2020-05-30,36,0.0
2020-05-31,36,0.0
2020-06-01,37,0.0
2020-06-02,37,0.0
2020-06-03,37,0.0
2020-06-04,37,0.0
2020-06-05,37,0.0
2020-06-06,37,0.0
2020-06-07,37,0.0
2020-06-08,38,0.0
2020-06-09,38,0.0
2020-06-10,38,0.0
2020-06-11,38,0.0
2020-06-12,41,0.0
2020-06-13,41,0.0
2020-06-14,41,0.0
2020-06-15,41,0.0
2020-06-16,41,0.0
2020-06-17,41,0.0
2020-06-18,42,0.0
2020-06-19,43,0.0
2020-06-20,43,0.0
2020-06-21,46,0.0
2020-06-22,47,0.0
2020-06-23,47,0.0
2020-06-24,47,0.0
2020-06-25,51,0.0
2020-06-26,51,0.0
2020-06-27,51,0.0
2020-06-28,51,0.0
2020-06-29,53,0.0
2020-06-30,54,0.0
2020-07-01,55,0.0
2020-07-02,56,0.0
2020-07-03,56,0.0
2020-07-04,56,0.0
2020-07-05,60,0.0
2020-07-06,61,0.0
2020-07-07,64,0.0
2020-07-08,65,0.0
2020-07-09,68,0.0
2020-07-10,69,0.0
2020-07-11,71,0.0
2020-07-12,72,1.0
2020-07-13,74,1.0
2020-07-14,76,1.0
2020-07-15,80,1.0
2020-07-16,85,1.0
2020-07-17,85,1.0
2020-07-18,86,1.0
2020-07-19,93,1.0
2020-07-20,97,1.0
2020-07-21,100,1.0
2020-07-22,103,1.0
2020-07-23,105,1.0
2020-07-24,106,1.0
2020-07-25,106,1.0
2020-07-26,107,1.0
2020-07-27,111,1.0
2020-07-28,112,1.0
2020-07-29,115,1.0
2020-07-30,119,1.0
2020-07-31,122,1.0
2020-08-01,122,1.0
2020-08-02,123,1.0
2020-08-03,124,2.0
2020-08-04,124,2.0
2020-08-05,126,2.0
2020-08-06,127,2.0
2020-08-07,128,2.0
2020-08-08,129,2.0
2020-08-09,130,2.0
2020-08-10,132,2.0
2020-08-11,133,2.0
2020-08-12,134,2.0
2020-08-13,135,2.0
2020-08-14,136,2.0
2020-08-15,136,2.0
2020-08-16,139,2.0
2020-08-17,138,2.0
2020-08-18,140,2.0
2020-08-19,141,2.0
2020-08-20,146,2.0
2020-08-21,146,2.0
2020-08-22,150,2.0
2020-08-23,154,2.0
2020-08-24,155,2.0
2020-08-25,158,2.0
2020-08-26,164,2.0
2020-08-27,165,2.0
2020-08-28,166,2.0
2020-08-29,168,2.0
2020-08-30,170,2.0
2020-08-31,170,2.0
2020-09-01,175,2.0
2020-09-02,176,2.0
2020-09-03,176,2.0
2020-09-04,185,2.0
2020-09-05,190,2.0
2020-09-06,195,2.0
2020-09-07,195,2.0
2020-09-08,197,2.0
2020-09-09,199,3.0
2020-09-10,207,3.0
2020-09-11,212,3.0
2020-09-12,215,3.0
2020-09-13,220,3.0
2020-09-14,222,3.0
2020-09-15,227,3.0
2020-09-16,231,3.0
2020-09-17,235,3.0
2020-09-18,239,3.0
2020-09-19,243,3.0
2020-09-20,244,3.0
2020-09-21,248,3.0
2020-09-22,251,3.0
2020-09-23,259,3.0
2020-09-24,264,3.0
2020-09-25,269,3.0
2020-09-26,274,3.0
2020-09-27,276,3.0
2020-09-28,284,3.0
2020-09-29,289,3.0
2020-09-30,295,3.0
2020-10-01,304,3.0
2020-10-02,307,3.0
2020-10-03,311,3.0
2020-10-04,313,3.0
2020-10-05,321,3.0
2020-10-06,325,3.0
2020-10-07,326,3.0
2020-10-08,334,3.0
2020-10-09,345,3.0
2020-10-10,352,3.0
2020-10-11,356,3.0
2020-10-12,359,3.0
2020-10-13,362,3.0
2020-10-14,368,3.0
2020-10-15,378,3.0
2020-10-16,385,3.0
2020-10-17,396,3.0
2020-10-18,405,3.0
2020-10-19,411,3.0
2020-10-20,413,3.0
2020-10-21,417,3.0
2020-10-22,423,3.0
2020-10-23,429,4.0
2020-10-24,437,4.0
2020-10-25,444,4.0
2020-10-26,447,4.0
2020-10-27,455,4.0
2020-10-28,471,4.0
2020-10-29,506,4.0
2020-10-30,540,4.0
2020-10-31,565,4.0
2020-11-01,591,4.0
2020-11-02,613,4.0
2020-11-03,645,4.0
2020-11-04,664,4.0
2020-11-05,1162,4.0
2020-11-06,1264,4.0
2020-11-07,1312,4.0
2020-11-08,1391,4.0
2020-11-09,1458,4.0
2020-11-10,1512,6.0
2020-11-11,1559,7.0
2020-11-12,1710,7.0
2020-11-13,1767,8.0
2020-11-14,1817,8.0
2020-11-15,1832,8.0
2020-11-16,1854,8.0
2020-11-17,1997,8.0
2020-11-18,2048,9.0
2020-11-19,2083,10.0
2020-11-20,2163,11.0
2020-11-21,2183,11.0
2020-11-22,2211,12.0
2020-11-23,2223,12.0
2020-11-24,2253,13.0
2020-11-25,2269,13.0
2020-11-26,2279,13.0
2020-11-27,2283,13.0
2020-11-28,2298,13.0
2020-11-29,2323,13.0
2020-11-30,2336,15.0
2020-12-01,2344,17.0
2020-12-02,2359,17.0
2020-12-03,2371,18.0
2020-12-04,2384,19.0
2020-12-05,2397,19.0
2020-12-06,2410,19.0
2020-12-07,2415,19.0
2020-12-08,2416,24.0
2020-12-09,2423,27.0
2020-12-10,2429,28.0
2020-12-11,2456,30.0
2020-12-12,2463,32.0
2020-12-13,2473,32.0
2020-12-14,2475,33.0
2020-12-15,2479,34.0
2020-12-16,2495,34.0
2020-12-17,2502,35.0
2020-12-18,2509,35.0
