date,cases,deaths
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,1,0.0
2020-05-14,1,0.0
2020-05-15,1,0.0
2020-05-16,2,0.0
2020-05-17,2,0.0
2020-05-18,2,0.0
2020-05-19,2,0.0
2020-05-20,2,0.0
2020-05-21,3,0.0
2020-05-22,3,0.0
2020-05-23,3,0.0
2020-05-24,3,0.0
2020-05-25,3,0.0
2020-05-26,3,0.0
2020-05-27,3,0.0
2020-05-28,3,0.0
2020-05-29,6,0.0
2020-05-30,6,0.0
2020-05-31,6,0.0
2020-06-01,7,0.0
2020-06-02,7,0.0
2020-06-03,7,0.0
2020-06-04,7,0.0
2020-06-05,7,0.0
2020-06-06,7,0.0
2020-06-07,7,0.0
2020-06-08,8,0.0
2020-06-09,9,0.0
2020-06-10,9,0.0
2020-06-11,13,0.0
2020-06-12,13,0.0
2020-06-13,13,0.0
2020-06-14,14,0.0
2020-06-15,16,0.0
2020-06-16,16,0.0
2020-06-17,16,0.0
2020-06-18,18,0.0
2020-06-19,20,0.0
2020-06-20,21,0.0
2020-06-21,22,0.0
2020-06-22,23,0.0
2020-06-23,23,0.0
2020-06-24,24,0.0
2020-06-25,24,0.0
2020-06-26,24,0.0
2020-06-27,26,0.0
2020-06-28,29,0.0
2020-06-29,30,0.0
2020-06-30,31,0.0
2020-07-01,31,0.0
2020-07-02,36,0.0
2020-07-03,36,0.0
2020-07-04,41,0.0
2020-07-05,41,0.0
2020-07-06,41,0.0
2020-07-07,41,0.0
2020-07-08,42,0.0
2020-07-09,46,0.0
2020-07-10,48,0.0
2020-07-11,51,0.0
2020-07-12,53,0.0
2020-07-13,53,0.0
2020-07-14,53,0.0
2020-07-15,55,0.0
2020-07-16,57,0.0
2020-07-17,57,0.0
2020-07-18,60,0.0
2020-07-19,61,0.0
2020-07-20,63,0.0
2020-07-21,62,0.0
2020-07-22,61,0.0
2020-07-23,62,0.0
2020-07-24,62,0.0
2020-07-25,62,0.0
2020-07-26,63,0.0
2020-07-27,64,0.0
2020-07-28,65,0.0
2020-07-29,69,0.0
2020-07-30,74,0.0
2020-07-31,74,0.0
2020-08-01,74,0.0
2020-08-02,78,0.0
2020-08-03,79,0.0
2020-08-04,80,0.0
2020-08-05,80,0.0
2020-08-06,80,0.0
2020-08-07,82,0.0
2020-08-08,84,0.0
2020-08-09,84,0.0
2020-08-10,86,0.0
2020-08-11,88,0.0
2020-08-12,90,0.0
2020-08-13,92,0.0
2020-08-14,98,0.0
2020-08-15,99,0.0
2020-08-16,102,0.0
2020-08-17,103,0.0
2020-08-18,104,0.0
2020-08-19,101,0.0
2020-08-20,102,0.0
2020-08-21,104,0.0
2020-08-22,105,0.0
2020-08-23,105,0.0
2020-08-24,105,0.0
2020-08-25,105,0.0
2020-08-26,107,0.0
2020-08-27,111,0.0
2020-08-28,112,0.0
2020-08-29,112,0.0
2020-08-30,112,0.0
2020-08-31,117,0.0
2020-09-01,119,0.0
2020-09-02,119,0.0
2020-09-03,119,0.0
2020-09-04,122,0.0
2020-09-05,123,0.0
2020-09-06,125,0.0
2020-09-07,125,0.0
2020-09-08,127,0.0
2020-09-09,129,0.0
2020-09-10,131,0.0
2020-09-11,137,0.0
2020-09-12,137,0.0
2020-09-13,140,0.0
2020-09-14,142,0.0
2020-09-15,145,0.0
2020-09-16,145,0.0
2020-09-17,151,0.0
2020-09-18,156,0.0
2020-09-19,159,0.0
2020-09-20,160,0.0
2020-09-21,163,0.0
2020-09-22,165,0.0
2020-09-23,175,0.0
2020-09-24,183,0.0
2020-09-25,188,0.0
2020-09-26,202,0.0
2020-09-27,203,0.0
2020-09-28,205,0.0
2020-09-29,208,0.0
2020-09-30,214,0.0
2020-10-01,224,0.0
2020-10-02,229,0.0
2020-10-03,232,0.0
2020-10-04,236,0.0
2020-10-05,239,0.0
2020-10-06,241,0.0
2020-10-07,242,0.0
2020-10-08,248,0.0
2020-10-09,255,0.0
2020-10-10,257,0.0
2020-10-11,259,0.0
2020-10-12,261,1.0
2020-10-13,264,1.0
2020-10-14,267,1.0
2020-10-15,273,1.0
2020-10-16,277,1.0
2020-10-17,282,1.0
2020-10-18,283,1.0
2020-10-19,287,1.0
2020-10-20,291,2.0
2020-10-21,293,2.0
2020-10-22,298,2.0
2020-10-23,308,2.0
2020-10-24,309,2.0
2020-10-25,310,2.0
2020-10-26,314,2.0
2020-10-27,317,2.0
2020-10-28,326,2.0
2020-10-29,329,2.0
2020-10-30,335,2.0
2020-10-31,346,2.0
2020-11-01,353,2.0
2020-11-02,353,2.0
2020-11-03,360,2.0
2020-11-04,370,2.0
2020-11-05,381,2.0
2020-11-06,392,2.0
2020-11-07,401,2.0
2020-11-08,409,2.0
2020-11-09,425,3.0
2020-11-10,434,3.0
2020-11-11,446,3.0
2020-11-12,457,3.0
2020-11-13,483,3.0
2020-11-14,505,3.0
2020-11-15,508,3.0
2020-11-16,519,3.0
2020-11-17,520,3.0
2020-11-18,565,3.0
2020-11-19,571,3.0
2020-11-20,585,3.0
2020-11-21,595,4.0
2020-11-22,604,4.0
2020-11-23,606,4.0
2020-11-24,611,4.0
2020-11-25,624,4.0
2020-11-26,645,4.0
2020-11-27,647,4.0
2020-11-28,651,4.0
2020-11-29,655,4.0
2020-11-30,657,4.0
2020-12-01,659,4.0
2020-12-02,673,4.0
2020-12-03,674,4.0
2020-12-04,679,5.0
2020-12-05,692,5.0
2020-12-06,695,5.0
2020-12-07,701,5.0
2020-12-08,703,2.0
2020-12-09,713,2.0
2020-12-10,714,2.0
2020-12-11,727,2.0
2020-12-12,735,2.0
2020-12-13,737,2.0
2020-12-14,747,2.0
2020-12-15,753,2.0
2020-12-16,770,2.0
2020-12-17,772,2.0
2020-12-18,776,2.0
2020-12-19,779,5.0
