date,cases,deaths
2020-03-22,1,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,7,0
2020-04-03,8,0
2020-04-04,8,0
2020-04-05,8,0
2020-04-06,8,0
2020-04-07,9,0
2020-04-08,11,0
2020-04-09,12,0
2020-04-10,15,0
2020-04-11,18,0
2020-04-12,18,0
2020-04-13,19,0
2020-04-14,20,0
2020-04-15,21,0
2020-04-16,22,0
2020-04-17,25,0
2020-04-18,35,0
2020-04-19,37,0
2020-04-20,44,0
2020-04-21,81,0
2020-04-22,100,1
2020-04-23,120,1
2020-04-24,189,1
2020-04-25,316,1
2020-04-26,409,1
2020-04-27,495,1
2020-04-28,695,1
2020-04-29,728,1
2020-04-30,742,1
2020-05-01,922,1
2020-05-02,1074,2
2020-05-03,1112,2
2020-05-04,1152,2
2020-05-05,1296,3
2020-05-06,1323,4
2020-05-07,1429,4
2020-05-08,1532,7
2020-05-09,1554,7
2020-05-10,1627,8
2020-05-11,1676,9
2020-05-12,1988,11
2020-05-13,2054,14
2020-05-14,2078,14
2020-05-15,2111,14
2020-05-16,2157,16
2020-05-17,2215,16
2020-05-18,2278,17
2020-05-19,2342,17
2020-05-20,2406,22
2020-05-21,2448,23
2020-05-22,2468,23
2020-05-23,2468,23
2020-05-24,2594,24
2020-05-25,2635,24
2020-05-26,2644,28
2020-05-27,2668,31
2020-05-28,2678,33
2020-05-29,2726,34
2020-05-30,2745,34
2020-05-31,2754,34
2020-06-01,2768,36
2020-06-02,2786,37
2020-06-03,2819,37
2020-06-04,2854,37
2020-06-05,2887,37
2020-06-06,2909,37
2020-06-07,2927,37
2020-06-08,2939,37
2020-06-09,2947,38
2020-06-10,2960,38
2020-06-11,2973,39
2020-06-12,2994,40
2020-06-13,2999,40
2020-06-14,3004,39
2020-06-15,3011,40
2020-06-16,3015,40
2020-06-17,3029,42
2020-06-18,3041,42
2020-06-19,3054,42
2020-06-20,3055,42
2020-06-21,3068,42
2020-06-22,3073,42
2020-06-23,3083,43
2020-06-24,3090,43
2020-06-25,3106,43
2020-06-26,3122,44
2020-06-27,3133,44
2020-06-28,3140,44
2020-06-29,3152,43
2020-06-30,3170,44
2020-07-01,3184,44
2020-07-02,3201,44
2020-07-03,3207,44
2020-07-04,3218,44
2020-07-05,3245,44
2020-07-06,3252,44
2020-07-07,3260,44
2020-07-08,3268,44
2020-07-09,3290,44
2020-07-10,3318,44
2020-07-11,3330,44
2020-07-12,3346,44
2020-07-13,3349,44
2020-07-14,3365,44
2020-07-15,3386,45
2020-07-16,3411,46
2020-07-17,3418,46
2020-07-18,3434,46
2020-07-19,3461,46
2020-07-20,3482,46
2020-07-21,3492,46
2020-07-22,3495,47
2020-07-23,3514,47
2020-07-24,3525,47
2020-07-25,3539,47
2020-07-26,3554,47
2020-07-27,3569,47
2020-07-28,3575,47
2020-07-29,3585,47
2020-07-30,3612,47
2020-07-31,3620,49
2020-08-01,3630,49
2020-08-02,3642,50
2020-08-03,3651,51
2020-08-04,3656,51
2020-08-05,3673,51
2020-08-06,3691,51
2020-08-07,3708,51
2020-08-08,3715,51
2020-08-09,3719,52
2020-08-10,3727,52
2020-08-11,3734,52
2020-08-12,3754,52
2020-08-13,3779,52
2020-08-14,3784,54
2020-08-15,3803,54
2020-08-16,3807,54
2020-08-17,3828,54
2020-08-18,3838,54
2020-08-19,3859,54
2020-08-20,3884,54
2020-08-21,3902,54
2020-08-22,3933,54
2020-08-23,3950,54
2020-08-24,3967,54
2020-08-25,3985,54
2020-08-26,4009,54
2020-08-27,4028,56
2020-08-28,4068,56
2020-08-29,4093,56
2020-08-30,4126,56
2020-08-31,4148,56
2020-09-01,4152,56
2020-09-02,4177,56
2020-09-03,4220,56
2020-09-04,4266,56
2020-09-05,4299,56
2020-09-06,4327,56
2020-09-07,4347,57
2020-09-08,4366,58
2020-09-09,4378,58
2020-09-10,4416,58
2020-09-11,4471,58
2020-09-12,4508,58
2020-09-13,4547,58
2020-09-14,4577,59
2020-09-15,4633,59
2020-09-16,4674,59
2020-09-17,4790,60
2020-09-18,4865,61
2020-09-19,4944,61
2020-09-20,4989,61
2020-09-21,5042,63
2020-09-22,5065,63
2020-09-23,5174,63
2020-09-24,5263,63
2020-09-25,5356,64
2020-09-26,5447,64
2020-09-27,5509,64
2020-09-28,5554,67
2020-09-29,5597,68
2020-09-30,5682,68
2020-10-01,5766,69
2020-10-02,5862,69
2020-10-03,5906,69
2020-10-04,5961,70
2020-10-05,5980,72
2020-10-06,6018,74
2020-10-07,6133,74
2020-10-08,6206,76
2020-10-09,6293,77
2020-10-10,6333,78
2020-10-11,6379,78
2020-10-12,6410,81
2020-10-13,6460,81
2020-10-14,6553,82
2020-10-15,6608,83
2020-10-16,6689,85
2020-10-17,6734,86
2020-10-18,6787,86
2020-10-19,6824,88
2020-10-20,6852,92
