date,cases,deaths
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,8,0
2020-04-23,8,0
2020-04-24,8,0
2020-04-25,8,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,8,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,8,0
2020-05-05,8,0
2020-05-06,8,0
2020-05-07,9,0
2020-05-08,9,0
2020-05-09,9,0
2020-05-10,9,0
2020-05-11,9,0
2020-05-12,9,0
2020-05-13,9,0
2020-05-14,9,0
2020-05-15,9,0
2020-05-16,9,0
2020-05-17,9,0
2020-05-18,9,0
2020-05-19,9,0
2020-05-20,9,0
2020-05-21,9,0
2020-05-22,9,0
2020-05-23,9,0
2020-05-24,9,0
2020-05-25,9,0
2020-05-26,9,0
2020-05-27,9,0
2020-05-28,9,0
2020-05-29,10,0
2020-05-30,10,0
2020-05-31,10,0
2020-06-01,10,0
2020-06-02,10,0
2020-06-03,11,0
2020-06-04,11,0
2020-06-05,12,0
2020-06-06,12,0
2020-06-07,12,0
2020-06-08,12,0
2020-06-09,12,0
2020-06-10,14,0
2020-06-11,14,0
2020-06-12,14,0
2020-06-13,14,0
2020-06-14,14,0
2020-06-15,15,0
2020-06-16,15,0
2020-06-17,15,0
2020-06-18,15,0
2020-06-19,16,0
2020-06-20,16,0
2020-06-21,16,0
2020-06-22,16,0
2020-06-23,16,0
2020-06-24,17,0
2020-06-25,17,0
2020-06-26,19,0
2020-06-27,19,0
2020-06-28,19,0
2020-06-29,21,0
2020-06-30,21,0
2020-07-01,25,0
2020-07-02,25,0
2020-07-03,27,0
2020-07-04,27,0
2020-07-05,27,0
2020-07-06,30,0
2020-07-07,30,0
2020-07-08,35,0
2020-07-09,35,0
2020-07-10,44,0
2020-07-11,44,0
2020-07-12,45,0
2020-07-13,57,0
2020-07-14,57,0
2020-07-15,67,0
2020-07-16,67,0
2020-07-17,80,1
2020-07-18,80,1
2020-07-19,80,1
2020-07-20,90,1
2020-07-21,90,1
2020-07-22,99,1
2020-07-23,99,1
2020-07-24,107,1
2020-07-25,107,1
2020-07-26,107,1
2020-07-27,115,1
2020-07-28,115,1
2020-07-29,127,1
2020-07-30,127,1
2020-07-31,131,1
2020-08-01,131,1
2020-08-02,131,1
2020-08-03,135,1
2020-08-04,135,1
2020-08-05,138,1
2020-08-06,138,1
2020-08-07,144,1
2020-08-08,144,1
2020-08-09,144,1
2020-08-10,148,1
2020-08-11,148,1
2020-08-12,148,1
2020-08-13,148,1
2020-08-14,153,1
2020-08-15,153,1
2020-08-16,153,1
2020-08-17,162,1
2020-08-18,162,1
2020-08-19,167,1
2020-08-20,167,1
2020-08-21,180,1
2020-08-22,180,1
2020-08-23,180,1
2020-08-24,256,1
2020-08-25,256,1
2020-08-26,295,1
2020-08-27,295,1
2020-08-28,343,1
2020-08-29,343,1
2020-08-30,343,1
2020-08-31,417,1
2020-09-01,417,1
2020-09-02,470,1
2020-09-03,470,1
