date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,5,0.0
2020-04-07,8,0.0
2020-04-08,9,0.0
2020-04-09,11,0.0
2020-04-10,15,0.0
2020-04-11,18,0.0
2020-04-12,18,0.0
2020-04-13,18,0.0
2020-04-14,19,0.0
2020-04-15,20,0.0
2020-04-16,20,0.0
2020-04-17,20,0.0
2020-04-18,20,0.0
2020-04-19,20,0.0
2020-04-20,20,0.0
2020-04-21,20,0.0
2020-04-22,20,0.0
2020-04-23,20,0.0
2020-04-24,21,0.0
2020-04-25,21,0.0
2020-04-26,21,0.0
2020-04-27,21,0.0
2020-04-28,21,0.0
2020-04-29,22,0.0
2020-04-30,22,0.0
2020-05-01,22,0.0
2020-05-02,22,0.0
2020-05-03,22,0.0
2020-05-04,22,0.0
2020-05-05,22,0.0
2020-05-06,22,0.0
2020-05-07,22,0.0
2020-05-08,22,0.0
2020-05-09,22,0.0
2020-05-10,22,0.0
2020-05-11,22,0.0
2020-05-12,22,0.0
2020-05-13,22,0.0
2020-05-14,22,0.0
2020-05-15,22,0.0
2020-05-16,22,0.0
2020-05-17,22,0.0
2020-05-18,23,0.0
2020-05-19,23,0.0
2020-05-20,24,0.0
2020-05-21,24,0.0
2020-05-22,22,0.0
2020-05-23,22,0.0
2020-05-24,22,0.0
2020-05-25,22,0.0
2020-05-26,22,0.0
2020-05-27,22,0.0
2020-05-28,22,0.0
2020-05-29,22,0.0
2020-05-30,22,0.0
2020-05-31,22,0.0
2020-06-01,23,0.0
2020-06-02,23,0.0
2020-06-03,22,0.0
2020-06-04,22,0.0
2020-06-05,22,0.0
2020-06-06,22,0.0
2020-06-07,22,0.0
2020-06-08,23,0.0
2020-06-09,23,0.0
2020-06-10,26,0.0
2020-06-11,26,0.0
2020-06-12,27,0.0
2020-06-13,27,0.0
2020-06-14,27,0.0
2020-06-15,27,0.0
2020-06-16,27,0.0
2020-06-17,27,0.0
2020-06-18,27,0.0
2020-06-19,28,0.0
2020-06-20,28,0.0
2020-06-21,28,0.0
2020-06-22,28,0.0
2020-06-23,28,0.0
2020-06-24,50,0.0
2020-06-25,50,0.0
2020-06-26,55,0.0
2020-06-27,55,0.0
2020-06-28,55,0.0
2020-06-29,57,0.0
2020-06-30,57,0.0
2020-07-01,61,0.0
2020-07-02,61,0.0
2020-07-03,65,0.0
2020-07-04,65,0.0
2020-07-05,65,0.0
2020-07-06,66,0.0
2020-07-07,66,0.0
2020-07-08,64,0.0
2020-07-09,64,0.0
2020-07-10,66,0.0
2020-07-11,66,0.0
2020-07-12,66,0.0
2020-07-13,75,0.0
2020-07-14,75,0.0
2020-07-15,76,0.0
2020-07-16,76,0.0
2020-07-17,86,0.0
2020-07-18,86,0.0
2020-07-19,86,0.0
2020-07-20,92,0.0
2020-07-21,92,0.0
2020-07-22,103,0.0
2020-07-23,103,0.0
2020-07-24,106,0.0
2020-07-25,106,0.0
2020-07-26,106,0.0
2020-07-27,110,0.0
2020-07-28,110,0.0
2020-07-29,107,0.0
2020-07-30,107,0.0
2020-07-31,109,0.0
2020-08-01,109,0.0
2020-08-02,109,0.0
2020-08-03,110,0.0
2020-08-04,110,0.0
2020-08-05,118,0.0
2020-08-06,118,0.0
2020-08-07,133,0.0
2020-08-08,133,0.0
2020-08-09,133,0.0
2020-08-10,142,0.0
2020-08-11,142,0.0
2020-08-12,149,1.0
2020-08-13,149,1.0
2020-08-14,153,1.0
2020-08-15,153,1.0
2020-08-16,153,1.0
2020-08-17,159,1.0
2020-08-18,159,1.0
2020-08-19,165,1.0
2020-08-20,165,1.0
2020-08-21,166,1.0
2020-08-22,166,1.0
2020-08-23,166,1.0
2020-08-24,167,1.0
2020-08-25,167,1.0
2020-08-26,172,1.0
2020-08-27,172,1.0
2020-08-28,183,1.0
2020-08-29,183,1.0
2020-08-30,183,1.0
2020-08-31,186,1.0
2020-09-01,186,1.0
2020-09-02,194,1.0
2020-09-03,194,3.0
2020-09-04,195,3.0
2020-09-05,195,3.0
2020-09-06,195,3.0
2020-09-07,200,3.0
2020-09-08,200,3.0
2020-09-09,201,3.0
2020-09-10,201,3.0
2020-09-11,205,3.0
2020-09-12,205,3.0
2020-09-13,205,3.0
2020-09-14,212,3.0
2020-09-15,212,3.0
2020-09-16,220,4.0
2020-09-17,220,4.0
2020-09-18,226,4.0
2020-09-19,226,4.0
2020-09-20,226,4.0
2020-09-21,228,4.0
2020-09-22,228,4.0
2020-09-23,230,4.0
2020-09-24,230,4.0
2020-09-25,240,4.0
2020-09-26,240,4.0
2020-09-27,240,4.0
2020-09-28,240,4.0
2020-09-29,240,4.0
2020-09-30,246,4.0
2020-10-01,246,4.0
2020-10-02,253,4.0
2020-10-03,253,4.0
2020-10-04,253,4.0
2020-10-05,254,4.0
2020-10-06,254,4.0
2020-10-07,264,5.0
2020-10-08,264,5.0
2020-10-09,278,5.0
2020-10-10,278,5.0
2020-10-11,278,5.0
2020-10-12,291,5.0
2020-10-13,291,5.0
2020-10-14,316,5.0
2020-10-15,316,5.0
2020-10-16,330,5.0
2020-10-17,330,5.0
2020-10-18,330,5.0
2020-10-19,346,5.0
2020-10-20,361,5.0
2020-10-21,361,5.0
2020-10-22,361,5.0
2020-10-23,377,6.0
2020-10-24,377,6.0
2020-10-25,377,6.0
2020-10-26,384,6.0
2020-10-27,384,6.0
2020-10-28,397,6.0
2020-10-29,397,6.0
2020-10-30,414,6.0
2020-10-31,414,6.0
2020-11-01,414,6.0
2020-11-02,426,6.0
2020-11-03,432,6.0
2020-11-04,443,6.0
2020-11-05,443,6.0
2020-11-06,461,6.0
2020-11-07,461,6.0
2020-11-08,461,6.0
2020-11-09,499,6.0
2020-11-10,499,6.0
2020-11-11,544,6.0
2020-11-12,544,6.0
2020-11-13,615,6.0
2020-11-14,615,6.0
2020-11-15,615,6.0
2020-11-16,672,6.0
2020-11-17,672,6.0
2020-11-18,721,6.0
2020-11-19,721,6.0
2020-11-20,734,6.0
2020-11-21,734,6.0
2020-11-22,734,6.0
2020-11-23,785,6.0
2020-11-24,785,6.0
2020-11-25,818,6.0
2020-11-26,818,6.0
2020-11-27,847,6.0
2020-11-28,847,6.0
2020-11-29,847,6.0
2020-11-30,875,6.0
2020-12-01,875,6.0
2020-12-02,948,6.0
2020-12-03,948,6.0
2020-12-04,999,6.0
2020-12-05,999,6.0
2020-12-06,999,6.0
2020-12-07,1046,6.0
2020-12-08,1046,6.0
2020-12-09,1154,6.0
2020-12-10,1154,6.0
2020-12-11,1246,6.0
2020-12-12,1246,6.0
2020-12-13,1246,6.0
2020-12-14,1328,6.0
2020-12-15,1328,7.0
2020-12-16,1407,7.0
2020-12-17,1407,7.0
2020-12-18,1501,7.0
2020-12-19,1501,7.0
2020-12-20,1501,7.0
2020-12-21,1577,7.0
2020-12-22,1577,10.0
2020-12-23,1679,10.0
2020-12-24,1679,10.0
2020-12-25,1679,10.0
2020-12-26,1679,10.0
2020-12-27,1679,10.0
2020-12-28,1790,10.0
2020-12-29,1790,10.0
2020-12-30,1922,10.0
2020-12-31,1922,10.0
2021-01-01,1993,15.0
2021-01-02,1993,15.0
2021-01-03,1993,15.0
2021-01-04,2034,15.0
2021-01-05,2034,15.0
2021-01-06,2119,15.0
2021-01-07,2119,15.0
2021-01-08,2169,15.0
2021-01-09,2169,17.0
2021-01-10,2169,17.0
2021-01-11,2212,17.0
2021-01-12,2212,17.0
2021-01-13,2261,17.0
2021-01-14,2261,17.0
2021-01-15,2295,25.0
2021-01-16,2295,25.0
2021-01-17,2295,25.0
2021-01-18,2323,25.0
2021-01-19,2323,25.0
2021-01-20,2357,25.0
