date,cases,deaths
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,4,0
2020-03-21,4,0
2020-03-22,4,0
2020-03-23,5,0
2020-03-24,7,0
2020-03-25,11,0
2020-03-26,12,0
2020-03-27,12,0
2020-03-28,15,0
2020-03-29,17,0
2020-03-30,20,0
2020-03-31,24,0
2020-04-01,25,0
2020-04-02,27,0
2020-04-03,31,1
2020-04-04,33,1
2020-04-05,38,1
2020-04-06,40,1
2020-04-07,43,1
2020-04-08,59,1
2020-04-09,61,1
2020-04-10,66,1
2020-04-11,75,1
2020-04-12,80,1
2020-04-13,87,1
2020-04-14,90,1
2020-04-15,93,1
2020-04-16,114,1
2020-04-17,117,2
2020-04-18,123,2
2020-04-19,128,2
2020-04-20,135,2
2020-04-21,136,3
2020-04-22,150,3
2020-04-23,154,3
2020-04-24,154,3
2020-04-25,169,3
2020-04-26,172,3
2020-04-27,184,4
2020-04-28,187,4
2020-04-29,196,4
2020-04-30,356,4
2020-05-01,372,5
2020-05-02,386,5
2020-05-03,498,5
2020-05-04,529,5
2020-05-05,602,6
2020-05-06,783,6
2020-05-07,887,6
2020-05-08,907,6
2020-05-09,910,6
2020-05-10,920,6
2020-05-11,939,6
2020-05-12,939,6
2020-05-13,952,6
2020-05-14,952,6
2020-05-15,957,6
2020-05-16,958,6
2020-05-17,958,6
2020-05-18,1051,6
2020-05-19,1053,7
2020-05-20,1058,7
2020-05-21,1062,7
2020-05-22,1069,7
2020-05-23,1069,7
2020-05-24,1069,7
2020-05-25,1067,7
2020-05-26,1070,7
2020-05-27,1074,7
2020-05-28,1074,7
2020-05-29,1082,7
2020-05-30,1082,7
2020-05-31,1082,7
2020-06-01,1093,7
2020-06-02,1095,7
2020-06-03,1098,7
2020-06-04,1099,7
2020-06-05,1100,7
2020-06-06,1100,7
2020-06-07,1100,7
2020-06-08,1103,7
2020-06-09,1103,7
2020-06-10,1103,7
2020-06-11,1105,7
2020-06-12,1106,7
2020-06-13,1106,7
2020-06-14,1106,7
2020-06-15,1109,7
2020-06-16,1111,7
2020-06-17,1118,7
2020-06-18,1120,7
2020-06-19,1122,7
2020-06-20,1122,7
2020-06-21,1122,7
2020-06-22,1132,7
2020-06-23,1132,7
2020-06-24,1137,7
2020-06-25,1137,7
2020-06-26,1146,7
2020-06-27,1146,7
2020-06-28,1146,7
2020-06-29,1162,7
2020-06-30,1162,7
2020-07-01,1173,7
2020-07-02,1173,7
2020-07-03,1183,7
2020-07-04,1183,7
2020-07-05,1183,7
2020-07-06,1194,7
2020-07-07,1194,7
2020-07-08,1200,7
2020-07-09,1200,7
2020-07-10,1232,7
2020-07-11,1232,7
2020-07-12,1232,7
2020-07-13,1248,7
2020-07-14,1248,7
2020-07-15,1264,7
2020-07-16,1264,7
2020-07-17,1274,7
2020-07-18,1274,7
2020-07-19,1274,7
2020-07-20,1306,7
2020-07-21,1306,7
2020-07-22,1333,7
2020-07-23,1333,7
2020-07-24,1372,7
2020-07-25,1372,7
2020-07-26,1372,7
2020-07-27,1392,7
2020-07-28,1392,7
2020-07-29,1406,8
2020-07-30,1406,8
2020-07-31,1422,8
2020-08-01,1422,8
2020-08-02,1422,8
2020-08-03,1457,8
2020-08-04,1457,8
2020-08-05,1472,8
2020-08-06,1472,8
2020-08-07,1487,8
2020-08-08,1487,8
2020-08-09,1487,8
2020-08-10,1513,9
2020-08-11,1513,9
2020-08-12,1532,9
2020-08-13,1532,9
2020-08-14,1549,9
2020-08-15,1549,9
2020-08-16,1549,9
2020-08-17,1576,9
2020-08-18,1576,9
2020-08-19,1587,9
2020-08-20,1587,9
2020-08-21,1603,9
2020-08-22,1603,9
2020-08-23,1603,9
2020-08-24,1634,9
2020-08-25,1634,9
2020-08-26,1658,9
2020-08-27,1658,9
2020-08-28,1674,9
2020-08-29,1674,9
2020-08-30,1674,9
2020-08-31,1777,9
2020-09-01,1777,9
2020-09-02,1721,9
2020-09-03,1721,9
2020-09-04,1750,9
2020-09-05,1750,9
2020-09-06,1750,9
2020-09-07,1781,9
2020-09-08,1781,9
2020-09-09,1794,9
2020-09-10,1794,9
2020-09-11,1819,9
2020-09-12,1819,9
2020-09-13,1819,9
2020-09-14,1870,9
2020-09-15,1870,9
2020-09-16,1891,10
2020-09-17,1891,10
2020-09-18,1924,10
2020-09-19,1924,10
2020-09-20,1924,10
2020-09-21,1979,11
2020-09-22,1979,11
2020-09-23,2023,11
2020-09-24,2023,11
2020-09-25,2080,11
2020-09-26,2080,11
2020-09-27,2080,11
2020-09-28,2232,11
2020-09-29,2232,11
2020-09-30,2258,11
2020-10-01,2258,11
2020-10-02,2293,13
2020-10-03,2293,13
2020-10-04,2293,13
2020-10-05,2324,14
2020-10-06,2324,14
2020-10-07,2349,15
2020-10-08,2349,15
2020-10-09,2386,15
2020-10-10,2386,15
2020-10-11,2386,15
2020-10-12,2429,15
2020-10-13,2429,15
2020-10-14,2449,17
2020-10-15,2449,17
2020-10-16,2487,17
2020-10-17,2487,17
2020-10-18,2487,17
2020-10-19,2534,17
2020-10-20,2534,17
2020-10-21,2561,18
2020-10-22,2561,18
2020-10-23,2582,18
2020-10-24,2582,18
2020-10-25,2582,18
2020-10-26,2613,18
