date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,5,0
2020-04-02,5,0
2020-04-03,6,0
2020-04-04,8,0
2020-04-05,9,0
2020-04-06,9,0
2020-04-07,10,0
2020-04-08,12,0
2020-04-09,13,0
2020-04-10,13,0
2020-04-11,13,0
2020-04-12,13,0
2020-04-13,13,0
2020-04-14,14,0
2020-04-15,14,0
2020-04-16,15,0
2020-04-17,15,0
2020-04-18,15,0
2020-04-19,16,0
2020-04-20,17,0
2020-04-21,19,0
2020-04-22,19,0
2020-04-23,19,0
2020-04-24,20,0
2020-04-25,20,0
2020-04-26,20,0
2020-04-27,20,0
2020-04-28,20,0
2020-04-29,20,0
2020-04-30,22,0
2020-05-01,22,0
2020-05-02,22,0
2020-05-03,23,0
2020-05-04,23,0
2020-05-05,23,0
2020-05-06,25,0
2020-05-07,25,0
2020-05-08,25,0
2020-05-09,25,0
2020-05-10,25,0
2020-05-11,26,0
2020-05-12,26,0
2020-05-13,26,0
2020-05-14,26,0
2020-05-15,26,0
2020-05-16,26,0
2020-05-17,26,0
2020-05-18,26,0
2020-05-19,26,0
2020-05-20,27,0
2020-05-21,27,0
2020-05-22,27,0
2020-05-23,27,0
2020-05-24,27,0
2020-05-25,27,0
2020-05-26,27,0
2020-05-27,27,0
2020-05-28,27,0
2020-05-29,27,0
2020-05-30,27,0
2020-05-31,27,0
2020-06-01,28,0
2020-06-02,28,0
2020-06-03,29,0
2020-06-04,29,0
2020-06-05,30,0
2020-06-06,30,0
2020-06-07,33,0
2020-06-08,33,0
2020-06-09,38,0
2020-06-10,39,0
2020-06-11,39,0
2020-06-12,39,0
2020-06-13,39,0
2020-06-14,39,0
2020-06-15,40,0
2020-06-16,40,0
2020-06-17,41,0
2020-06-18,42,0
2020-06-19,42,0
2020-06-20,42,0
2020-06-21,42,0
2020-06-22,50,0
2020-06-23,50,0
2020-06-24,50,0
2020-06-25,50,0
2020-06-26,62,0
2020-06-27,62,0
2020-06-28,74,0
2020-06-29,74,0
2020-06-30,74,0
2020-07-01,77,0
2020-07-02,77,0
2020-07-03,81,0
2020-07-04,81,0
2020-07-05,81,0
2020-07-06,84,0
2020-07-07,84,0
2020-07-08,88,0
2020-07-09,88,0
2020-07-10,92,0
2020-07-11,92,0
2020-07-12,92,0
2020-07-13,96,0
2020-07-14,97,0
2020-07-15,98,0
2020-07-16,101,0
2020-07-17,104,0
2020-07-18,104,0
2020-07-19,104,0
2020-07-20,109,0
2020-07-21,117,0
2020-07-22,118,0
2020-07-23,121,0
2020-07-24,123,0
2020-07-25,123,0
2020-07-26,123,0
2020-07-27,126,0
2020-07-28,131,0
2020-07-29,131,0
2020-07-30,131,1
2020-07-31,141,1
2020-08-01,141,1
2020-08-02,141,1
2020-08-03,142,1
2020-08-04,144,1
2020-08-05,149,1
2020-08-06,151,1
2020-08-07,154,1
2020-08-08,154,1
2020-08-09,154,1
2020-08-10,160,1
2020-08-11,160,1
2020-08-12,162,1
2020-08-13,165,1
2020-08-14,165,1
2020-08-15,165,1
2020-08-16,168,1
2020-08-17,171,1
2020-08-18,176,1
2020-08-19,177,1
2020-08-20,177,1
2020-08-21,178,1
2020-08-22,179,1
2020-08-23,179,1
2020-08-24,182,1
2020-08-25,190,1
2020-08-26,190,1
2020-08-27,190,1
2020-08-28,190,1
2020-08-29,190,1
2020-08-30,195,1
2020-08-31,203,1
2020-09-01,203,1
2020-09-02,205,1
2020-09-03,209,1
2020-09-04,209,1
2020-09-05,209,1
2020-09-06,214,1
2020-09-07,214,1
2020-09-08,223,1
2020-09-09,223,1
2020-09-10,238,1
2020-09-11,238,1
2020-09-12,238,1
2020-09-13,238,1
2020-09-14,247,1
2020-09-15,247,1
2020-09-16,249,1
2020-09-17,251,1
2020-09-18,252,1
2020-09-19,252,1
2020-09-20,252,1
2020-09-21,256,1
2020-09-22,260,1
2020-09-23,260,1
2020-09-24,260,1
2020-09-25,265,1
2020-09-26,265,1
2020-09-27,265,1
2020-09-28,266,1
2020-09-29,268,1
2020-09-30,270,1
2020-10-01,270,1
2020-10-02,273,1
2020-10-03,273,1
2020-10-04,273,1
2020-10-05,273,1
2020-10-06,273,1
2020-10-07,289,1
2020-10-08,289,1
2020-10-09,303,3
2020-10-10,303,3
2020-10-11,303,3
2020-10-12,303,3
2020-10-13,303,3
2020-10-14,313,3
2020-10-15,313,3
2020-10-16,313,3
2020-10-17,313,3
2020-10-18,313,3
2020-10-19,342,3
2020-10-20,342,3
2020-10-21,355,6
2020-10-22,355,6
2020-10-23,373,6
2020-10-24,373,6
