date,cases,deaths
2020-05-18,1,0.0
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,1,0.0
2020-05-28,1,0.0
2020-05-29,1,0.0
2020-05-30,1,0.0
2020-05-31,1,0.0
2020-06-01,3,0.0
2020-06-02,3,0.0
2020-06-03,3,0.0
2020-06-04,3,0.0
2020-06-05,4,0.0
2020-06-06,4,0.0
2020-06-07,4,0.0
2020-06-08,4,0.0
2020-06-09,4,0.0
2020-06-10,4,0.0
2020-06-11,4,0.0
2020-06-12,4,0.0
2020-06-13,4,0.0
2020-06-14,4,0.0
2020-06-15,4,0.0
2020-06-16,4,0.0
2020-06-17,4,0.0
2020-06-18,4,0.0
2020-06-19,4,0.0
2020-06-20,4,0.0
2020-06-21,4,0.0
2020-06-22,4,0.0
2020-06-23,4,0.0
2020-06-24,4,0.0
2020-06-25,4,0.0
2020-06-26,4,0.0
2020-06-27,4,0.0
2020-06-28,4,0.0
2020-06-29,4,0.0
2020-06-30,4,0.0
2020-07-01,4,0.0
2020-07-02,4,0.0
2020-07-03,4,0.0
2020-07-04,4,0.0
2020-07-05,4,0.0
2020-07-06,4,0.0
2020-07-07,4,0.0
2020-07-08,4,0.0
2020-07-09,4,0.0
2020-07-10,4,0.0
2020-07-11,4,0.0
2020-07-12,4,0.0
2020-07-13,4,0.0
2020-07-14,4,0.0
2020-07-15,5,0.0
2020-07-16,5,0.0
2020-07-17,5,0.0
2020-07-18,5,0.0
2020-07-19,5,0.0
2020-07-20,5,0.0
2020-07-21,5,0.0
2020-07-22,5,0.0
2020-07-23,5,0.0
2020-07-24,5,0.0
2020-07-25,5,0.0
2020-07-26,5,0.0
2020-07-27,5,0.0
2020-07-28,5,0.0
2020-07-29,5,0.0
2020-07-30,5,0.0
2020-07-31,5,0.0
2020-08-01,5,0.0
2020-08-02,5,0.0
2020-08-03,6,0.0
2020-08-04,6,0.0
2020-08-05,7,0.0
2020-08-06,7,0.0
2020-08-07,7,0.0
2020-08-08,7,0.0
2020-08-09,7,0.0
2020-08-10,7,0.0
2020-08-11,7,0.0
2020-08-12,7,0.0
2020-08-13,7,0.0
2020-08-14,7,0.0
2020-08-15,7,0.0
2020-08-16,7,0.0
2020-08-17,8,0.0
2020-08-18,8,0.0
2020-08-19,9,0.0
2020-08-20,9,0.0
2020-08-21,14,0.0
2020-08-22,14,0.0
2020-08-23,14,0.0
2020-08-24,19,0.0
2020-08-25,19,0.0
2020-08-26,22,0.0
2020-08-27,22,0.0
2020-08-28,22,0.0
2020-08-29,22,0.0
2020-08-30,22,0.0
2020-08-31,26,0.0
2020-09-01,26,0.0
2020-09-02,30,0.0
2020-09-03,30,1.0
2020-09-04,35,1.0
2020-09-05,35,1.0
2020-09-06,35,1.0
2020-09-07,41,1.0
2020-09-08,41,1.0
2020-09-09,44,1.0
2020-09-10,44,1.0
2020-09-11,48,1.0
2020-09-12,48,1.0
2020-09-13,48,1.0
2020-09-14,51,1.0
2020-09-15,51,1.0
2020-09-16,56,5.0
2020-09-17,56,5.0
2020-09-18,62,5.0
2020-09-19,62,5.0
2020-09-20,62,5.0
2020-09-21,71,6.0
2020-09-22,71,6.0
2020-09-23,74,6.0
2020-09-24,74,6.0
2020-09-25,75,6.0
2020-09-26,75,6.0
2020-09-27,75,6.0
2020-09-28,85,6.0
2020-09-29,85,6.0
2020-09-30,92,6.0
2020-10-01,92,6.0
2020-10-02,101,7.0
2020-10-03,101,7.0
2020-10-04,101,7.0
2020-10-05,101,7.0
2020-10-06,101,7.0
2020-10-07,101,7.0
2020-10-08,101,7.0
2020-10-09,105,7.0
2020-10-10,107,7.0
2020-10-11,107,7.0
2020-10-12,107,7.0
2020-10-13,107,7.0
2020-10-14,112,8.0
2020-10-15,112,8.0
2020-10-16,120,8.0
2020-10-17,120,8.0
2020-10-18,120,8.0
2020-10-19,126,8.0
2020-10-20,126,8.0
2020-10-21,132,8.0
2020-10-22,132,8.0
2020-10-23,148,9.0
2020-10-24,148,9.0
2020-10-25,148,9.0
2020-10-26,148,9.0
2020-10-27,148,9.0
2020-10-28,154,9.0
2020-10-29,154,9.0
2020-10-30,157,9.0
2020-10-31,157,9.0
2020-11-01,157,9.0
2020-11-02,169,9.0
2020-11-03,169,9.0
2020-11-04,169,9.0
2020-11-05,169,9.0
2020-11-06,167,9.0
2020-11-07,167,9.0
2020-11-08,167,9.0
2020-11-09,167,9.0
2020-11-10,167,9.0
2020-11-11,177,9.0
2020-11-12,177,9.0
2020-11-13,189,9.0
2020-11-14,204,10.0
2020-11-15,204,10.0
2020-11-16,204,10.0
2020-11-17,204,10.0
2020-11-18,217,10.0
2020-11-19,217,10.0
2020-11-20,236,12.0
2020-11-21,236,12.0
2020-11-22,236,12.0
2020-11-23,248,12.0
2020-11-24,248,12.0
2020-11-25,278,13.0
2020-11-26,278,13.0
2020-11-27,278,13.0
2020-11-28,278,13.0
2020-11-29,278,13.0
2020-11-30,278,13.0
2020-12-01,278,13.0
2020-12-02,281,13.0
2020-12-03,281,13.0
2020-12-04,311,13.0
2020-12-05,311,13.0
2020-12-06,311,13.0
2020-12-07,311,13.0
2020-12-08,311,13.0
2020-12-09,311,13.0
2020-12-10,311,13.0
2020-12-11,321,13.0
2020-12-12,321,13.0
2020-12-13,321,15.0
2020-12-14,321,15.0
2020-12-15,321,15.0
2020-12-16,321,15.0
2020-12-17,321,15.0
2020-12-18,323,15.0
2020-12-19,323,15.0
2020-12-20,323,15.0
2020-12-21,323,15.0
