date,cases,deaths
2020-03-25,3,0
2020-03-26,4,0
2020-03-27,5,0
2020-03-28,7,1
2020-03-29,13,1
2020-03-30,14,1
2020-03-31,17,1
2020-04-01,18,2
2020-04-02,20,2
2020-04-03,24,2
2020-04-04,27,2
2020-04-05,38,3
2020-04-06,40,3
2020-04-07,43,3
2020-04-08,53,3
2020-04-09,56,3
2020-04-10,59,3
2020-04-11,73,3
2020-04-12,75,4
2020-04-13,78,5
2020-04-14,80,5
2020-04-15,82,5
2020-04-16,82,5
2020-04-17,90,5
2020-04-18,90,5
2020-04-19,91,5
2020-04-20,91,5
2020-04-21,94,5
2020-04-22,95,5
2020-04-23,98,5
2020-04-24,100,5
2020-04-25,100,5
2020-04-26,101,5
2020-04-27,106,5
2020-04-28,108,5
2020-04-29,112,5
2020-04-30,117,5
2020-05-01,121,5
2020-05-02,126,5
2020-05-03,127,5
2020-05-04,128,5
2020-05-05,133,5
2020-05-06,137,5
2020-05-07,140,5
2020-05-08,149,5
2020-05-09,160,5
2020-05-10,160,5
2020-05-11,166,5
2020-05-12,173,5
2020-05-13,178,5
2020-05-14,179,5
2020-05-15,184,5
2020-05-16,185,5
2020-05-17,185,5
2020-05-18,198,5
2020-05-19,199,5
2020-05-20,217,6
2020-05-21,234,6
2020-05-22,249,6
2020-05-23,254,6
2020-05-24,254,6
2020-05-25,265,6
2020-05-26,269,7
2020-05-27,272,7
2020-05-28,272,7
2020-05-29,294,7
2020-05-30,300,7
2020-05-31,300,7
2020-06-01,328,7
2020-06-02,328,7
