date,cases,deaths
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,4,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,5,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,6,0
2020-05-02,6,0
2020-05-03,6,0
2020-05-04,6,0
2020-05-05,6,0
2020-05-06,6,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,6,0
2020-05-10,6,0
2020-05-11,6,0
2020-05-12,6,0
2020-05-13,6,0
2020-05-14,6,0
2020-05-15,6,0
2020-05-16,6,0
2020-05-17,6,0
2020-05-18,6,0
2020-05-19,6,0
2020-05-20,6,0
2020-05-21,6,0
2020-05-22,6,0
2020-05-23,6,0
2020-05-24,6,0
2020-05-25,6,0
2020-05-26,6,0
2020-05-27,6,0
2020-05-28,6,0
2020-05-29,6,0
2020-05-30,6,0
2020-05-31,6,0
2020-06-01,6,0
2020-06-02,6,0
2020-06-03,6,0
2020-06-04,6,0
2020-06-05,6,0
2020-06-06,6,0
2020-06-07,6,0
2020-06-08,6,0
2020-06-09,6,0
2020-06-10,6,0
2020-06-11,6,0
2020-06-12,6,0
2020-06-13,6,0
2020-06-14,6,0
2020-06-15,6,0
2020-06-16,6,0
2020-06-17,6,0
2020-06-18,6,0
2020-06-19,6,0
2020-06-20,6,0
2020-06-21,6,0
2020-06-22,6,0
2020-06-23,6,0
2020-06-24,6,0
2020-06-25,6,0
2020-06-26,6,0
2020-06-27,6,0
2020-06-28,6,0
2020-06-29,8,0
2020-06-30,8,0
2020-07-01,8,0
2020-07-02,8,0
2020-07-03,9,0
2020-07-04,9,0
2020-07-05,9,0
2020-07-06,9,0
2020-07-07,9,0
2020-07-08,9,0
2020-07-09,9,0
2020-07-10,10,0
2020-07-11,10,0
2020-07-12,12,0
2020-07-13,10,0
2020-07-14,10,0
2020-07-15,10,0
2020-07-16,10,0
2020-07-17,11,0
2020-07-18,11,0
2020-07-19,11,0
2020-07-20,11,0
2020-07-21,11,0
2020-07-22,11,0
2020-07-23,11,0
2020-07-24,11,0
2020-07-25,11,0
2020-07-26,11,0
2020-07-27,11,0
2020-07-28,11,0
2020-07-29,11,0
2020-07-30,11,0
2020-07-31,11,0
2020-08-01,11,0
2020-08-02,11,0
2020-08-03,11,0
2020-08-04,11,0
2020-08-05,11,0
2020-08-06,11,0
2020-08-07,11,0
2020-08-08,11,0
2020-08-09,11,0
2020-08-10,12,0
2020-08-11,12,0
2020-08-12,12,0
2020-08-13,12,0
2020-08-14,12,0
2020-08-15,12,0
2020-08-16,12,0
2020-08-17,12,0
2020-08-18,12,0
2020-08-19,12,0
2020-08-20,12,0
2020-08-21,12,0
2020-08-22,12,0
2020-08-23,12,0
2020-08-24,12,0
2020-08-25,12,0
2020-08-26,12,0
2020-08-27,12,0
2020-08-28,12,0
2020-08-29,12,0
2020-08-30,12,0
2020-08-31,12,0
2020-09-01,12,0
2020-09-02,12,0
2020-09-03,12,0
2020-09-04,12,0
2020-09-05,12,0
2020-09-06,12,0
2020-09-07,12,0
2020-09-08,12,0
2020-09-09,12,0
2020-09-10,12,0
2020-09-11,13,0
2020-09-12,13,0
2020-09-13,13,0
2020-09-14,15,0
2020-09-15,15,0
2020-09-16,15,0
2020-09-17,15,0
2020-09-18,17,0
2020-09-19,17,0
2020-09-20,17,0
2020-09-21,19,0
2020-09-22,19,0
2020-09-23,20,0
2020-09-24,20,0
2020-09-25,20,0
2020-09-26,20,0
2020-09-27,20,0
2020-09-28,22,0
2020-09-29,22,0
2020-09-30,23,0
2020-10-01,23,0
2020-10-02,24,0
2020-10-03,24,0
2020-10-04,24,0
2020-10-05,24,0
2020-10-06,24,0
2020-10-07,24,0
2020-10-08,24,0
2020-10-09,25,0
2020-10-10,25,0
2020-10-11,25,0
2020-10-12,25,0
2020-10-13,26,0
2020-10-14,26,0
2020-10-15,26,0
2020-10-16,26,0
2020-10-17,26,0
2020-10-18,26,0
2020-10-19,26,0
2020-10-20,27,0
2020-10-21,27,0
2020-10-22,27,0
2020-10-23,33,0
2020-10-24,33,0
2020-10-25,33,0
2020-10-26,30,0
2020-10-27,30,0
2020-10-28,36,0
2020-10-29,36,0
2020-10-30,37,0
2020-10-31,37,0
2020-11-01,37,0
2020-11-02,38,0
2020-11-03,38,0
2020-11-04,38,0
2020-11-05,38,0
2020-11-06,42,0
