date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,2,0
2020-05-05,2,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,2,0
2020-05-09,2,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,2,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,4,0
2020-05-21,6,0
2020-05-22,6,0
2020-05-23,7,0
2020-05-24,7,0
2020-05-25,7,0
2020-05-26,7,0
2020-05-27,7,0
2020-05-28,10,0
2020-05-29,11,0
2020-05-30,12,0
2020-05-31,12,0
2020-06-01,14,0
2020-06-02,14,0
2020-06-03,14,0
2020-06-04,15,0
2020-06-05,15,0
2020-06-06,15,0
2020-06-07,15,0
2020-06-08,15,0
2020-06-09,16,0
2020-06-10,16,0
2020-06-11,16,0
2020-06-12,16,0
2020-06-13,17,0
2020-06-14,17,0
2020-06-15,17,0
2020-06-16,17,0
2020-06-17,25,0
2020-06-18,26,0
2020-06-19,26,0
2020-06-20,29,0
2020-06-21,29,0
2020-06-22,29,0
2020-06-23,30,0
2020-06-24,30,0
2020-06-25,30,0
2020-06-26,35,0
2020-06-27,37,0
2020-06-28,37,0
2020-06-29,37,0
2020-06-30,37,0
2020-07-01,37,0
2020-07-02,37,1
2020-07-03,42,1
2020-07-04,42,1
2020-07-05,42,1
2020-07-06,61,1
2020-07-07,63,1
2020-07-08,63,1
2020-07-09,65,1
2020-07-10,69,1
2020-07-11,77,1
2020-07-12,85,1
2020-07-13,85,1
2020-07-14,88,1
2020-07-15,96,1
2020-07-16,97,1
2020-07-17,100,2
2020-07-18,106,2
2020-07-19,126,2
2020-07-20,125,2
2020-07-21,125,2
2020-07-22,128,2
2020-07-23,133,2
2020-07-24,134,2
2020-07-25,134,2
2020-07-26,134,2
2020-07-27,134,2
2020-07-28,135,2
2020-07-29,136,2
2020-07-30,138,2
2020-07-31,140,2
2020-08-01,140,2
2020-08-02,141,2
2020-08-03,142,2
2020-08-04,145,2
2020-08-05,148,2
2020-08-06,150,2
2020-08-07,150,2
2020-08-08,158,2
2020-08-09,158,2
2020-08-10,158,2
2020-08-11,159,2
2020-08-12,164,2
2020-08-13,164,2
2020-08-14,170,2
2020-08-15,170,2
2020-08-16,170,2
2020-08-17,170,2
2020-08-18,170,2
2020-08-19,170,2
2020-08-20,175,2
2020-08-21,175,2
2020-08-22,184,2
2020-08-23,184,2
2020-08-24,187,2
2020-08-25,187,2
2020-08-26,188,2
2020-08-27,190,2
2020-08-28,190,3
2020-08-29,191,3
2020-08-30,191,3
2020-08-31,189,3
2020-09-01,192,4
2020-09-02,191,4
2020-09-03,193,4
2020-09-04,194,5
2020-09-05,195,5
2020-09-06,195,5
2020-09-07,195,5
2020-09-08,195,5
2020-09-09,194,5
2020-09-10,194,5
2020-09-11,194,5
2020-09-12,195,5
2020-09-13,195,5
2020-09-14,195,5
2020-09-15,195,5
2020-09-16,195,5
2020-09-17,195,5
2020-09-18,195,5
2020-09-19,195,5
2020-09-20,195,5
2020-09-21,195,5
2020-09-22,195,5
2020-09-23,196,5
2020-09-24,196,5
2020-09-25,199,5
2020-09-26,199,5
2020-09-27,199,5
2020-09-28,199,5
2020-09-29,201,5
2020-09-30,202,5
2020-10-01,202,5
2020-10-02,202,5
2020-10-03,203,5
2020-10-04,203,5
2020-10-05,203,5
2020-10-06,203,5
2020-10-07,203,5
2020-10-08,203,5
2020-10-09,206,5
2020-10-10,207,5
2020-10-11,209,5
2020-10-12,209,5
2020-10-13,207,5
2020-10-14,206,5
2020-10-15,207,5
2020-10-16,208,5
2020-10-17,209,5
2020-10-18,211,5
2020-10-19,211,5
2020-10-20,212,5
2020-10-21,214,5
2020-10-22,214,5
2020-10-23,214,5
2020-10-24,217,5
2020-10-25,220,5
2020-10-26,224,5
2020-10-27,224,5
2020-10-28,226,5
2020-10-29,228,5
2020-10-30,231,5
2020-10-31,232,5
2020-11-01,233,5
2020-11-02,233,5
2020-11-03,236,5
2020-11-04,239,5
2020-11-05,242,6
2020-11-06,242,6
2020-11-07,249,6
2020-11-08,250,6
2020-11-09,251,6
2020-11-10,251,6
2020-11-11,254,6
2020-11-12,258,6
2020-11-13,261,6
2020-11-14,264,6
2020-11-15,267,6
2020-11-16,267,6
2020-11-17,273,6
