date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,4,0
2020-03-22,6,0
2020-03-23,10,0
2020-03-24,12,0
2020-03-25,13,0
2020-03-26,14,0
2020-03-27,15,0
2020-03-28,20,0
2020-03-29,20,0
2020-03-30,20,0
2020-03-31,34,1
2020-04-01,42,2
2020-04-02,44,2
2020-04-03,44,2
2020-04-04,47,2
2020-04-05,58,2
2020-04-06,58,2
2020-04-07,63,2
2020-04-08,63,2
2020-04-09,72,2
2020-04-10,79,2
2020-04-11,81,3
2020-04-12,86,3
2020-04-13,87,3
2020-04-14,90,3
2020-04-15,100,3
2020-04-16,106,3
2020-04-17,105,3
2020-04-18,109,3
2020-04-19,125,3
2020-04-20,130,3
2020-04-21,125,3
2020-04-22,134,3
2020-04-23,146,6
2020-04-24,146,6
2020-04-25,147,6
2020-04-26,161,6
2020-04-27,161,6
2020-04-28,169,6
2020-04-29,182,3
2020-04-30,188,4
2020-05-01,194,4
2020-05-02,194,4
2020-05-03,228,4
2020-05-04,228,4
2020-05-05,242,4
2020-05-06,248,4
2020-05-07,258,4
2020-05-08,260,4
2020-05-09,265,4
2020-05-10,266,4
2020-05-11,270,4
2020-05-12,274,4
2020-05-13,274,4
2020-05-14,277,4
2020-05-15,287,4
2020-05-16,287,4
2020-05-17,287,4
2020-05-18,293,4
2020-05-19,296,6
2020-05-20,296,6
2020-05-21,299,6
2020-05-22,300,6
2020-05-23,305,6
2020-05-24,305,6
2020-05-25,305,6
2020-05-26,308,6
2020-05-27,312,6
2020-05-28,313,6
2020-05-29,316,6
2020-05-30,317,6
2020-05-31,317,6
2020-06-01,324,6
2020-06-02,325,6
2020-06-03,330,6
2020-06-04,337,6
2020-06-05,339,7
2020-06-06,340,7
2020-06-07,340,7
2020-06-08,342,8
2020-06-09,341,8
2020-06-10,344,8
2020-06-11,347,8
2020-06-12,350,8
2020-06-13,353,8
2020-06-14,353,8
2020-06-15,360,8
2020-06-16,360,8
2020-06-17,368,8
2020-06-18,370,8
2020-06-19,376,8
2020-06-20,376,8
2020-06-21,382,8
2020-06-22,386,8
2020-06-23,404,8
2020-06-24,407,8
2020-06-25,414,8
2020-06-26,421,8
2020-06-27,428,8
2020-06-28,428,8
2020-06-29,431,8
2020-06-30,433,8
2020-07-01,435,8
2020-07-02,440,8
2020-07-03,452,8
2020-07-04,452,8
2020-07-05,452,8
2020-07-06,458,8
2020-07-07,467,8
2020-07-08,469,8
2020-07-09,483,8
2020-07-10,493,8
2020-07-11,499,8
2020-07-12,499,8
2020-07-13,511,8
