date,cases,deaths
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,2,0.0
2020-03-25,3,0.0
2020-03-26,7,0.0
2020-03-27,10,0.0
2020-03-28,10,0.0
2020-03-29,10,0.0
2020-03-30,11,0.0
2020-03-31,14,0.0
2020-04-01,15,0.0
2020-04-02,15,0.0
2020-04-03,15,0.0
2020-04-04,15,0.0
2020-04-05,15,0.0
2020-04-06,15,0.0
2020-04-07,16,0.0
2020-04-08,18,0.0
2020-04-09,18,0.0
2020-04-10,23,0.0
2020-04-11,26,0.0
2020-04-12,27,0.0
2020-04-13,28,0.0
2020-04-14,29,0.0
2020-04-15,29,0.0
2020-04-16,30,0.0
2020-04-17,31,0.0
2020-04-18,33,0.0
2020-04-19,32,0.0
2020-04-20,32,0.0
2020-04-21,32,0.0
2020-04-22,32,0.0
2020-04-23,32,0.0
2020-04-24,32,0.0
2020-04-25,32,0.0
2020-04-26,34,0.0
2020-04-27,34,0.0
2020-04-28,37,0.0
2020-04-29,40,0.0
2020-04-30,41,0.0
2020-05-01,41,0.0
2020-05-02,41,0.0
2020-05-03,41,0.0
2020-05-04,40,0.0
2020-05-05,40,0.0
2020-05-06,40,0.0
2020-05-07,40,0.0
2020-05-08,41,0.0
2020-05-09,46,0.0
2020-05-10,46,0.0
2020-05-11,47,0.0
2020-05-12,49,0.0
2020-05-13,49,0.0
2020-05-14,50,0.0
2020-05-15,50,0.0
2020-05-16,50,0.0
2020-05-17,50,0.0
2020-05-18,52,0.0
2020-05-19,51,0.0
2020-05-20,51,0.0
2020-05-21,50,0.0
2020-05-22,50,0.0
2020-05-23,51,0.0
2020-05-24,51,0.0
2020-05-25,51,0.0
2020-05-26,55,0.0
2020-05-27,56,0.0
2020-05-28,56,0.0
2020-05-29,57,0.0
2020-05-30,62,0.0
2020-05-31,62,0.0
2020-06-01,65,0.0
2020-06-02,68,0.0
2020-06-03,67,0.0
2020-06-04,67,0.0
2020-06-05,69,0.0
2020-06-06,73,0.0
2020-06-07,73,0.0
2020-06-08,77,0.0
2020-06-09,77,0.0
2020-06-10,80,0.0
2020-06-11,79,0.0
2020-06-12,79,0.0
2020-06-13,82,0.0
2020-06-14,82,0.0
2020-06-15,83,0.0
2020-06-16,85,0.0
2020-06-17,88,0.0
2020-06-18,91,0.0
2020-06-19,95,0.0
2020-06-20,96,0.0
2020-06-21,98,0.0
2020-06-22,99,0.0
2020-06-23,100,0.0
2020-06-24,100,0.0
2020-06-25,102,0.0
2020-06-26,103,0.0
2020-06-27,105,0.0
2020-06-28,105,0.0
2020-06-29,106,0.0
2020-06-30,106,0.0
2020-07-01,108,0.0
2020-07-02,111,0.0
2020-07-03,111,0.0
2020-07-04,115,0.0
2020-07-05,116,0.0
2020-07-06,120,0.0
2020-07-07,122,0.0
2020-07-08,124,0.0
2020-07-09,125,0.0
2020-07-10,137,0.0
2020-07-11,139,0.0
2020-07-12,142,0.0
2020-07-13,146,0.0
2020-07-14,153,0.0
2020-07-15,159,0.0
2020-07-16,164,0.0
2020-07-17,167,0.0
2020-07-18,176,0.0
2020-07-19,181,0.0
2020-07-20,186,0.0
2020-07-21,192,0.0
2020-07-22,195,0.0
2020-07-23,213,0.0
2020-07-24,216,0.0
2020-07-25,230,0.0
2020-07-26,235,0.0
2020-07-27,242,0.0
2020-07-28,246,0.0
2020-07-29,252,0.0
2020-07-30,258,0.0
2020-07-31,271,0.0
2020-08-01,278,0.0
2020-08-02,295,0.0
2020-08-03,300,0.0
2020-08-04,308,0.0
2020-08-05,318,0.0
2020-08-06,327,0.0
2020-08-07,337,0.0
2020-08-08,340,0.0
2020-08-09,344,0.0
2020-08-10,347,0.0
2020-08-11,352,0.0
2020-08-12,358,0.0
2020-08-13,366,0.0
2020-08-14,366,0.0
2020-08-15,372,0.0
2020-08-16,373,0.0
2020-08-17,382,0.0
2020-08-18,389,0.0
2020-08-19,393,0.0
2020-08-20,397,0.0
2020-08-21,404,0.0
2020-08-22,411,0.0
2020-08-23,411,0.0
2020-08-24,416,0.0
2020-08-25,420,0.0
2020-08-26,428,0.0
2020-08-27,435,0.0
2020-08-28,440,0.0
2020-08-29,450,0.0
2020-08-30,457,0.0
2020-08-31,457,0.0
2020-09-01,465,0.0
2020-09-02,471,0.0
2020-09-03,472,0.0
2020-09-04,477,0.0
2020-09-05,480,0.0
2020-09-06,486,0.0
2020-09-07,492,0.0
2020-09-08,496,0.0
2020-09-09,506,0.0
2020-09-10,516,0.0
2020-09-11,523,0.0
2020-09-12,534,0.0
2020-09-13,539,0.0
2020-09-14,539,0.0
2020-09-15,545,0.0
2020-09-16,551,0.0
2020-09-17,558,0.0
2020-09-18,565,0.0
2020-09-19,571,0.0
2020-09-20,575,0.0
2020-09-21,576,0.0
2020-09-22,580,0.0
2020-09-23,581,0.0
2020-09-24,582,0.0
2020-09-25,590,0.0
2020-09-26,599,0.0
2020-09-27,608,0.0
2020-09-28,611,0.0
2020-09-29,617,0.0
2020-09-30,628,0.0
2020-10-01,638,0.0
2020-10-02,645,0.0
2020-10-03,652,0.0
2020-10-04,663,0.0
2020-10-05,669,0.0
2020-10-06,674,0.0
2020-10-07,687,0.0
2020-10-08,702,0.0
2020-10-09,724,0.0
2020-10-10,734,0.0
2020-10-11,742,0.0
2020-10-12,751,0.0
2020-10-13,771,1.0
2020-10-14,784,1.0
2020-10-15,793,1.0
2020-10-16,815,1.0
2020-10-17,827,2.0
2020-10-18,842,2.0
2020-10-19,868,2.0
2020-10-20,876,6.0
2020-10-21,895,6.0
2020-10-22,905,7.0
2020-10-23,916,7.0
2020-10-24,925,9.0
2020-10-25,941,9.0
2020-10-26,958,9.0
2020-10-27,975,11.0
2020-10-28,994,11.0
2020-10-29,1011,12.0
