date,cases,deaths
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,3,0
2020-04-20,3,0
2020-04-21,3,0
2020-04-22,3,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,4,0
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,5,0
2020-05-02,5,0
2020-05-03,6,0
2020-05-04,6,0
2020-05-05,6,0
2020-05-06,6,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,6,0
2020-05-10,6,0
2020-05-11,6,0
2020-05-12,6,0
2020-05-13,6,0
2020-05-14,6,0
2020-05-15,6,0
2020-05-16,6,0
2020-05-17,6,0
2020-05-18,6,0
2020-05-19,6,0
2020-05-20,6,0
2020-05-21,7,0
2020-05-22,7,0
2020-05-23,14,0
2020-05-24,14,0
2020-05-25,14,0
2020-05-26,15,0
2020-05-27,16,0
2020-05-28,16,0
2020-05-29,16,0
2020-05-30,17,0
2020-05-31,17,0
2020-06-01,20,0
2020-06-02,21,0
2020-06-03,21,0
2020-06-04,25,0
2020-06-05,25,0
2020-06-06,25,0
2020-06-07,25,0
2020-06-08,27,0
2020-06-09,27,0
2020-06-10,27,0
2020-06-11,27,0
2020-06-12,27,0
2020-06-13,29,0
2020-06-14,29,0
2020-06-15,31,0
2020-06-16,31,0
2020-06-17,31,0
2020-06-18,32,0
2020-06-19,32,0
2020-06-20,32,0
2020-06-21,34,0
2020-06-22,34,0
2020-06-23,34,0
2020-06-24,34,0
2020-06-25,34,0
2020-06-26,34,1
2020-06-27,34,1
2020-06-28,35,1
2020-06-29,35,1
2020-06-30,35,1
2020-07-01,36,1
2020-07-02,38,1
2020-07-03,40,1
2020-07-04,40,1
2020-07-05,40,1
