date,cases,deaths
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,3,0.0
2020-04-11,3,0.0
2020-04-12,3,0.0
2020-04-13,4,0.0
2020-04-14,4,0.0
2020-04-15,4,0.0
2020-04-16,4,0.0
2020-04-17,4,0.0
2020-04-18,5,0.0
2020-04-19,5,0.0
2020-04-20,5,0.0
2020-04-21,4,0.0
2020-04-22,4,0.0
2020-04-23,4,0.0
2020-04-24,5,0.0
2020-04-25,6,0.0
2020-04-26,6,0.0
2020-04-27,6,0.0
2020-04-28,8,0.0
2020-04-29,8,0.0
2020-04-30,8,0.0
2020-05-01,8,0.0
2020-05-02,8,0.0
2020-05-03,8,0.0
2020-05-04,8,0.0
2020-05-05,8,0.0
2020-05-06,8,0.0
2020-05-07,9,0.0
2020-05-08,9,0.0
2020-05-09,9,0.0
2020-05-10,9,0.0
2020-05-11,9,0.0
2020-05-12,9,0.0
2020-05-13,9,0.0
2020-05-14,9,0.0
2020-05-15,9,0.0
2020-05-16,9,0.0
2020-05-17,9,0.0
2020-05-18,9,0.0
2020-05-19,9,0.0
2020-05-20,9,0.0
2020-05-21,10,0.0
2020-05-22,10,0.0
2020-05-23,11,0.0
2020-05-24,11,0.0
2020-05-25,11,0.0
2020-05-26,11,0.0
2020-05-27,11,0.0
2020-05-28,11,0.0
2020-05-29,11,0.0
2020-05-30,11,1.0
2020-05-31,11,1.0
2020-06-01,11,1.0
2020-06-02,12,1.0
2020-06-03,13,1.0
2020-06-04,13,1.0
2020-06-05,13,1.0
2020-06-06,13,1.0
2020-06-07,13,1.0
2020-06-08,15,1.0
2020-06-09,15,1.0
2020-06-10,16,1.0
2020-06-11,16,1.0
2020-06-12,16,1.0
2020-06-13,16,1.0
2020-06-14,17,1.0
2020-06-15,20,1.0
2020-06-16,21,1.0
2020-06-17,26,1.0
2020-06-18,26,1.0
2020-06-19,29,1.0
2020-06-20,29,1.0
2020-06-21,31,1.0
2020-06-22,33,1.0
2020-06-23,34,1.0
2020-06-24,37,1.0
2020-06-25,38,1.0
2020-06-26,38,1.0
2020-06-27,39,1.0
2020-06-28,40,1.0
2020-06-29,41,1.0
2020-06-30,43,1.0
2020-07-01,44,1.0
2020-07-02,45,1.0
