date,cases,deaths
2020-04-10,1,0.0
2020-04-11,2,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,1,0.0
2020-04-16,1,0.0
2020-04-17,2,0.0
2020-04-18,2,0.0
2020-04-19,2,0.0
2020-04-20,2,0.0
2020-04-21,2,0.0
2020-04-22,2,0.0
2020-04-23,2,0.0
2020-04-24,2,0.0
2020-04-25,2,0.0
2020-04-26,3,0.0
2020-04-27,3,0.0
2020-04-28,3,0.0
2020-04-29,3,0.0
2020-04-30,3,0.0
2020-05-01,3,0.0
2020-05-02,3,0.0
2020-05-03,3,0.0
2020-05-04,3,0.0
2020-05-05,3,0.0
2020-05-06,3,0.0
2020-05-07,3,0.0
2020-05-08,3,0.0
2020-05-09,3,0.0
2020-05-10,3,0.0
2020-05-11,3,0.0
2020-05-12,3,0.0
2020-05-13,3,0.0
2020-05-14,3,0.0
2020-05-15,3,0.0
2020-05-16,3,0.0
2020-05-17,3,0.0
2020-05-18,3,0.0
2020-05-19,3,0.0
2020-05-20,3,0.0
2020-05-21,4,0.0
2020-05-22,5,0.0
2020-05-23,5,0.0
2020-05-24,5,0.0
2020-05-25,5,0.0
2020-05-26,5,0.0
2020-05-27,5,0.0
2020-05-28,5,0.0
2020-05-29,5,0.0
2020-05-30,6,0.0
2020-05-31,6,0.0
2020-06-01,6,0.0
2020-06-02,6,0.0
2020-06-03,6,0.0
2020-06-04,6,0.0
2020-06-05,6,0.0
2020-06-06,6,0.0
2020-06-07,6,0.0
2020-06-08,6,0.0
2020-06-09,6,0.0
2020-06-10,6,0.0
2020-06-11,5,0.0
2020-06-12,5,0.0
2020-06-13,5,0.0
2020-06-14,5,0.0
2020-06-15,5,0.0
2020-06-16,5,0.0
2020-06-17,5,0.0
2020-06-18,5,0.0
2020-06-19,5,0.0
2020-06-20,5,0.0
2020-06-21,5,0.0
2020-06-22,5,0.0
2020-06-23,6,0.0
2020-06-24,6,0.0
2020-06-25,6,0.0
2020-06-26,6,0.0
2020-06-27,6,0.0
2020-06-28,7,0.0
2020-06-29,7,0.0
2020-06-30,7,0.0
2020-07-01,7,0.0
2020-07-02,7,0.0
2020-07-03,7,0.0
2020-07-04,7,0.0
2020-07-05,7,0.0
2020-07-06,7,0.0
2020-07-07,7,0.0
2020-07-08,7,0.0
2020-07-09,9,0.0
2020-07-10,13,0.0
2020-07-11,15,0.0
2020-07-12,15,0.0
2020-07-13,15,0.0
2020-07-14,16,0.0
2020-07-15,16,0.0
2020-07-16,18,0.0
2020-07-17,20,0.0
2020-07-18,20,0.0
2020-07-19,25,0.0
2020-07-20,25,0.0
2020-07-21,25,0.0
2020-07-22,25,0.0
2020-07-23,25,0.0
2020-07-24,27,0.0
2020-07-25,27,0.0
2020-07-26,27,0.0
2020-07-27,27,0.0
2020-07-28,27,0.0
2020-07-29,28,0.0
2020-07-30,32,0.0
2020-07-31,32,0.0
2020-08-01,32,0.0
2020-08-02,32,0.0
2020-08-03,32,0.0
2020-08-04,32,0.0
2020-08-05,32,0.0
2020-08-06,33,0.0
2020-08-07,33,0.0
2020-08-08,33,0.0
2020-08-09,32,0.0
2020-08-10,32,0.0
2020-08-11,32,0.0
2020-08-12,33,0.0
2020-08-13,34,0.0
2020-08-14,34,0.0
2020-08-15,35,0.0
2020-08-16,35,0.0
2020-08-17,35,0.0
2020-08-18,36,0.0
2020-08-19,38,0.0
2020-08-20,38,0.0
2020-08-21,38,0.0
2020-08-22,39,0.0
2020-08-23,39,0.0
2020-08-24,41,0.0
2020-08-25,41,0.0
2020-08-26,43,0.0
2020-08-27,43,0.0
2020-08-28,43,0.0
2020-08-29,43,0.0
2020-08-30,46,0.0
2020-08-31,46,0.0
2020-09-01,46,0.0
2020-09-02,48,0.0
2020-09-03,47,0.0
2020-09-04,49,0.0
2020-09-05,49,0.0
2020-09-06,49,0.0
2020-09-07,49,0.0
2020-09-08,50,0.0
2020-09-09,50,0.0
2020-09-10,50,0.0
2020-09-11,51,0.0
2020-09-12,51,0.0
2020-09-13,51,0.0
2020-09-14,52,0.0
2020-09-15,52,0.0
2020-09-16,55,0.0
2020-09-17,55,0.0
2020-09-18,56,0.0
2020-09-19,57,0.0
2020-09-20,57,0.0
2020-09-21,57,0.0
2020-09-22,58,0.0
2020-09-23,59,0.0
2020-09-24,61,0.0
2020-09-25,63,0.0
2020-09-26,65,0.0
2020-09-27,66,0.0
2020-09-28,67,0.0
2020-09-29,69,0.0
2020-09-30,68,0.0
2020-10-01,69,0.0
2020-10-02,69,0.0
2020-10-03,70,0.0
2020-10-04,72,0.0
2020-10-05,72,0.0
2020-10-06,72,0.0
2020-10-07,72,0.0
2020-10-08,73,0.0
2020-10-09,73,0.0
2020-10-10,74,0.0
2020-10-11,76,0.0
2020-10-12,77,0.0
2020-10-13,77,0.0
2020-10-14,77,0.0
2020-10-15,79,0.0
2020-10-16,81,0.0
2020-10-17,80,0.0
2020-10-18,81,0.0
2020-10-19,81,0.0
2020-10-20,80,0.0
2020-10-21,84,0.0
2020-10-22,84,0.0
2020-10-23,84,0.0
2020-10-24,84,0.0
2020-10-25,86,0.0
2020-10-26,86,0.0
2020-10-27,86,0.0
2020-10-28,88,0.0
2020-10-29,90,0.0
2020-10-30,95,0.0
2020-10-31,97,0.0
2020-11-01,102,0.0
2020-11-02,103,0.0
2020-11-03,105,0.0
2020-11-04,107,0.0
2020-11-05,112,0.0
2020-11-06,114,0.0
2020-11-07,116,0.0
2020-11-08,118,0.0
2020-11-09,119,0.0
2020-11-10,121,0.0
2020-11-11,122,0.0
2020-11-12,125,0.0
2020-11-13,125,0.0
2020-11-14,129,0.0
2020-11-15,129,0.0
2020-11-16,132,0.0
2020-11-17,134,0.0
2020-11-18,134,0.0
2020-11-19,136,0.0
2020-11-20,142,0.0
2020-11-21,144,0.0
2020-11-22,146,0.0
2020-11-23,148,0.0
2020-11-24,151,0.0
2020-11-25,158,0.0
2020-11-26,158,0.0
2020-11-27,170,0.0
2020-11-28,174,0.0
2020-11-29,180,0.0
2020-11-30,181,0.0
2020-12-01,184,0.0
2020-12-02,190,0.0
2020-12-03,199,0.0
2020-12-04,202,0.0
2020-12-05,205,0.0
2020-12-06,218,0.0
2020-12-07,222,0.0
2020-12-08,225,0.0
2020-12-09,233,0.0
2020-12-10,251,0.0
2020-12-11,280,0.0
2020-12-12,304,0.0
2020-12-13,319,0.0
2020-12-14,322,0.0
2020-12-15,323,0.0
2020-12-16,332,0.0
2020-12-17,337,0.0
2020-12-18,340,0.0
2020-12-19,342,0.0
2020-12-20,348,0.0
2020-12-21,351,0.0
2020-12-22,350,0.0
2020-12-23,356,0.0
2020-12-24,356,0.0
2020-12-25,356,0.0
2020-12-26,361,0.0
2020-12-27,364,0.0
2020-12-28,365,0.0
2020-12-29,369,0.0
2020-12-30,373,0.0
2020-12-31,373,0.0
2021-01-01,373,0.0
2021-01-02,385,2.0
2021-01-03,386,2.0
2021-01-04,391,2.0
2021-01-05,391,2.0
2021-01-06,408,2.0
2021-01-07,413,2.0
2021-01-08,429,2.0
2021-01-09,430,2.0
2021-01-10,436,2.0
2021-01-11,439,2.0
2021-01-12,442,2.0
2021-01-13,453,2.0
2021-01-14,462,2.0
2021-01-15,465,2.0
2021-01-16,472,2.0
2021-01-17,478,2.0
2021-01-18,482,2.0
2021-01-19,480,2.0
2021-01-20,485,3.0
2021-01-21,488,3.0
2021-01-22,495,3.0
2021-01-23,496,3.0
2021-01-24,497,3.0
2021-01-25,501,3.0
2021-01-26,505,3.0
2021-01-27,514,3.0
2021-01-28,520,3.0
2021-01-29,521,3.0
2021-01-30,523,3.0
2021-01-31,526,3.0
2021-02-01,529,3.0
2021-02-02,527,3.0
2021-02-03,534,3.0
2021-02-04,534,3.0
2021-02-05,540,3.0
2021-02-06,549,3.0
2021-02-07,553,3.0
2021-02-08,555,3.0
2021-02-09,558,3.0
2021-02-10,564,3.0
2021-02-11,566,3.0
2021-02-12,571,3.0
2021-02-13,572,3.0
2021-02-14,575,3.0
2021-02-15,580,3.0
2021-02-16,581,3.0
2021-02-17,583,3.0
2021-02-18,584,3.0
2021-02-19,589,3.0
2021-02-20,589,3.0
2021-02-21,590,3.0
