date,cases,deaths
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,8,0
2020-04-19,8,0
2020-04-20,8,0
2020-04-21,8,0
2020-04-22,8,0
2020-04-23,8,0
2020-04-24,8,0
2020-04-25,8,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,8,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,8,0
2020-05-05,9,0
2020-05-06,10,0
2020-05-07,10,0
2020-05-08,10,0
2020-05-09,10,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,10,0
2020-05-17,10,0
2020-05-18,10,0
2020-05-19,10,0
2020-05-20,10,0
2020-05-21,10,0
2020-05-22,10,0
2020-05-23,10,0
2020-05-24,10,0
2020-05-25,10,0
2020-05-26,10,0
2020-05-27,10,0
2020-05-28,10,0
2020-05-29,11,0
2020-05-30,11,0
2020-05-31,11,0
2020-06-01,13,0
2020-06-02,15,0
2020-06-03,15,0
2020-06-04,15,0
2020-06-05,15,0
2020-06-06,15,0
2020-06-07,15,0
2020-06-08,15,0
2020-06-09,15,0
2020-06-10,15,0
2020-06-11,15,0
2020-06-12,16,0
2020-06-13,17,0
2020-06-14,17,0
2020-06-15,19,0
2020-06-16,19,0
2020-06-17,20,0
2020-06-18,22,0
2020-06-19,24,0
2020-06-20,25,0
2020-06-21,25,0
2020-06-22,25,0
2020-06-23,25,0
2020-06-24,25,0
2020-06-25,26,0
2020-06-26,28,0
2020-06-27,29,0
2020-06-28,29,0
2020-06-29,29,0
2020-06-30,29,0
2020-07-01,29,0
2020-07-02,29,0
2020-07-03,29,0
2020-07-04,29,0
2020-07-05,29,0
2020-07-06,29,0
2020-07-07,30,0
2020-07-08,30,0
2020-07-09,30,0
2020-07-10,30,0
2020-07-11,31,0
2020-07-12,32,0
2020-07-13,32,0
2020-07-14,32,0
2020-07-15,33,0
2020-07-16,33,0
2020-07-17,34,0
2020-07-18,34,0
2020-07-19,37,0
2020-07-20,37,0
2020-07-21,40,0
2020-07-22,40,0
2020-07-23,42,0
2020-07-24,44,0
2020-07-25,45,0
2020-07-26,46,0
2020-07-27,49,0
2020-07-28,50,0
2020-07-29,50,0
2020-07-30,52,0
