date,cases,deaths
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,2,0
2020-03-15,2,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,6,0
2020-03-19,10,0
2020-03-20,12,0
2020-03-21,15,0
2020-03-22,16,0
2020-03-23,34,0
2020-03-24,40,0
2020-03-25,93,0
2020-03-26,115,1
2020-03-27,140,2
2020-03-28,189,2
2020-03-29,219,5
2020-03-30,222,5
2020-03-31,242,7
2020-04-01,298,7
2020-04-02,336,10
2020-04-03,377,10
2020-04-04,598,10
2020-04-05,647,19
2020-04-06,711,21
2020-04-07,756,26
2020-04-08,803,25
2020-04-09,906,26
2020-04-10,950,39
2020-04-11,974,39
2020-04-12,1018,39
2020-04-13,1033,39
2020-04-14,1097,56
2020-04-15,1118,57
2020-04-16,1154,55
2020-04-17,1220,56
2020-04-18,1244,68
2020-04-19,1261,70
2020-04-20,1276,72
2020-04-21,1310,83
2020-04-22,1332,84
2020-04-23,1389,85
2020-04-24,1407,85
2020-04-25,1432,92
2020-04-26,1448,93
2020-04-27,1470,93
2020-04-28,1497,100
2020-04-29,1525,106
2020-04-30,1540,107
2020-05-01,1579,113
2020-05-02,1601,113
2020-05-03,1610,114
2020-05-04,1629,114
2020-05-05,1639,123
2020-05-06,1667,124
2020-05-07,1690,126
2020-05-08,1712,128
2020-05-09,1743,129
2020-05-10,1751,133
2020-05-11,1765,132
2020-05-12,1784,135
2020-05-13,1800,140
2020-05-14,1818,143
2020-05-15,1846,147
2020-05-16,1864,155
2020-05-17,1877,155
2020-05-18,1898,155
2020-05-19,1912,155
2020-05-20,1939,156
2020-05-21,2272,156
2020-05-22,2293,171
2020-05-23,2299,174
2020-05-24,2312,174
2020-05-25,2343,174
2020-05-26,2347,175
2020-05-27,2427,175
2020-05-28,2480,180
2020-05-29,2480,186
2020-05-30,2525,188
2020-05-31,2562,188
2020-06-01,2578,189
2020-06-02,2609,190
2020-06-03,2633,198
2020-06-04,2676,198
2020-06-05,2699,203
2020-06-06,2713,206
2020-06-07,2731,206
2020-06-08,2737,206
2020-06-09,2755,210
2020-06-10,2784,210
2020-06-11,2794,210
2020-06-12,2803,210
2020-06-13,2830,213
2020-06-14,2853,213
2020-06-15,2869,214
2020-06-16,2888,217
2020-06-17,2933,217
2020-06-18,2933,217
2020-06-19,2831,219
2020-06-20,2881,223
2020-06-21,2905,223
2020-06-22,2920,223
2020-06-23,2953,223
2020-06-24,2995,228
2020-06-25,3096,230
2020-06-26,3161,232
2020-06-27,3161,232
2020-06-28,3211,232
2020-06-29,3260,232
2020-06-30,3309,235
2020-07-01,3418,235
2020-07-02,3520,235
2020-07-03,3598,243
2020-07-04,3598,243
2020-07-05,3706,243
2020-07-06,3740,243
2020-07-07,3835,243
2020-07-08,3946,243
2020-07-09,4055,243
2020-07-10,4213,247
2020-07-11,4276,247
2020-07-12,4323,247
2020-07-13,4413,248
2020-07-14,4522,249
2020-07-15,4606,249
2020-07-16,4681,252
2020-07-17,4798,255
2020-07-18,4798,255
2020-07-19,4965,257
2020-07-20,5041,258
2020-07-21,5093,261
2020-07-22,5254,263
2020-07-23,5357,263
