date,cases,deaths
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,5,0.0
2020-03-24,6,0.0
2020-03-25,6,0.0
2020-03-26,11,0.0
2020-03-27,11,0.0
2020-03-28,12,0.0
2020-03-29,15,0.0
2020-03-30,16,0.0
2020-03-31,23,0.0
2020-04-01,25,0.0
2020-04-02,33,0.0
2020-04-03,40,1.0
2020-04-04,64,1.0
2020-04-05,67,1.0
2020-04-06,79,1.0
2020-04-07,94,1.0
2020-04-08,99,1.0
2020-04-09,103,1.0
2020-04-10,107,1.0
2020-04-11,109,1.0
2020-04-12,120,1.0
2020-04-13,122,3.0
2020-04-14,129,4.0
2020-04-15,133,5.0
2020-04-16,136,5.0
2020-04-17,142,7.0
2020-04-18,144,8.0
2020-04-19,148,8.0
2020-04-20,149,8.0
2020-04-21,158,9.0
2020-04-22,161,10.0
2020-04-23,165,11.0
2020-04-24,172,11.0
2020-04-25,177,11.0
2020-04-26,182,11.0
2020-04-27,183,11.0
2020-04-28,185,13.0
2020-04-29,190,14.0
2020-04-30,197,15.0
2020-05-01,229,15.0
2020-05-02,235,16.0
2020-05-03,238,16.0
2020-05-04,243,16.0
2020-05-05,247,18.0
2020-05-06,266,18.0
2020-05-07,268,19.0
2020-05-08,268,21.0
2020-05-09,277,22.0
2020-05-10,278,24.0
2020-05-11,281,24.0
2020-05-12,283,24.0
2020-05-13,293,23.0
2020-05-14,343,23.0
2020-05-15,347,23.0
2020-05-16,344,24.0
2020-05-17,348,25.0
2020-05-18,350,25.0
2020-05-19,356,26.0
2020-05-20,358,26.0
2020-05-21,363,26.0
2020-05-22,366,26.0
2020-05-23,373,26.0
2020-05-24,375,26.0
2020-05-25,391,26.0
2020-05-26,399,27.0
2020-05-27,403,27.0
2020-05-28,408,27.0
2020-05-29,408,27.0
2020-05-30,417,28.0
2020-05-31,422,29.0
2020-06-01,428,29.0
2020-06-02,440,30.0
2020-06-03,446,31.0
2020-06-04,453,31.0
2020-06-05,458,31.0
2020-06-06,460,31.0
2020-06-07,464,31.0
2020-06-08,468,31.0
2020-06-09,481,31.0
2020-06-10,484,31.0
2020-06-11,495,31.0
2020-06-12,514,31.0
2020-06-13,525,31.0
2020-06-14,526,32.0
2020-06-15,546,32.0
2020-06-16,561,33.0
2020-06-17,573,33.0
2020-06-18,573,33.0
2020-06-19,638,34.0
2020-06-20,669,35.0
2020-06-21,683,35.0
2020-06-22,690,36.0
2020-06-23,751,36.0
2020-06-24,768,36.0
2020-06-25,794,36.0
2020-06-26,814,37.0
2020-06-27,814,37.0
2020-06-28,846,37.0
2020-06-29,860,37.0
2020-06-30,903,37.0
2020-07-01,983,38.0
2020-07-02,1025,38.0
2020-07-03,1102,38.0
2020-07-04,1102,38.0
2020-07-05,1156,38.0
2020-07-06,1181,39.0
2020-07-07,1267,39.0
2020-07-08,1305,40.0
2020-07-09,1344,40.0
2020-07-10,1424,40.0
2020-07-11,1484,40.0
2020-07-12,1528,40.0
2020-07-13,1565,40.0
