date,cases,deaths
2020-03-10,5,0
2020-03-11,11,0
2020-03-12,12,0
2020-03-13,28,0
2020-03-14,53,1
2020-03-15,75,2
2020-03-16,95,3
2020-03-17,136,5
2020-03-18,196,6
2020-03-19,252,8
2020-03-20,329,8
2020-03-21,418,13
2020-03-22,451,15
2020-03-23,567,20
2020-03-24,675,26
2020-03-25,827,37
2020-03-26,997,46
2020-03-27,1170,57
2020-03-28,1298,70
2020-03-29,1350,73
2020-03-30,1480,86
2020-03-31,1834,101
2020-04-01,2270,115
2020-04-02,3148,125
2020-04-03,3476,148
2020-04-04,3966,153
2020-04-05,4066,161
2020-04-06,4565,171
2020-04-07,4942,185
2020-04-08,5070,208
2020-04-09,5242,224
2020-04-10,5416,225
2020-04-11,5535,232
2020-04-12,5600,235
2020-04-13,5651,244
2020-04-14,5718,276
2020-04-15,5769,287
2020-04-16,5847,302
2020-04-17,5906,317
2020-04-18,5953,324
2020-04-19,6000,329
2020-04-20,6148,339
2020-04-21,6169,344
2020-04-22,6209,367
2020-04-23,6263,387
2020-04-24,6286,392
2020-04-25,6297,399
2020-04-26,6342,406
2020-04-27,6365,406
2020-04-28,6380,410
2020-04-29,6420,416
2020-04-30,6452,434
2020-05-01,6495,437
2020-05-02,6524,439
2020-05-03,6538,441
2020-05-04,6557,447
2020-05-05,6575,453
2020-05-06,6608,464
2020-05-07,6626,463
2020-05-08,6645,463
2020-05-09,6674,468
2020-05-10,6682,468
2020-05-11,6693,470
2020-05-12,6718,477
2020-05-13,6753,481
2020-05-14,6768,482
2020-05-15,6787,489
2020-05-16,6781,495
2020-05-17,6809,495
2020-05-18,6822,495
2020-05-19,6869,494
2020-05-20,6884,500
2020-05-21,6904,500
2020-05-22,6944,500
2020-05-23,6949,500
2020-05-24,6953,500
2020-05-25,7005,500
2020-05-26,7021,504
2020-05-27,7045,504
2020-05-28,7067,505
2020-05-29,7067,505
2020-05-30,7108,507
2020-05-31,7127,507
2020-06-01,7141,507
2020-06-02,7156,506
2020-06-03,7174,509
2020-06-04,7192,511
2020-06-05,7206,511
2020-06-06,7222,512
2020-06-07,7230,512
2020-06-08,7237,512
2020-06-09,7247,513
2020-06-10,7279,513
2020-06-11,7294,515
2020-06-12,7319,516
2020-06-13,7374,516
2020-06-14,7393,518
2020-06-15,7411,519
2020-06-16,7428,522
2020-06-17,7459,523
2020-06-18,7459,523
2020-06-19,7448,526
2020-06-20,7491,529
2020-06-21,7518,529
2020-06-22,7536,529
2020-06-23,7571,529
2020-06-24,7610,529
2020-06-25,7638,529
2020-06-26,7681,530
2020-06-27,7681,530
2020-06-28,7760,531
2020-06-29,7796,532
2020-06-30,7851,534
2020-07-01,7919,534
2020-07-02,7960,534
2020-07-03,8031,534
2020-07-04,8031,534
2020-07-05,8107,534
2020-07-06,8143,534
2020-07-07,8206,536
2020-07-08,8287,536
2020-07-09,8344,539
2020-07-10,8476,541
2020-07-11,8598,540
2020-07-12,8665,540
2020-07-13,8745,540
2020-07-14,8846,542
2020-07-15,8946,543
2020-07-16,9052,543
2020-07-17,9160,544
2020-07-18,9160,544
2020-07-19,9265,545
2020-07-20,9379,546
2020-07-21,9451,546
2020-07-22,9586,546
2020-07-23,9649,546
2020-07-24,9752,548
2020-07-25,9752,548
2020-07-26,9898,552
2020-07-27,10011,552
2020-07-28,10071,553
2020-07-29,10120,559
2020-07-30,10204,560
2020-07-31,10255,560
2020-08-01,10255,560
2020-08-02,10384,560
2020-08-03,10426,560
2020-08-04,10487,560
2020-08-05,10526,560
2020-08-06,10573,561
2020-08-07,10637,562
2020-08-08,10637,562
2020-08-09,10735,562
2020-08-10,10768,562
2020-08-11,10805,562
2020-08-12,10851,564
2020-08-13,10899,565
2020-08-14,10939,566
2020-08-15,10939,566
2020-08-16,10992,568
2020-08-17,11027,568
2020-08-18,11039,568
2020-08-19,11064,568
2020-08-20,11104,569
2020-08-21,11134,569
2020-08-22,11134,569
2020-08-23,11191,570
2020-08-24,11214,570
2020-08-25,11229,572
2020-08-26,11269,573
2020-08-27,11279,574
2020-08-28,11326,576
2020-08-29,11326,576
2020-08-30,11494,577
2020-08-31,11514,577
2020-09-01,11573,577
2020-09-02,11687,578
2020-09-03,11727,578
2020-09-04,11816,578
2020-09-05,11816,578
2020-09-06,11926,579
2020-09-07,11932,581
2020-09-08,11975,581
2020-09-09,12048,583
2020-09-10,12063,584
2020-09-11,12125,584
2020-09-12,12125,584
2020-09-13,12169,584
2020-09-14,12184,584
2020-09-15,12235,584
2020-09-16,12260,585
2020-09-17,12268,585
2020-09-18,12287,585
2020-09-19,12287,585
2020-09-20,12343,587
2020-09-21,12345,587
2020-09-22,12407,587
2020-09-23,12436,587
2020-09-24,12514,587
2020-09-25,12524,587
2020-09-26,12524,587
2020-09-27,12569,587
2020-09-28,12599,587
2020-09-29,12649,587
2020-09-30,12672,587
2020-10-01,12700,587
2020-10-02,12738,588
2020-10-03,12738,588
2020-10-04,12771,588
2020-10-05,12780,589
2020-10-06,12837,589
2020-10-07,12867,589
2020-10-08,12902,589
