date,cases,deaths
2020-03-21,2,0
2020-03-22,4,0
2020-03-23,7,1
2020-03-24,7,1
2020-03-25,10,1
2020-03-26,19,1
2020-03-27,25,1
2020-03-28,34,1
2020-03-29,41,1
2020-03-30,44,1
2020-03-31,57,1
2020-04-01,80,1
2020-04-02,94,1
2020-04-03,114,1
2020-04-04,176,1
2020-04-05,182,1
2020-04-06,230,1
2020-04-07,264,1
2020-04-08,275,3
2020-04-09,300,4
2020-04-10,326,5
2020-04-11,350,5
2020-04-12,367,5
2020-04-13,384,5
2020-04-14,387,7
2020-04-15,411,8
2020-04-16,429,9
2020-04-17,470,11
2020-04-18,483,12
2020-04-19,511,13
2020-04-20,518,13
2020-04-21,532,13
2020-04-22,552,14
2020-04-23,579,16
2020-04-24,598,16
2020-04-25,609,16
2020-04-26,622,16
2020-04-27,645,16
2020-04-28,651,16
2020-04-29,671,16
2020-04-30,706,16
2020-05-01,730,21
2020-05-02,755,22
2020-05-03,770,22
2020-05-04,785,22
2020-05-05,793,22
2020-05-06,806,24
2020-05-07,814,25
2020-05-08,820,25
