date,cases,deaths
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,2,0.0
2020-03-19,3,0.0
2020-03-20,6,0.0
2020-03-21,9,0.0
2020-03-22,10,0.0
2020-03-23,16,0.0
2020-03-24,21,0.0
2020-03-25,27,2.0
2020-03-26,38,2.0
2020-03-27,41,3.0
2020-03-28,54,3.0
2020-03-29,57,5.0
2020-03-30,75,8.0
2020-03-31,104,12.0
2020-04-01,118,13.0
2020-04-02,274,14.0
2020-04-03,290,17.0
2020-04-04,338,23.0
2020-04-05,345,24.0
2020-04-06,366,24.0
2020-04-07,415,34.0
2020-04-08,432,35.0
2020-04-09,477,35.0
2020-04-10,507,37.0
2020-04-11,538,38.0
2020-04-12,545,38.0
2020-04-13,556,40.0
2020-04-14,562,48.0
2020-04-15,569,47.0
2020-04-16,609,47.0
2020-04-17,623,50.0
2020-04-18,637,53.0
2020-04-19,642,53.0
2020-04-20,669,53.0
2020-04-21,686,57.0
2020-04-22,704,57.0
2020-04-23,721,59.0
2020-04-24,736,63.0
2020-04-25,747,64.0
2020-04-26,749,64.0
2020-04-27,751,64.0
2020-04-28,758,66.0
2020-04-29,765,68.0
2020-04-30,768,69.0
2020-05-01,771,71.0
2020-05-02,772,71.0
2020-05-03,772,71.0
2020-05-04,777,71.0
2020-05-05,782,75.0
2020-05-06,790,74.0
2020-05-07,791,76.0
2020-05-08,791,76.0
2020-05-09,801,76.0
2020-05-10,801,76.0
2020-05-11,801,77.0
2020-05-12,804,76.0
2020-05-13,808,77.0
2020-05-14,820,78.0
2020-05-15,830,77.0
2020-05-16,829,77.0
2020-05-17,829,77.0
2020-05-18,830,77.0
2020-05-19,831,77.0
2020-05-20,832,77.0
2020-05-21,838,77.0
2020-05-22,838,77.0
2020-05-23,838,77.0
2020-05-24,841,77.0
2020-05-25,845,77.0
2020-05-26,848,77.0
2020-05-27,849,77.0
2020-05-28,850,78.0
2020-05-29,850,79.0
2020-05-30,858,79.0
2020-05-31,860,79.0
2020-06-01,862,79.0
2020-06-02,864,82.0
2020-06-03,868,82.0
2020-06-04,872,82.0
2020-06-05,873,84.0
2020-06-06,875,84.0
2020-06-07,877,84.0
