date,cases,deaths
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,2,0.0
2020-03-20,2,0.0
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,2,1.0
2020-03-24,3,1.0
2020-03-25,4,1.0
2020-03-26,6,1.0
2020-03-27,8,1.0
2020-03-28,10,1.0
2020-03-29,12,1.0
2020-03-30,22,1.0
2020-03-31,28,1.0
2020-04-01,39,2.0
2020-04-02,50,2.0
2020-04-03,57,2.0
2020-04-04,75,2.0
2020-04-05,81,2.0
2020-04-06,92,2.0
2020-04-07,100,2.0
2020-04-08,106,5.0
2020-04-09,119,8.0
2020-04-10,136,7.0
2020-04-11,142,7.0
2020-04-12,147,7.0
2020-04-13,156,8.0
2020-04-14,162,9.0
2020-04-15,173,10.0
2020-04-16,179,10.0
2020-04-17,184,11.0
2020-04-18,188,11.0
2020-04-19,191,11.0
2020-04-20,195,11.0
2020-04-21,206,13.0
2020-04-22,214,13.0
2020-04-23,225,13.0
2020-04-24,232,14.0
2020-04-25,241,14.0
2020-04-26,245,14.0
2020-04-27,253,18.0
2020-04-28,256,18.0
2020-04-29,261,18.0
2020-04-30,262,18.0
2020-05-01,273,21.0
2020-05-02,282,21.0
2020-05-03,285,21.0
2020-05-04,291,21.0
2020-05-05,292,23.0
2020-05-06,298,24.0
2020-05-07,308,24.0
2020-05-08,312,24.0
2020-05-09,335,26.0
2020-05-10,337,26.0
2020-05-11,342,26.0
2020-05-12,347,26.0
2020-05-13,350,29.0
2020-05-14,356,29.0
2020-05-15,357,31.0
2020-05-16,363,32.0
2020-05-17,365,32.0
2020-05-18,370,32.0
2020-05-19,375,34.0
2020-05-20,376,36.0
2020-05-21,383,36.0
2020-05-22,389,37.0
2020-05-23,389,37.0
2020-05-24,389,37.0
2020-05-25,398,37.0
2020-05-26,400,37.0
2020-05-27,407,37.0
2020-05-28,410,38.0
2020-05-29,410,38.0
2020-05-30,419,38.0
2020-05-31,425,38.0
2020-06-01,433,38.0
2020-06-02,437,38.0
2020-06-03,444,39.0
2020-06-04,451,41.0
2020-06-05,457,42.0
2020-06-06,462,42.0
2020-06-07,465,42.0
2020-06-08,478,42.0
2020-06-09,489,42.0
2020-06-10,500,42.0
2020-06-11,509,43.0
2020-06-12,520,43.0
2020-06-13,528,43.0
2020-06-14,532,43.0
2020-06-15,546,43.0
2020-06-16,556,43.0
2020-06-17,560,43.0
2020-06-18,560,43.0
2020-06-19,570,43.0
2020-06-20,579,44.0
2020-06-21,581,44.0
2020-06-22,585,44.0
2020-06-23,596,45.0
2020-06-24,607,45.0
2020-06-25,615,45.0
2020-06-26,625,46.0
2020-06-27,625,46.0
2020-06-28,647,46.0
2020-06-29,663,46.0
2020-06-30,678,46.0
2020-07-01,691,46.0
2020-07-02,700,46.0
2020-07-03,705,46.0
2020-07-04,705,46.0
2020-07-05,720,47.0
2020-07-06,726,47.0
2020-07-07,754,47.0
2020-07-08,765,48.0
2020-07-09,778,48.0
2020-07-10,812,49.0
2020-07-11,824,49.0
2020-07-12,839,51.0
2020-07-13,852,51.0
2020-07-14,871,51.0
2020-07-15,883,51.0
2020-07-16,904,51.0
2020-07-17,919,51.0
2020-07-18,919,51.0
2020-07-19,942,51.0
2020-07-20,1000,54.0
2020-07-21,1008,54.0
2020-07-22,1033,54.0
2020-07-23,1046,55.0
2020-07-24,1059,55.0
2020-07-25,1059,55.0
2020-07-26,1093,55.0
2020-07-27,1123,56.0
2020-07-28,1128,56.0
2020-07-29,1133,56.0
2020-07-30,1151,58.0
2020-07-31,1166,58.0
2020-08-01,1166,58.0
2020-08-02,1193,58.0
2020-08-03,1199,58.0
2020-08-04,1211,58.0
2020-08-05,1220,58.0
2020-08-06,1235,58.0
2020-08-07,1247,58.0
2020-08-08,1247,58.0
2020-08-09,1265,58.0
2020-08-10,1281,58.0
2020-08-11,1293,58.0
2020-08-12,1298,58.0
2020-08-13,1312,58.0
2020-08-14,1320,58.0
2020-08-15,1320,58.0
2020-08-16,1335,59.0
2020-08-17,1346,59.0
2020-08-18,1346,59.0
2020-08-19,1354,59.0
2020-08-20,1369,59.0
2020-08-21,1383,59.0
2020-08-22,1383,59.0
2020-08-23,1402,59.0
2020-08-24,1415,59.0
2020-08-25,1426,59.0
2020-08-26,1431,60.0
2020-08-27,1436,60.0
2020-08-28,1446,60.0
2020-08-29,1446,60.0
2020-08-30,1460,60.0
2020-08-31,1460,60.0
2020-09-01,1473,60.0
2020-09-02,1480,60.0
