date,cases,deaths
2020-03-08,1,0.0
2020-03-09,1,0.0
2020-03-10,1,0.0
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,2,0.0
2020-03-15,2,0.0
2020-03-16,2,0.0
2020-03-17,2,0.0
2020-03-18,3,0.0
2020-03-19,3,0.0
2020-03-20,5,0.0
2020-03-21,5,0.0
2020-03-22,5,0.0
2020-03-23,5,0.0
2020-03-24,5,0.0
2020-03-25,5,0.0
2020-03-26,9,0.0
2020-03-27,18,0.0
2020-03-28,21,0.0
2020-03-29,23,0.0
2020-03-30,24,0.0
2020-03-31,25,0.0
2020-04-01,34,0.0
2020-04-02,37,0.0
2020-04-03,41,0.0
2020-04-04,44,0.0
2020-04-05,52,0.0
2020-04-06,55,0.0
2020-04-07,59,0.0
2020-04-08,86,0.0
2020-04-09,101,0.0
2020-04-10,110,0.0
2020-04-11,120,1.0
2020-04-12,129,0.0
2020-04-13,142,0.0
2020-04-14,147,0.0
2020-04-15,155,3.0
2020-04-16,165,4.0
2020-04-17,182,6.0
2020-04-18,200,5.0
2020-04-19,215,6.0
2020-04-20,231,6.0
2020-04-21,238,7.0
2020-04-22,273,8.0
2020-04-23,286,8.0
2020-04-24,295,9.0
2020-04-25,309,11.0
2020-04-26,326,11.0
2020-04-27,359,11.0
2020-04-28,365,13.0
2020-04-29,378,13.0
2020-04-30,421,13.0
2020-05-01,443,15.0
2020-05-02,474,16.0
2020-05-03,485,16.0
2020-05-04,497,16.0
2020-05-05,503,19.0
2020-05-06,536,21.0
2020-05-07,556,22.0
2020-05-08,576,24.0
2020-05-09,593,25.0
2020-05-10,609,25.0
2020-05-11,609,25.0
2020-05-12,618,27.0
2020-05-13,633,28.0
2020-05-14,667,32.0
2020-05-15,675,32.0
2020-05-16,681,33.0
2020-05-17,690,34.0
2020-05-18,698,34.0
2020-05-19,712,35.0
2020-05-20,724,39.0
2020-05-21,740,40.0
2020-05-22,749,46.0
2020-05-23,767,46.0
2020-05-24,783,48.0
2020-05-25,792,48.0
2020-05-26,798,48.0
2020-05-27,804,49.0
2020-05-28,830,49.0
2020-05-29,857,49.0
2020-05-30,864,49.0
2020-05-31,885,51.0
2020-06-01,884,51.0
2020-06-02,894,51.0
2020-06-03,904,51.0
2020-06-04,923,51.0
2020-06-05,942,51.0
2020-06-06,950,52.0
2020-06-07,960,53.0
2020-06-08,964,53.0
2020-06-09,972,55.0
2020-06-10,985,57.0
2020-06-11,993,57.0
2020-06-12,994,58.0
2020-06-13,1007,58.0
2020-06-14,1012,58.0
2020-06-15,1022,58.0
2020-06-16,1026,59.0
2020-06-17,1035,61.0
2020-06-18,1039,62.0
2020-06-19,1044,61.0
2020-06-20,1055,61.0
2020-06-21,1059,61.0
2020-06-22,1063,61.0
2020-06-23,1067,61.0
2020-06-24,1075,61.0
2020-06-25,1081,61.0
2020-06-26,1081,61.0
2020-06-27,1093,61.0
2020-06-28,1099,61.0
2020-06-29,1111,62.0
2020-06-30,1119,62.0
2020-07-01,1130,62.0
2020-07-02,1156,63.0
2020-07-03,1176,63.0
2020-07-04,1179,63.0
2020-07-05,1183,63.0
2020-07-06,1192,63.0
2020-07-07,1201,63.0
2020-07-08,1212,64.0
2020-07-09,1228,64.0
2020-07-10,1249,65.0
2020-07-11,1265,65.0
2020-07-12,1282,65.0
2020-07-13,1291,66.0
2020-07-14,1314,66.0
2020-07-15,1328,67.0
2020-07-16,1339,66.0
2020-07-17,1354,66.0
2020-07-18,1383,66.0
2020-07-19,1415,66.0
2020-07-20,1430,66.0
2020-07-21,1455,66.0
2020-07-22,1475,66.0
2020-07-23,1517,66.0
2020-07-24,1543,67.0
2020-07-25,1582,67.0
2020-07-26,1600,67.0
2020-07-27,1634,67.0
2020-07-28,1651,67.0
2020-07-29,1679,67.0
2020-07-30,1719,67.0
2020-07-31,1753,67.0
2020-08-01,1783,67.0
2020-08-02,1821,68.0
2020-08-03,1856,68.0
2020-08-04,1866,68.0
2020-08-05,1881,69.0
2020-08-06,1909,69.0
2020-08-07,1925,69.0
2020-08-08,1937,69.0
2020-08-09,1971,69.0
2020-08-10,1997,69.0
2020-08-11,2015,69.0
2020-08-12,2037,69.0
2020-08-13,2058,69.0
2020-08-14,2088,69.0
2020-08-15,2128,69.0
2020-08-16,2153,69.0
2020-08-17,2170,69.0
2020-08-18,2186,69.0
2020-08-19,2205,69.0
2020-08-20,2228,69.0
2020-08-21,2260,69.0
2020-08-22,2288,69.0
2020-08-23,2314,69.0
2020-08-24,2340,69.0
2020-08-25,2347,69.0
2020-08-26,2360,69.0
2020-08-27,2384,69.0
2020-08-28,2411,69.0
2020-08-29,2440,69.0
2020-08-30,2462,69.0
2020-08-31,2478,69.0
2020-09-01,2503,70.0
2020-09-02,2526,70.0
2020-09-03,2556,71.0
2020-09-04,2590,72.0
2020-09-05,2616,72.0
2020-09-06,2638,72.0
2020-09-07,2669,72.0
2020-09-08,2680,72.0
2020-09-09,2690,72.0
2020-09-10,2729,73.0
2020-09-11,2754,74.0
2020-09-12,2785,75.0
2020-09-13,2815,75.0
2020-09-14,2838,75.0
2020-09-15,2850,75.0
2020-09-16,2869,75.0
2020-09-17,2887,76.0
2020-09-18,2904,76.0
2020-09-19,2919,76.0
2020-09-20,2935,76.0
2020-09-21,2941,76.0
2020-09-22,2949,76.0
2020-09-23,2949,76.0
2020-09-24,2967,76.0
2020-09-25,2990,76.0
2020-09-26,3012,76.0
2020-09-27,3025,76.0
2020-09-28,3043,76.0
2020-09-29,3049,76.0
2020-09-30,3064,76.0
2020-10-01,3090,76.0
2020-10-02,3105,76.0
2020-10-03,3128,76.0
2020-10-04,3145,76.0
2020-10-05,3152,76.0
2020-10-06,3171,76.0
2020-10-07,3195,76.0
2020-10-08,3211,76.0
2020-10-09,3231,76.0
2020-10-10,3250,76.0
2020-10-11,3266,77.0
2020-10-12,3276,77.0
2020-10-13,3292,77.0
2020-10-14,3321,77.0
2020-10-15,3339,77.0
2020-10-16,3357,77.0
2020-10-17,3378,77.0
2020-10-18,3399,78.0
2020-10-19,3421,78.0
2020-10-20,3434,79.0
2020-10-21,3452,80.0
2020-10-22,3486,80.0
2020-10-23,3496,80.0
2020-10-24,3517,81.0
2020-10-25,3533,81.0
2020-10-26,3545,81.0
2020-10-27,3559,81.0
2020-10-28,3587,81.0
2020-10-29,3616,81.0
2020-10-30,3653,82.0
2020-10-31,3684,82.0
2020-11-01,3730,82.0
2020-11-02,3751,82.0
2020-11-03,3772,82.0
2020-11-04,3824,82.0
2020-11-05,3877,82.0
2020-11-06,3952,82.0
2020-11-07,4003,83.0
2020-11-08,4080,84.0
2020-11-09,4134,84.0
2020-11-10,4192,84.0
2020-11-11,4276,84.0
2020-11-12,4333,85.0
2020-11-13,4412,85.0
2020-11-14,4536,85.0
2020-11-15,4620,86.0
2020-11-16,4753,86.0
2020-11-17,4832,87.0
2020-11-18,4963,88.0
2020-11-19,5106,88.0
2020-11-20,5189,89.0
2020-11-21,5349,89.0
2020-11-22,5466,90.0
2020-11-23,5542,90.0
2020-11-24,5604,93.0
2020-11-25,5718,95.0
2020-11-26,5809,95.0
2020-11-27,5879,95.0
2020-11-28,5944,96.0
2020-11-29,6030,98.0
2020-11-30,6103,98.0
2020-12-01,6164,103.0
2020-12-02,6238,104.0
2020-12-03,6298,106.0
2020-12-04,6409,108.0
2020-12-05,6523,109.0
2020-12-06,6578,111.0
2020-12-07,6638,114.0
2020-12-08,6708,115.0
2020-12-09,6773,115.0
2020-12-10,6908,116.0
2020-12-11,6982,118.0
2020-12-12,7100,119.0
2020-12-13,7196,119.0
2020-12-14,7260,119.0
2020-12-15,7361,122.0
2020-12-16,7446,126.0
2020-12-17,7518,129.0
2020-12-18,7594,130.0
2020-12-19,7655,131.0
2020-12-20,7754,133.0
2020-12-21,7830,134.0
2020-12-22,7915,137.0
2020-12-23,7983,139.0
2020-12-24,8064,142.0
2020-12-25,8116,144.0
2020-12-26,8198,149.0
2020-12-27,8257,150.0
2020-12-28,8327,151.0
2020-12-29,8375,154.0
2020-12-30,8479,158.0
2020-12-31,8555,164.0
2021-01-01,8664,168.0
2021-01-02,8793,169.0
2021-01-03,8860,171.0
2021-01-04,8961,171.0
2021-01-05,9009,173.0
2021-01-06,9120,174.0
2021-01-07,9199,175.0
2021-01-08,9353,177.0
2021-01-09,9448,179.0
2021-01-10,9567,179.0
2021-01-11,9686,179.0
2021-01-12,9743,181.0
2021-01-13,9852,181.0
2021-01-14,9930,182.0
2021-01-15,10031,184.0
2021-01-16,10164,187.0
2021-01-17,10263,187.0
2021-01-18,10318,187.0
2021-01-19,10400,190.0
2021-01-20,10480,194.0
2021-01-21,10545,194.0
2021-01-22,10653,195.0
2021-01-23,10740,197.0
2021-01-24,10825,197.0
2021-01-25,10900,198.0
2021-01-26,10961,200.0
2021-01-27,11043,203.0
2021-01-28,11131,206.0
2021-01-29,11190,207.0
2021-01-30,11291,207.0
2021-01-31,11372,207.0
2021-02-01,11415,208.0
2021-02-02,11454,209.0
2021-02-03,11485,213.0
2021-02-04,11530,213.0
2021-02-05,11571,213.0
2021-02-06,11641,216.0
2021-02-07,11718,216.0
2021-02-08,11769,216.0
2021-02-09,11795,218.0
2021-02-10,11853,218.0
2021-02-11,11914,221.0
2021-02-12,11966,223.0
2021-02-13,12008,224.0
2021-02-14,12044,226.0
2021-02-15,12084,226.0
2021-02-16,12099,228.0
