date,cases,deaths
2020-03-09,1,0
2020-03-10,3,0
2020-03-11,5,0
2020-03-12,5,0
2020-03-13,7,0
2020-03-14,7,0
2020-03-15,9,0
2020-03-16,10,0
2020-03-17,14,0
2020-03-18,20,1
2020-03-19,23,1
2020-03-20,31,1
2020-03-21,36,1
2020-03-22,40,1
2020-03-23,47,1
2020-03-24,63,2
2020-03-25,76,2
2020-03-26,101,2
2020-03-27,148,2
2020-03-28,196,3
2020-03-29,247,3
2020-03-30,294,6
2020-03-31,341,7
2020-04-01,403,7
2020-04-02,473,7
2020-04-03,563,9
2020-04-04,653,13
2020-04-05,785,16
2020-04-06,916,23
2020-04-07,1020,26
2020-04-08,1310,32
2020-04-09,1476,35
2020-04-10,1716,42
2020-04-11,1923,50
2020-04-12,2035,55
2020-04-13,2205,63
2020-04-14,2356,72
2020-04-15,2516,65
2020-04-16,2722,70
2020-04-17,2966,77
2020-04-18,3160,85
2020-04-19,3345,98
2020-04-20,3583,103
2020-04-21,3734,111
2020-04-22,3875,125
2020-04-23,4141,141
2020-04-24,4403,147
2020-04-25,4795,162
2020-04-26,4987,163
2020-04-27,5263,187
2020-04-28,5496,195
2020-04-29,5738,213
2020-04-30,6043,229
2020-05-01,6735,231
2020-05-02,7041,257
2020-05-03,7333,265
