date,cases,deaths
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,2,0.0
2020-03-29,3,0.0
2020-03-30,4,0.0
2020-03-31,3,0.0
2020-04-01,3,0.0
2020-04-02,4,0.0
2020-04-03,5,0.0
2020-04-04,6,1.0
2020-04-05,7,1.0
2020-04-06,8,1.0
2020-04-07,8,1.0
2020-04-08,10,1.0
2020-04-09,13,1.0
2020-04-10,13,1.0
2020-04-11,13,1.0
2020-04-12,14,1.0
2020-04-13,16,1.0
2020-04-14,16,1.0
2020-04-15,14,1.0
2020-04-16,14,1.0
2020-04-17,14,1.0
2020-04-18,16,1.0
2020-04-19,19,1.0
2020-04-20,22,1.0
2020-04-21,22,1.0
2020-04-22,23,1.0
2020-04-23,25,1.0
2020-04-24,25,1.0
2020-04-25,28,1.0
2020-04-26,34,1.0
2020-04-27,34,1.0
2020-04-28,34,1.0
2020-04-29,34,1.0
2020-04-30,35,1.0
2020-05-01,35,1.0
2020-05-02,39,1.0
2020-05-03,44,1.0
2020-05-04,45,1.0
2020-05-05,45,1.0
2020-05-06,45,1.0
2020-05-07,52,1.0
2020-05-08,55,1.0
2020-05-09,58,1.0
2020-05-10,60,1.0
2020-05-11,61,1.0
2020-05-12,61,1.0
2020-05-13,62,1.0
2020-05-14,64,1.0
2020-05-15,65,1.0
2020-05-16,68,1.0
2020-05-17,68,1.0
2020-05-18,68,1.0
2020-05-19,68,1.0
2020-05-20,69,1.0
2020-05-21,70,1.0
2020-05-22,73,1.0
2020-05-23,77,1.0
2020-05-24,79,1.0
2020-05-25,86,1.0
2020-05-26,86,1.0
2020-05-27,84,1.0
2020-05-28,87,1.0
2020-05-29,91,1.0
2020-05-30,96,2.0
2020-05-31,99,2.0
2020-06-01,101,2.0
2020-06-02,101,3.0
2020-06-03,103,3.0
2020-06-04,106,3.0
2020-06-05,106,4.0
2020-06-06,108,4.0
2020-06-07,108,4.0
2020-06-08,108,4.0
2020-06-09,108,4.0
2020-06-10,108,4.0
2020-06-11,107,4.0
2020-06-12,107,4.0
2020-06-13,107,4.0
2020-06-14,107,4.0
2020-06-15,107,4.0
2020-06-16,109,4.0
2020-06-17,110,4.0
2020-06-18,110,4.0
2020-06-19,113,4.0
2020-06-20,113,4.0
2020-06-21,115,4.0
2020-06-22,117,4.0
2020-06-23,116,4.0
2020-06-24,116,4.0
2020-06-25,119,4.0
2020-06-26,121,4.0
2020-06-27,130,4.0
2020-06-28,130,4.0
2020-06-29,136,4.0
2020-06-30,137,4.0
2020-07-01,137,4.0
2020-07-02,141,4.0
2020-07-03,144,4.0
2020-07-04,147,4.0
2020-07-05,150,4.0
2020-07-06,152,4.0
2020-07-07,155,4.0
2020-07-08,161,4.0
2020-07-09,165,4.0
2020-07-10,170,4.0
2020-07-11,184,4.0
2020-07-12,185,4.0
2020-07-13,189,4.0
2020-07-14,197,4.0
2020-07-15,207,4.0
2020-07-16,216,4.0
2020-07-17,230,4.0
2020-07-18,238,4.0
2020-07-19,243,4.0
2020-07-20,257,4.0
2020-07-21,265,4.0
2020-07-22,268,4.0
2020-07-23,274,4.0
2020-07-24,289,4.0
2020-07-25,298,4.0
2020-07-26,308,4.0
2020-07-27,317,4.0
2020-07-28,320,4.0
2020-07-29,323,4.0
2020-07-30,330,4.0
2020-07-31,340,4.0
2020-08-01,361,4.0
2020-08-02,366,4.0
