date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,5,0
2020-03-28,6,0
2020-03-29,6,0
2020-03-30,7,0
2020-03-31,11,0
2020-04-01,15,0
2020-04-02,17,0
2020-04-03,27,0
2020-04-04,29,0
2020-04-05,34,0
2020-04-06,37,0
2020-04-07,44,0
2020-04-08,57,0
2020-04-09,60,0
2020-04-10,66,0
2020-04-11,72,1
2020-04-12,75,1
2020-04-13,93,1
2020-04-14,96,1
2020-04-15,106,0
2020-04-16,109,1
2020-04-17,116,1
2020-04-18,116,3
2020-04-19,117,3
2020-04-20,123,3
2020-04-21,126,3
2020-04-22,127,3
2020-04-23,139,3
2020-04-24,143,3
2020-04-25,154,3
2020-04-26,173,3
2020-04-27,181,3
2020-04-28,187,3
2020-04-29,197,3
2020-04-30,206,4
2020-05-01,216,4
2020-05-02,225,6
2020-05-03,232,6
2020-05-04,237,6
2020-05-05,238,6
2020-05-06,251,7
2020-05-07,260,7
2020-05-08,259,7
2020-05-09,265,8
2020-05-10,276,9
2020-05-11,283,9
2020-05-12,284,9
2020-05-13,287,9
2020-05-14,305,9
2020-05-15,320,9
2020-05-16,332,9
2020-05-17,338,8
2020-05-18,343,8
2020-05-19,352,8
2020-05-20,364,9
2020-05-21,377,10
2020-05-22,389,10
2020-05-23,398,10
2020-05-24,408,11
2020-05-25,413,11
2020-05-26,413,12
2020-05-27,418,12
