date,cases,deaths
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,3,0
2020-03-21,9,0
2020-03-22,12,1
2020-03-23,15,1
2020-03-24,24,1
2020-03-25,45,1
2020-03-26,55,2
2020-03-27,90,2
2020-03-28,183,5
2020-03-29,201,5
2020-03-30,255,5
2020-03-31,354,12
2020-04-01,475,17
2020-04-02,546,20
2020-04-03,661,28
2020-04-04,733,35
2020-04-05,768,35
2020-04-06,889,39
2020-04-07,997,56
2020-04-08,1081,64
2020-04-09,1276,81
2020-04-10,1394,88
2020-04-11,1545,94
2020-04-12,1647,104
2020-04-13,1694,115
2020-04-14,1798,134
2020-04-15,1885,153
2020-04-16,1985,163
2020-04-17,2134,183
2020-04-18,2254,202
2020-04-19,2337,213
2020-04-20,2438,224
2020-04-21,2533,244
2020-04-22,2678,271
2020-04-23,2836,287
2020-04-24,3060,299
2020-04-25,3229,315
2020-04-26,3295,327
2020-04-27,3381,337
2020-04-28,3546,346
2020-04-29,3698,358
2020-04-30,3777,373
2020-05-01,3900,381
2020-05-02,4003,387
2020-05-03,4066,398
2020-05-04,4114,408
2020-05-05,4203,415
2020-05-06,4321,425
2020-05-07,4441,434
2020-05-08,4522,441
2020-05-09,4647,445
2020-05-10,4714,449
2020-05-11,4763,458
2020-05-12,4831,464
2020-05-13,4889,475
2020-05-14,4974,487
2020-05-15,5038,494
2020-05-16,5133,506
2020-05-17,5205,516
2020-05-18,5264,517
2020-05-19,5335,521
2020-05-20,5418,526
2020-05-21,5492,533
2020-05-22,5568,537
2020-05-23,5621,541
2020-05-24,5687,542
2020-05-25,5755,543
2020-05-26,5796,546
2020-05-27,5845,554
2020-05-28,5878,562
2020-05-29,5942,569
2020-05-30,5982,572
2020-05-31,6035,580
2020-06-01,6188,601
2020-06-02,6201,603
2020-06-03,6237,608
2020-06-04,6268,609
2020-06-05,6297,610
2020-06-06,6337,618
2020-06-07,6353,620
2020-06-08,6365,622
2020-06-09,6380,625
2020-06-10,6395,629
2020-06-11,6415,633
2020-06-12,6431,632
2020-06-13,6460,637
2020-06-14,6481,640
2020-06-15,6489,640
2020-06-16,6503,642
2020-06-17,6518,645
2020-06-18,6537,646
2020-06-19,6556,647
2020-06-20,6584,648
2020-06-21,6598,648
2020-06-22,6610,647
2020-06-23,6620,649
2020-06-24,6633,654
2020-06-25,6658,654
2020-06-26,6691,657
2020-06-27,6729,659
2020-06-28,6760,663
2020-06-29,6765,664
2020-06-30,6776,655
2020-07-01,6791,659
2020-07-02,6812,661
2020-07-03,6834,662
2020-07-04,6861,664
2020-07-05,6870,666
2020-07-06,6883,670
2020-07-07,6895,672
2020-07-08,6903,672
2020-07-09,6932,671
2020-07-10,6943,672
2020-07-11,6974,674
2020-07-12,7000,678
2020-07-13,7019,678
2020-07-14,7039,679
2020-07-15,7056,681
2020-07-16,7077,680
2020-07-17,7100,681
2020-07-18,7120,681
2020-07-19,7140,682
2020-07-20,7141,678
2020-07-21,7152,679
2020-07-22,7180,680
2020-07-23,7220,681
2020-07-24,7228,682
2020-07-25,7259,683
2020-07-26,7283,687
2020-07-27,7309,688
2020-07-28,7326,689
2020-07-29,7353,692
2020-07-30,7381,692
2020-07-31,7404,696
2020-08-01,7433,697
2020-08-02,7467,698
2020-08-03,7477,699
2020-08-04,7499,699
2020-08-05,7518,699
2020-08-06,7541,700
2020-08-07,7556,703
2020-08-08,7582,704
2020-08-09,7600,707
2020-08-10,7619,707
2020-08-11,7637,709
2020-08-12,7637,709
2020-08-13,7637,709
2020-08-14,7637,709
2020-08-15,7637,709
2020-08-16,7637,709
2020-08-17,7637,709
2020-08-18,7637,709
2020-08-19,7752,729
2020-08-20,7775,732
2020-08-21,7787,732
2020-08-22,7791,734
2020-08-23,7791,734
2020-08-24,7808,737
2020-08-25,7825,739
2020-08-26,7839,744
2020-08-27,7861,746
2020-08-28,7887,746
2020-08-29,7904,746
2020-08-30,7908,746
2020-08-31,7934,746
2020-09-01,7950,747
2020-09-02,7686,751
2020-09-03,7698,754
2020-09-04,7718,755
2020-09-05,7739,756
2020-09-06,7762,759
2020-09-07,7774,759
2020-09-08,7789,759
2020-09-09,7793,759
2020-09-10,7817,762
2020-09-11,7834,767
2020-09-12,7846,767
2020-09-13,7857,767
2020-09-14,7868,767
2020-09-15,7885,767
2020-09-16,7902,768
2020-09-17,7933,768
2020-09-18,7947,769
2020-09-19,7966,771
2020-09-20,7986,772
2020-09-21,8011,772
2020-09-22,8025,773
2020-09-23,8075,773
2020-09-24,8098,774
2020-09-25,8117,774
2020-09-26,8147,775
2020-09-27,8199,776
2020-09-28,8240,778
2020-09-29,8254,779
2020-09-30,8283,781
2020-10-01,8339,786
2020-10-02,8403,787
2020-10-03,8435,789
2020-10-04,8493,789
2020-10-05,8533,790
2020-10-06,8574,791
2020-10-07,8611,791
2020-10-08,8621,791
2020-10-09,8681,792
2020-10-10,8716,792
2020-10-11,8754,792
2020-10-12,8818,792
2020-10-13,8854,792
2020-10-14,8894,794
2020-10-15,8921,794
2020-10-16,8971,796
2020-10-17,9014,798
2020-10-18,9074,798
2020-10-19,9125,799
2020-10-20,9171,799
2020-10-21,9219,800
2020-10-22,9305,804
2020-10-23,9379,807
2020-10-24,9501,809
2020-10-25,9548,811
2020-10-26,9723,812
2020-10-27,9800,812
2020-10-28,9901,815
