date,cases,deaths
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,4,0
2020-03-23,6,0
2020-03-24,8,0
2020-03-25,11,0
2020-03-26,17,0
2020-03-27,20,0
2020-03-28,30,0
2020-03-29,37,0
2020-03-30,46,0
2020-03-31,69,1
2020-04-01,81,1
2020-04-02,102,2
2020-04-03,114,3
2020-04-04,125,3
2020-04-05,128,3
2020-04-06,147,3
2020-04-07,158,3
2020-04-08,164,3
2020-04-09,177,3
2020-04-10,194,4
2020-04-11,204,5
2020-04-12,219,6
2020-04-13,224,6
2020-04-14,233,6
2020-04-15,239,6
2020-04-16,248,6
2020-04-17,258,7
2020-04-18,306,7
2020-04-19,317,7
2020-04-20,332,9
2020-04-21,337,10
2020-04-22,345,14
2020-04-23,367,15
2020-04-24,396,17
2020-04-25,412,20
2020-04-26,427,24
2020-04-27,443,26
2020-04-28,509,27
2020-04-29,531,26
2020-04-30,546,30
2020-05-01,518,32
2020-05-02,549,33
2020-05-03,559,36
2020-05-04,563,36
2020-05-05,575,47
2020-05-06,580,47
2020-05-07,595,48
2020-05-08,654,48
2020-05-09,659,50
2020-05-10,676,55
2020-05-11,688,57
2020-05-12,702,57
2020-05-13,708,64
2020-05-14,724,66
2020-05-15,738,67
2020-05-16,751,69
2020-05-17,767,72
2020-05-18,774,72
2020-05-19,780,73
2020-05-20,792,76
2020-05-21,806,76
2020-05-22,812,76
2020-05-23,819,77
2020-05-24,830,78
2020-05-25,834,80
2020-05-26,840,82
2020-05-27,843,82
2020-05-28,845,83
2020-05-29,853,86
2020-05-30,855,88
2020-05-31,855,89
2020-06-01,886,89
2020-06-02,883,90
2020-06-03,891,93
2020-06-04,894,94
2020-06-05,900,95
2020-06-06,904,95
2020-06-07,905,98
2020-06-08,907,100
2020-06-09,905,100
2020-06-10,905,100
2020-06-11,913,100
2020-06-12,918,103
2020-06-13,921,103
2020-06-14,924,103
2020-06-15,926,103
2020-06-16,930,103
2020-06-17,936,105
2020-06-18,936,106
2020-06-19,941,106
2020-06-20,943,106
2020-06-21,944,107
2020-06-22,946,107
2020-06-23,947,107
2020-06-24,950,108
2020-06-25,952,109
2020-06-26,952,109
2020-06-27,955,110
2020-06-28,958,110
2020-06-29,959,110
2020-06-30,962,110
2020-07-01,965,112
2020-07-02,969,114
2020-07-03,976,115
2020-07-04,982,116
2020-07-05,985,116
2020-07-06,985,116
2020-07-07,986,116
2020-07-08,991,116
2020-07-09,993,117
2020-07-10,995,117
2020-07-11,1001,117
2020-07-12,1008,117
2020-07-13,1008,117
2020-07-14,1012,117
2020-07-15,1012,118
2020-07-16,1015,119
2020-07-17,1026,119
2020-07-18,1033,119
2020-07-19,1039,120
2020-07-20,1049,123
2020-07-21,1057,125
2020-07-22,1063,125
2020-07-23,1065,125
2020-07-24,1076,125
2020-07-25,1082,126
2020-07-26,1090,126
2020-07-27,1095,127
2020-07-28,1095,127
2020-07-29,1102,127
2020-07-30,1107,127
2020-07-31,1126,127
2020-08-01,1132,127
2020-08-02,1136,127
2020-08-03,1139,127
2020-08-04,1145,127
2020-08-05,1150,127
2020-08-06,1158,128
2020-08-07,1162,129
2020-08-08,1170,129
2020-08-09,1174,129
2020-08-10,1179,129
2020-08-11,1184,130
2020-08-12,1184,130
2020-08-13,1184,130
2020-08-14,1184,130
2020-08-15,1184,130
2020-08-16,1184,130
2020-08-17,1184,130
2020-08-18,1184,130
2020-08-19,1221,131
2020-08-20,1224,131
2020-08-21,1230,133
2020-08-22,1230,133
2020-08-23,1230,133
2020-08-24,1244,134
2020-08-25,1249,135
2020-08-26,1253,136
2020-08-27,1258,136
2020-08-28,1267,137
2020-08-29,1276,138
2020-08-30,1279,138
2020-08-31,1281,140
2020-09-01,1287,140
2020-09-02,1176,140
2020-09-03,1180,140
2020-09-04,1183,141
2020-09-05,1186,141
2020-09-06,1188,141
2020-09-07,1189,141
2020-09-08,1191,141
2020-09-09,1191,141
2020-09-10,1193,141
2020-09-11,1194,141
2020-09-12,1196,141
2020-09-13,1196,141
2020-09-14,1196,141
2020-09-15,1198,141
2020-09-16,1199,141
2020-09-17,1200,141
2020-09-18,1203,141
