date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,4,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,6,0
2020-04-06,7,0
2020-04-07,7,0
2020-04-08,7,0
2020-04-09,7,0
2020-04-10,7,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,11,1
2020-04-14,14,1
2020-04-15,18,1
2020-04-16,20,1
2020-04-17,21,1
2020-04-18,21,1
2020-04-19,25,1
2020-04-20,26,1
2020-04-21,26,1
2020-04-22,28,1
2020-04-23,28,1
2020-04-24,29,1
2020-04-25,28,1
2020-04-26,29,1
2020-04-27,31,1
2020-04-28,31,1
2020-04-29,34,1
2020-04-30,35,1
2020-05-01,36,1
2020-05-02,39,1
2020-05-03,37,1
2020-05-04,37,1
2020-05-05,39,1
2020-05-06,39,1
2020-05-07,41,1
2020-05-08,44,1
2020-05-09,49,1
