date,cases,deaths
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,7,0
2020-03-20,7,0
2020-03-21,11,0
2020-03-22,11,0
2020-03-23,12,0
2020-03-24,15,0
2020-03-25,18,0
2020-03-26,22,0
2020-03-27,26,1
2020-03-28,32,1
2020-03-29,43,0
2020-03-30,73,0
2020-03-31,91,0
2020-04-01,121,1
2020-04-02,128,1
2020-04-03,152,1
2020-04-04,168,1
2020-04-05,172,2
2020-04-06,178,1
2020-04-07,189,1
2020-04-08,205,2
2020-04-09,222,3
2020-04-10,239,3
2020-04-11,241,3
2020-04-12,250,3
2020-04-13,254,4
2020-04-14,263,4
2020-04-15,270,5
2020-04-16,278,6
2020-04-17,298,6
2020-04-18,304,6
2020-04-19,308,6
2020-04-20,314,6
2020-04-21,335,6
2020-04-22,350,7
2020-04-23,370,9
2020-04-24,391,9
2020-04-25,395,9
2020-04-26,406,9
2020-04-27,413,10
2020-04-28,426,10
2020-04-29,446,10
2020-04-30,470,11
2020-05-01,483,12
2020-05-02,497,13
2020-05-03,506,13
2020-05-04,506,13
2020-05-05,518,14
2020-05-06,539,14
2020-05-07,557,14
2020-05-08,563,16
2020-05-09,575,16
2020-05-10,579,16
2020-05-11,586,17
2020-05-12,594,17
2020-05-13,605,18
2020-05-14,619,19
2020-05-15,629,20
2020-05-16,643,21
2020-05-17,648,22
2020-05-18,649,23
2020-05-19,650,23
2020-05-20,667,23
2020-05-21,674,24
2020-05-22,682,24
2020-05-23,695,25
2020-05-24,696,25
2020-05-25,701,25
2020-05-26,705,25
2020-05-27,717,25
2020-05-28,729,25
2020-05-29,734,25
2020-05-30,736,25
2020-05-31,738,26
2020-06-01,740,26
2020-06-02,745,27
2020-06-03,746,27
2020-06-04,755,27
2020-06-05,793,27
2020-06-06,801,27
2020-06-07,806,27
2020-06-08,809,27
2020-06-09,808,28
2020-06-10,810,28
2020-06-11,832,29
2020-06-12,815,29
2020-06-13,824,29
2020-06-14,825,29
2020-06-15,825,29
2020-06-16,825,29
2020-06-17,825,29
2020-06-18,825,29
2020-06-19,831,29
2020-06-20,837,29
2020-06-21,845,29
2020-06-22,859,29
2020-06-23,867,29
2020-06-24,896,29
2020-06-25,916,29
2020-06-26,954,29
2020-06-27,980,29
2020-06-28,992,29
2020-06-29,1002,29
2020-06-30,1019,29
2020-07-01,1042,29
2020-07-02,1054,29
2020-07-03,1070,29
2020-07-04,1085,29
2020-07-05,1092,29
2020-07-06,1095,29
2020-07-07,1114,29
2020-07-08,1129,29
2020-07-09,1142,30
2020-07-10,1153,30
2020-07-11,1163,30
2020-07-12,1174,30
2020-07-13,1187,29
2020-07-14,1207,29
2020-07-15,1210,29
