date,cases,deaths
2020-03-30,3,0.0
2020-03-31,4,0.0
2020-04-01,5,0.0
2020-04-02,8,0.0
2020-04-03,10,0.0
2020-04-04,9,0.0
2020-04-05,10,0.0
2020-04-06,11,0.0
2020-04-07,14,0.0
2020-04-08,16,0.0
2020-04-09,18,0.0
2020-04-10,20,0.0
2020-04-11,20,0.0
2020-04-12,21,0.0
2020-04-13,21,1.0
2020-04-14,22,1.0
2020-04-15,22,1.0
2020-04-16,23,1.0
2020-04-17,23,1.0
2020-04-18,24,1.0
2020-04-19,25,1.0
2020-04-20,25,1.0
2020-04-21,25,1.0
2020-04-22,27,1.0
2020-04-23,27,1.0
2020-04-24,27,1.0
2020-04-25,27,1.0
2020-04-26,28,1.0
2020-04-27,29,1.0
2020-04-28,30,1.0
2020-04-29,30,1.0
2020-04-30,32,1.0
2020-05-01,33,1.0
2020-05-02,38,1.0
2020-05-03,36,1.0
2020-05-04,42,1.0
2020-05-05,43,1.0
2020-05-06,44,1.0
2020-05-07,47,1.0
2020-05-08,51,1.0
2020-05-09,65,1.0
2020-05-10,65,1.0
2020-05-11,65,1.0
2020-05-12,71,1.0
2020-05-13,76,1.0
2020-05-14,79,1.0
2020-05-15,82,1.0
2020-05-16,84,1.0
2020-05-17,86,1.0
2020-05-18,87,1.0
2020-05-19,90,1.0
2020-05-20,92,2.0
2020-05-21,92,2.0
2020-05-22,96,2.0
2020-05-23,100,2.0
2020-05-24,101,2.0
2020-05-25,102,2.0
2020-05-26,104,2.0
2020-05-27,109,2.0
2020-05-28,110,2.0
2020-05-29,112,2.0
2020-05-30,118,2.0
2020-05-31,119,2.0
2020-06-01,119,2.0
2020-06-02,129,2.0
2020-06-03,130,3.0
2020-06-04,133,3.0
2020-06-05,144,3.0
2020-06-06,149,3.0
2020-06-07,152,3.0
2020-06-08,156,3.0
2020-06-09,158,3.0
2020-06-10,160,3.0
2020-06-11,166,3.0
2020-06-12,171,3.0
2020-06-13,175,3.0
2020-06-14,177,3.0
2020-06-15,186,3.0
2020-06-16,193,3.0
2020-06-17,200,3.0
2020-06-18,204,3.0
2020-06-19,210,3.0
2020-06-20,215,3.0
2020-06-21,219,3.0
2020-06-22,228,3.0
2020-06-23,232,3.0
2020-06-24,242,3.0
2020-06-25,255,3.0
2020-06-26,262,3.0
2020-06-27,276,3.0
2020-06-28,289,3.0
2020-06-29,307,4.0
2020-06-30,320,4.0
2020-07-01,327,4.0
2020-07-02,336,4.0
2020-07-03,339,4.0
2020-07-04,340,5.0
2020-07-05,349,5.0
2020-07-06,352,5.0
2020-07-07,358,5.0
2020-07-08,361,5.0
2020-07-09,368,5.0
2020-07-10,376,5.0
2020-07-11,381,5.0
2020-07-12,382,5.0
2020-07-13,388,5.0
2020-07-14,406,5.0
2020-07-15,414,5.0
2020-07-16,417,5.0
2020-07-17,423,6.0
2020-07-18,436,6.0
2020-07-19,442,6.0
2020-07-20,450,6.0
2020-07-21,453,6.0
2020-07-22,461,6.0
2020-07-23,473,6.0
2020-07-24,482,6.0
2020-07-25,497,6.0
2020-07-26,526,6.0
2020-07-27,528,6.0
2020-07-28,536,7.0
2020-07-29,543,7.0
2020-07-30,551,7.0
2020-07-31,549,7.0
2020-08-01,551,7.0
2020-08-02,557,7.0
2020-08-03,561,7.0
2020-08-04,563,8.0
2020-08-05,569,8.0
2020-08-06,571,8.0
2020-08-07,580,8.0
2020-08-08,587,8.0
2020-08-09,588,8.0
2020-08-10,591,8.0
2020-08-11,600,9.0
2020-08-12,603,9.0
2020-08-13,608,10.0
2020-08-14,618,10.0
2020-08-15,622,10.0
2020-08-16,622,10.0
2020-08-17,637,10.0
2020-08-18,636,10.0
2020-08-19,641,10.0
2020-08-20,644,10.0
2020-08-21,644,10.0
2020-08-22,657,11.0
2020-08-23,661,11.0
2020-08-24,667,11.0
2020-08-25,670,11.0
2020-08-26,669,11.0
2020-08-27,671,11.0
2020-08-28,676,11.0
2020-08-29,679,11.0
2020-08-30,680,11.0
2020-08-31,683,11.0
2020-09-01,685,11.0
2020-09-02,684,11.0
2020-09-03,683,11.0
2020-09-04,691,11.0
2020-09-05,696,11.0
2020-09-06,696,11.0
2020-09-07,698,11.0
2020-09-08,703,11.0
2020-09-09,702,11.0
2020-09-10,703,11.0
2020-09-11,703,11.0
2020-09-12,708,11.0
2020-09-13,708,11.0
2020-09-14,711,11.0
