date,cases,deaths
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,3,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,7,0
2020-04-01,10,0
2020-04-02,12,1
2020-04-03,12,1
2020-04-04,12,1
2020-04-05,14,1
2020-04-06,16,1
2020-04-07,17,1
2020-04-08,18,1
2020-04-09,18,1
2020-04-10,20,1
2020-04-11,21,1
2020-04-12,21,1
2020-04-13,22,1
2020-04-14,22,2
2020-04-15,26,2
2020-04-16,26,2
2020-04-17,28,2
2020-04-18,31,2
2020-04-19,32,2
2020-04-20,33,2
2020-04-21,34,2
2020-04-22,36,2
2020-04-23,35,2
2020-04-24,34,2
2020-04-25,34,2
2020-04-26,35,2
2020-04-27,36,2
2020-04-28,43,2
2020-04-29,46,2
2020-04-30,49,2
