date,cases,deaths
2020-03-20,2,0.0
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,3,0.0
2020-03-24,3,0.0
2020-03-25,3,0.0
2020-03-26,3,0.0
2020-03-27,3,0.0
2020-03-28,5,0.0
2020-03-29,6,0.0
2020-03-30,7,0.0
2020-03-31,8,0.0
2020-04-01,8,0.0
2020-04-02,9,0.0
2020-04-03,9,0.0
2020-04-04,9,0.0
2020-04-05,10,0.0
2020-04-06,10,0.0
2020-04-07,10,0.0
2020-04-08,10,0.0
2020-04-09,10,0.0
2020-04-10,10,0.0
2020-04-11,10,0.0
2020-04-12,10,0.0
2020-04-13,10,0.0
2020-04-14,10,0.0
2020-04-15,10,0.0
2020-04-16,10,0.0
2020-04-17,10,0.0
2020-04-18,11,0.0
2020-04-19,10,0.0
2020-04-20,11,0.0
2020-04-21,11,0.0
2020-04-22,11,0.0
2020-04-23,12,1.0
2020-04-24,12,1.0
2020-04-25,12,1.0
2020-04-26,12,1.0
2020-04-27,12,1.0
2020-04-28,12,1.0
2020-04-29,12,1.0
2020-04-30,12,1.0
2020-05-01,12,1.0
2020-05-02,13,1.0
2020-05-03,13,1.0
2020-05-04,13,1.0
2020-05-05,12,1.0
2020-05-06,12,1.0
2020-05-07,12,1.0
2020-05-08,12,1.0
2020-05-09,12,1.0
2020-05-10,13,1.0
2020-05-11,13,1.0
2020-05-12,14,1.0
2020-05-13,14,1.0
2020-05-14,16,1.0
2020-05-15,17,1.0
2020-05-16,17,1.0
2020-05-17,17,1.0
2020-05-18,17,1.0
2020-05-19,17,1.0
2020-05-20,17,1.0
2020-05-21,17,1.0
2020-05-22,17,1.0
2020-05-23,17,1.0
2020-05-24,17,1.0
2020-05-25,17,1.0
2020-05-26,17,1.0
2020-05-27,17,1.0
2020-05-28,17,1.0
2020-05-29,17,1.0
2020-05-30,17,1.0
2020-05-31,17,1.0
2020-06-01,17,1.0
2020-06-02,17,1.0
2020-06-03,17,1.0
2020-06-04,17,1.0
2020-06-05,17,1.0
2020-06-06,18,1.0
2020-06-07,20,1.0
2020-06-08,20,1.0
2020-06-09,20,1.0
2020-06-10,20,1.0
2020-06-11,20,1.0
2020-06-12,20,1.0
2020-06-13,20,1.0
2020-06-14,20,1.0
2020-06-15,20,1.0
2020-06-16,20,1.0
2020-06-17,20,1.0
2020-06-18,22,1.0
2020-06-19,21,0.0
2020-06-20,21,0.0
2020-06-21,23,0.0
2020-06-22,23,0.0
2020-06-23,23,0.0
2020-06-24,23,0.0
2020-06-25,23,0.0
2020-06-26,24,0.0
2020-06-27,25,0.0
2020-06-28,25,0.0
2020-06-29,25,0.0
2020-06-30,25,0.0
2020-07-01,27,0.0
2020-07-02,27,0.0
2020-07-03,28,0.0
2020-07-04,28,0.0
2020-07-05,30,0.0
2020-07-06,30,0.0
2020-07-07,30,0.0
2020-07-08,30,0.0
2020-07-09,30,0.0
2020-07-10,31,0.0
2020-07-11,35,0.0
2020-07-12,36,0.0
2020-07-13,36,0.0
2020-07-14,38,0.0
2020-07-15,38,0.0
2020-07-16,40,0.0
2020-07-17,43,0.0
2020-07-18,44,0.0
2020-07-19,45,0.0
2020-07-20,45,0.0
2020-07-21,48,0.0
2020-07-22,50,0.0
2020-07-23,50,0.0
2020-07-24,53,0.0
2020-07-25,53,0.0
2020-07-26,53,0.0
2020-07-27,55,0.0
2020-07-28,57,0.0
2020-07-29,56,0.0
2020-07-30,58,0.0
2020-07-31,59,0.0
2020-08-01,61,0.0
2020-08-02,61,0.0
2020-08-03,61,0.0
2020-08-04,61,0.0
2020-08-05,61,0.0
2020-08-06,61,0.0
2020-08-07,63,0.0
2020-08-08,64,0.0
2020-08-09,63,0.0
2020-08-10,65,0.0
2020-08-11,67,0.0
2020-08-12,71,0.0
2020-08-13,72,0.0
2020-08-14,73,0.0
2020-08-15,74,0.0
2020-08-16,74,0.0
