date,cases,deaths
2020-07-25,1,0
2020-07-26,1,0
2020-07-27,1,0
2020-07-28,1,0
2020-07-29,1,0
2020-07-30,1,0
2020-07-31,1,0
2020-08-01,1,0
2020-08-02,1,0
2020-08-03,1,0
2020-08-04,1,0
2020-08-05,1,0
2020-08-06,1,0
2020-08-07,2,0
2020-08-08,2,0
2020-08-09,2,0
2020-08-10,4,0
2020-08-11,4,0
2020-08-12,4,0
2020-08-13,4,0
2020-08-14,7,0
2020-08-15,7,0
2020-08-16,7,0
2020-08-17,7,0
2020-08-18,7,0
2020-08-19,7,0
2020-08-20,7,0
2020-08-21,7,0
2020-08-22,7,0
2020-08-23,7,0
2020-08-24,7,0
2020-08-25,7,0
2020-08-26,7,0
2020-08-27,7,0
2020-08-28,7,0
2020-08-29,7,0
2020-08-30,7,0
2020-08-31,7,0
2020-09-01,10,0
2020-09-02,13,0
2020-09-03,13,1
2020-09-04,14,1
2020-09-05,14,1
2020-09-06,14,1
2020-09-07,16,1
2020-09-08,16,1
2020-09-09,16,1
2020-09-10,16,1
2020-09-11,16,1
2020-09-12,18,1
2020-09-13,18,1
2020-09-14,20,1
2020-09-15,20,1
2020-09-16,20,1
2020-09-17,20,1
2020-09-18,20,1
2020-09-19,20,1
