date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,5,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,6,0
2020-04-24,6,0
2020-04-25,8,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,8,0
2020-04-30,9,0
2020-05-01,14,0
2020-05-02,17,0
2020-05-03,17,0
2020-05-04,18,0
2020-05-05,19,0
2020-05-06,19,0
2020-05-07,21,0
2020-05-08,21,0
2020-05-09,23,0
2020-05-10,23,0
2020-05-11,25,0
2020-05-12,25,0
2020-05-13,25,0
2020-05-14,33,0
2020-05-15,35,0
2020-05-16,36,0
2020-05-17,38,0
2020-05-18,47,0
2020-05-19,51,0
2020-05-20,51,0
2020-05-21,52,0
2020-05-22,52,0
2020-05-23,53,0
2020-05-24,55,0
2020-05-25,60,0
2020-05-26,59,0
2020-05-27,62,0
2020-05-28,63,0
2020-05-29,63,0
2020-05-30,64,0
2020-05-31,68,0
2020-06-01,70,0
2020-06-02,70,0
2020-06-03,71,0
2020-06-04,73,0
2020-06-05,73,1
2020-06-06,75,1
2020-06-07,76,1
2020-06-08,77,1
2020-06-09,78,1
2020-06-10,78,1
2020-06-11,80,1
2020-06-12,80,1
2020-06-13,83,1
2020-06-14,83,1
2020-06-15,83,1
2020-06-16,83,1
2020-06-17,83,1
2020-06-18,83,1
2020-06-19,83,1
2020-06-20,85,1
2020-06-21,85,1
2020-06-22,85,1
2020-06-23,85,1
2020-06-24,85,1
2020-06-25,85,1
2020-06-26,86,1
2020-06-27,87,1
2020-06-28,88,1
2020-06-29,91,1
2020-06-30,92,1
2020-07-01,92,1
2020-07-02,92,1
2020-07-03,93,1
2020-07-04,93,1
2020-07-05,93,1
2020-07-06,95,1
2020-07-07,100,1
2020-07-08,100,1
2020-07-09,102,1
2020-07-10,104,1
2020-07-11,111,1
2020-07-12,114,1
2020-07-13,115,1
2020-07-14,121,1
2020-07-15,123,1
2020-07-16,123,1
2020-07-17,130,1
2020-07-18,130,1
2020-07-19,130,1
2020-07-20,130,1
2020-07-21,132,1
2020-07-22,134,1
2020-07-23,137,1
2020-07-24,145,1
2020-07-25,146,1
2020-07-26,148,2
2020-07-27,149,2
2020-07-28,155,2
2020-07-29,159,2
2020-07-30,162,3
2020-07-31,164,3
2020-08-01,171,3
2020-08-02,175,3
2020-08-03,176,3
2020-08-04,179,3
2020-08-05,182,3
2020-08-06,185,3
2020-08-07,189,3
2020-08-08,193,3
2020-08-09,194,3
2020-08-10,197,3
2020-08-11,198,3
2020-08-12,198,3
2020-08-13,204,4
2020-08-14,209,4
2020-08-15,211,4
2020-08-16,217,4
2020-08-17,223,4
2020-08-18,227,4
2020-08-19,227,4
2020-08-20,229,4
2020-08-21,233,4
2020-08-22,240,4
2020-08-23,242,4
2020-08-24,245,4
2020-08-25,252,4
2020-08-26,257,4
2020-08-27,263,4
2020-08-28,268,4
2020-08-29,277,4
2020-08-30,293,4
2020-08-31,294,4
2020-09-01,299,4
2020-09-02,297,4
2020-09-03,305,4
2020-09-04,310,4
2020-09-05,315,4
2020-09-06,320,4
2020-09-07,323,4
2020-09-08,324,4
2020-09-09,324,4
2020-09-10,322,4
2020-09-11,325,4
2020-09-12,333,4
2020-09-13,339,4
2020-09-14,347,4
2020-09-15,349,4
2020-09-16,354,4
2020-09-17,367,4
2020-09-18,373,4
2020-09-19,379,4
2020-09-20,392,4
2020-09-21,400,4
2020-09-22,402,4
2020-09-23,407,4
2020-09-24,422,4
2020-09-25,430,4
2020-09-26,441,4
2020-09-27,445,4
2020-09-28,462,4
2020-09-29,469,4
2020-09-30,473,4
2020-10-01,479,6
2020-10-02,495,6
2020-10-03,512,6
2020-10-04,522,6
2020-10-05,534,6
2020-10-06,538,6
2020-10-07,541,6
2020-10-08,548,6
2020-10-09,563,6
2020-10-10,574,6
2020-10-11,580,6
2020-10-12,602,6
2020-10-13,615,6
2020-10-14,641,6
2020-10-15,643,6
2020-10-16,670,6
2020-10-17,696,6
2020-10-18,720,6
2020-10-19,743,6
2020-10-20,772,6
2020-10-21,783,6
2020-10-22,789,6
2020-10-23,818,7
2020-10-24,851,7
2020-10-25,862,7
2020-10-26,873,7
2020-10-27,901,7
2020-10-28,921,7
2020-10-29,950,8
2020-10-30,980,8
2020-10-31,1014,8
2020-11-01,1031,8
2020-11-02,1058,8
2020-11-03,1080,8
2020-11-04,1121,8
2020-11-05,1165,8
2020-11-06,1202,8
2020-11-07,1234,8
2020-11-08,1302,9
2020-11-09,1348,9
2020-11-10,1436,9
2020-11-11,1547,9
2020-11-12,1631,11
2020-11-13,1674,11
2020-11-14,1795,11
2020-11-15,1911,12
2020-11-16,2013,12
2020-11-17,2137,12
2020-11-18,2197,12
2020-11-19,2261,14
2020-11-20,2328,15
2020-11-21,2415,15
2020-11-22,2514,15
2020-11-23,2666,15
2020-11-24,2733,15
2020-11-25,2828,18
