date,cases,deaths
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,3,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,7,0
2020-03-31,8,0
2020-04-01,8,0
2020-04-02,8,0
2020-04-03,8,0
2020-04-04,9,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,10,0
2020-04-08,9,0
2020-04-09,9,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,9,0
2020-04-13,9,0
2020-04-14,10,0
2020-04-15,11,0
2020-04-16,12,0
2020-04-17,12,0
2020-04-18,12,0
2020-04-19,13,0
2020-04-20,13,0
2020-04-21,13,0
2020-04-22,13,0
2020-04-23,15,0
2020-04-24,15,0
2020-04-25,15,0
2020-04-26,16,0
2020-04-27,16,0
2020-04-28,19,0
2020-04-29,26,0
2020-04-30,28,0
2020-05-01,39,0
2020-05-02,50,0
2020-05-03,54,0
2020-05-04,61,0
2020-05-05,71,1
2020-05-06,80,1
2020-05-07,88,1
2020-05-08,95,1
2020-05-09,107,1
2020-05-10,109,1
2020-05-11,114,1
2020-05-12,122,1
2020-05-13,122,1
2020-05-14,130,1
2020-05-15,135,1
2020-05-16,144,1
2020-05-17,150,2
2020-05-18,155,2
2020-05-19,164,2
2020-05-20,178,1
2020-05-21,183,1
2020-05-22,193,1
2020-05-23,202,1
2020-05-24,208,1
2020-05-25,214,2
2020-05-26,217,2
2020-05-27,219,2
2020-05-28,222,2
2020-05-29,226,2
2020-05-30,237,2
2020-05-31,243,2
2020-06-01,246,2
2020-06-02,253,2
2020-06-03,248,2
2020-06-04,248,2
2020-06-05,249,2
2020-06-06,253,2
2020-06-07,254,2
2020-06-08,257,2
2020-06-09,261,2
2020-06-10,260,2
2020-06-11,261,2
2020-06-12,262,2
2020-06-13,267,2
2020-06-14,266,2
2020-06-15,267,2
2020-06-16,270,3
2020-06-17,272,3
2020-06-18,271,3
2020-06-19,272,4
2020-06-20,273,4
2020-06-21,275,4
2020-06-22,276,4
2020-06-23,277,4
2020-06-24,277,4
2020-06-25,278,4
2020-06-26,283,4
2020-06-27,287,4
2020-06-28,291,4
2020-06-29,291,4
2020-06-30,295,4
2020-07-01,297,4
2020-07-02,303,5
2020-07-03,307,5
2020-07-04,307,5
2020-07-05,312,5
2020-07-06,317,5
2020-07-07,325,5
2020-07-08,327,5
2020-07-09,340,5
2020-07-10,344,5
2020-07-11,362,5
2020-07-12,369,5
2020-07-13,372,5
2020-07-14,371,5
2020-07-15,375,5
2020-07-16,400,5
2020-07-17,406,5
2020-07-18,413,5
2020-07-19,423,5
2020-07-20,429,5
2020-07-21,457,5
2020-07-22,459,5
2020-07-23,472,5
2020-07-24,490,5
2020-07-25,499,5
2020-07-26,564,5
2020-07-27,571,5
2020-07-28,587,5
2020-07-29,595,6
2020-07-30,602,6
2020-07-31,615,6
2020-08-01,629,7
2020-08-02,638,7
2020-08-03,649,7
2020-08-04,657,7
2020-08-05,667,7
2020-08-06,703,7
2020-08-07,710,7
2020-08-08,718,8
2020-08-09,723,8
2020-08-10,732,8
2020-08-11,732,8
2020-08-12,737,10
2020-08-13,753,10
2020-08-14,758,10
2020-08-15,769,10
2020-08-16,780,10
2020-08-17,782,10
2020-08-18,787,11
2020-08-19,790,11
2020-08-20,801,11
2020-08-21,809,11
2020-08-22,821,12
2020-08-23,826,12
2020-08-24,835,12
2020-08-25,837,13
2020-08-26,849,12
2020-08-27,871,12
2020-08-28,876,12
2020-08-29,892,12
2020-08-30,910,13
2020-08-31,915,13
2020-09-01,920,13
2020-09-02,930,13
2020-09-03,939,13
2020-09-04,947,13
2020-09-05,956,13
2020-09-06,968,13
2020-09-07,975,13
2020-09-08,978,13
2020-09-09,981,13
2020-09-10,985,13
2020-09-11,995,13
2020-09-12,1007,13
2020-09-13,1015,13
2020-09-14,1030,13
2020-09-15,1037,13
2020-09-16,1038,13
2020-09-17,1050,13
