date,cases,deaths
2020-03-30,1,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,6,0
2020-04-04,6,0
2020-04-05,6,0
2020-04-06,6,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,7,0
2020-04-11,7,0
2020-04-12,7,0
2020-04-13,7,0
2020-04-14,7,0
2020-04-15,7,0
2020-04-16,7,0
2020-04-17,7,0
2020-04-18,7,0
2020-04-19,8,0
2020-04-20,7,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,8,0
2020-04-24,9,0
2020-04-25,9,0
2020-04-26,9,0
2020-04-27,8,0
2020-04-28,10,0
2020-04-29,10,1
2020-04-30,10,1
2020-05-01,10,1
2020-05-02,10,1
2020-05-03,10,1
2020-05-04,10,1
2020-05-05,10,1
2020-05-06,10,1
2020-05-07,10,1
2020-05-08,10,1
2020-05-09,10,1
2020-05-10,10,1
2020-05-11,10,1
2020-05-12,11,1
2020-05-13,11,1
2020-05-14,12,1
2020-05-15,12,1
2020-05-16,12,1
2020-05-17,12,1
2020-05-18,12,1
2020-05-19,12,1
2020-05-20,12,1
2020-05-21,12,1
2020-05-22,15,1
2020-05-23,15,1
2020-05-24,14,1
2020-05-25,14,1
2020-05-26,14,1
2020-05-27,14,1
2020-05-28,14,1
2020-05-29,16,1
2020-05-30,17,1
2020-05-31,17,1
2020-06-01,17,1
2020-06-02,18,1
2020-06-03,19,1
2020-06-04,19,1
2020-06-05,19,1
2020-06-06,20,1
2020-06-07,20,1
2020-06-08,22,1
2020-06-09,23,1
2020-06-10,26,1
2020-06-11,26,1
2020-06-12,28,1
2020-06-13,29,1
2020-06-14,30,1
2020-06-15,30,1
2020-06-16,32,1
2020-06-17,32,1
2020-06-18,32,1
2020-06-19,32,1
2020-06-20,32,1
2020-06-21,32,1
2020-06-22,35,1
2020-06-23,38,1
2020-06-24,41,1
2020-06-25,47,1
2020-06-26,51,1
2020-06-27,53,1
2020-06-28,53,1
2020-06-29,53,1
2020-06-30,55,1
