date,cases,deaths
2020-03-28,1,0.0
2020-03-29,4,0.0
2020-03-30,4,1.0
2020-03-31,4,1.0
2020-04-01,4,1.0
2020-04-02,4,1.0
2020-04-03,5,1.0
2020-04-04,6,1.0
2020-04-05,6,1.0
2020-04-06,6,1.0
2020-04-07,7,1.0
2020-04-08,7,1.0
2020-04-09,10,1.0
2020-04-10,10,1.0
2020-04-11,11,1.0
2020-04-12,12,1.0
2020-04-13,14,1.0
2020-04-14,14,1.0
2020-04-15,15,1.0
2020-04-16,16,1.0
2020-04-17,17,1.0
2020-04-18,16,1.0
2020-04-19,17,0.0
2020-04-20,17,0.0
2020-04-21,18,0.0
2020-04-22,20,1.0
2020-04-23,24,1.0
2020-04-24,23,0.0
2020-04-25,23,0.0
2020-04-26,23,0.0
2020-04-27,26,0.0
2020-04-28,26,0.0
2020-04-29,26,0.0
2020-04-30,29,0.0
2020-05-01,29,0.0
2020-05-02,28,0.0
2020-05-03,28,0.0
2020-05-04,30,0.0
2020-05-05,32,0.0
2020-05-06,32,0.0
2020-05-07,33,0.0
2020-05-08,33,0.0
2020-05-09,34,0.0
2020-05-10,38,0.0
2020-05-11,38,0.0
2020-05-12,38,0.0
2020-05-13,38,0.0
2020-05-14,39,0.0
2020-05-15,41,0.0
2020-05-16,46,0.0
2020-05-17,46,0.0
2020-05-18,46,0.0
2020-05-19,45,1.0
2020-05-20,48,1.0
2020-05-21,49,1.0
2020-05-22,49,1.0
2020-05-23,50,1.0
2020-05-24,52,1.0
2020-05-25,52,1.0
2020-05-26,53,1.0
2020-05-27,56,1.0
2020-05-28,56,1.0
2020-05-29,59,1.0
2020-05-30,60,1.0
2020-05-31,64,1.0
2020-06-01,64,1.0
2020-06-02,64,1.0
2020-06-03,65,1.0
2020-06-04,66,1.0
2020-06-05,65,1.0
2020-06-06,65,1.0
2020-06-07,65,1.0
2020-06-08,66,2.0
2020-06-09,66,2.0
2020-06-10,67,2.0
2020-06-11,67,2.0
2020-06-12,67,2.0
2020-06-13,70,2.0
2020-06-14,70,2.0
2020-06-15,72,2.0
2020-06-16,71,2.0
2020-06-17,73,2.0
2020-06-18,73,2.0
2020-06-19,73,2.0
2020-06-20,73,2.0
2020-06-21,73,2.0
2020-06-22,75,2.0
2020-06-23,76,2.0
2020-06-24,79,2.0
2020-06-25,81,2.0
2020-06-26,81,2.0
2020-06-27,80,2.0
2020-06-28,80,2.0
2020-06-29,80,2.0
2020-06-30,81,2.0
2020-07-01,82,2.0
2020-07-02,84,2.0
2020-07-03,89,2.0
2020-07-04,89,2.0
2020-07-05,91,2.0
2020-07-06,91,2.0
2020-07-07,104,3.0
2020-07-08,104,3.0
2020-07-09,106,3.0
2020-07-10,108,3.0
2020-07-11,110,3.0
2020-07-12,112,3.0
2020-07-13,111,3.0
2020-07-14,118,3.0
2020-07-15,124,3.0
2020-07-16,127,3.0
2020-07-17,131,3.0
2020-07-18,134,4.0
2020-07-19,136,4.0
2020-07-20,143,4.0
2020-07-21,145,4.0
2020-07-22,151,4.0
2020-07-23,156,4.0
2020-07-24,165,4.0
2020-07-25,172,4.0
2020-07-26,179,4.0
2020-07-27,179,4.0
2020-07-28,181,4.0
2020-07-29,188,4.0
