date,cases,deaths
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,3,0.0
2020-03-25,4,0.0
2020-03-26,7,0.0
2020-03-27,8,0.0
2020-03-28,9,0.0
2020-03-29,9,0.0
2020-03-30,10,0.0
2020-03-31,10,0.0
2020-04-01,11,0.0
2020-04-02,12,0.0
2020-04-03,14,0.0
2020-04-04,14,0.0
2020-04-05,15,0.0
2020-04-06,15,0.0
2020-04-07,15,0.0
2020-04-08,15,0.0
2020-04-09,17,0.0
2020-04-10,17,0.0
2020-04-11,18,0.0
2020-04-12,20,0.0
2020-04-13,20,0.0
2020-04-14,22,0.0
2020-04-15,25,0.0
2020-04-16,28,0.0
2020-04-17,31,0.0
2020-04-18,34,0.0
2020-04-19,36,0.0
2020-04-20,44,0.0
2020-04-21,49,0.0
2020-04-22,51,0.0
2020-04-23,62,0.0
2020-04-24,68,0.0
2020-04-25,80,0.0
2020-04-26,82,0.0
2020-04-27,86,0.0
2020-04-28,89,0.0
2020-04-29,94,0.0
2020-04-30,99,0.0
2020-05-01,109,0.0
2020-05-02,117,1.0
2020-05-03,117,2.0
2020-05-04,128,2.0
2020-05-05,137,2.0
2020-05-06,159,3.0
2020-05-07,170,3.0
2020-05-08,182,4.0
2020-05-09,191,4.0
2020-05-10,190,4.0
2020-05-11,196,4.0
2020-05-12,205,5.0
2020-05-13,206,5.0
2020-05-14,212,5.0
2020-05-15,224,5.0
2020-05-16,233,7.0
2020-05-17,249,7.0
2020-05-18,248,7.0
2020-05-19,259,9.0
2020-05-20,259,10.0
2020-05-21,257,11.0
2020-05-22,269,12.0
2020-05-23,270,12.0
2020-05-24,269,14.0
2020-05-25,273,14.0
2020-05-26,277,14.0
2020-05-27,277,15.0
2020-05-28,284,15.0
2020-05-29,287,15.0
2020-05-30,292,16.0
2020-05-31,298,17.0
2020-06-01,298,17.0
2020-06-02,303,18.0
2020-06-03,307,18.0
2020-06-04,311,18.0
2020-06-05,312,18.0
2020-06-06,315,18.0
2020-06-07,315,20.0
2020-06-08,317,20.0
2020-06-09,319,21.0
2020-06-10,323,22.0
2020-06-11,323,22.0
2020-06-12,328,23.0
2020-06-13,328,23.0
2020-06-14,331,23.0
2020-06-15,332,23.0
2020-06-16,333,23.0
2020-06-17,335,23.0
2020-06-18,335,23.0
2020-06-19,335,23.0
2020-06-20,335,23.0
2020-06-21,335,23.0
2020-06-22,336,23.0
2020-06-23,337,23.0
2020-06-24,338,23.0
2020-06-25,341,23.0
2020-06-26,346,23.0
2020-06-27,345,23.0
2020-06-28,346,23.0
2020-06-29,347,23.0
2020-06-30,350,23.0
2020-07-01,352,23.0
2020-07-02,355,23.0
2020-07-03,358,23.0
2020-07-04,359,23.0
2020-07-05,360,23.0
2020-07-06,361,23.0
2020-07-07,365,23.0
2020-07-08,365,23.0
2020-07-09,375,24.0
2020-07-10,383,24.0
2020-07-11,384,24.0
2020-07-12,386,24.0
2020-07-13,386,24.0
2020-07-14,390,24.0
2020-07-15,394,24.0
2020-07-16,403,24.0
2020-07-17,405,24.0
2020-07-18,403,23.0
2020-07-19,404,23.0
2020-07-20,406,23.0
2020-07-21,423,23.0
2020-07-22,432,23.0
2020-07-23,435,23.0
2020-07-24,436,23.0
2020-07-25,456,23.0
2020-07-26,457,23.0
2020-07-27,459,23.0
2020-07-28,467,23.0
2020-07-29,475,23.0
2020-07-30,480,23.0
2020-07-31,486,23.0
2020-08-01,495,24.0
2020-08-02,495,24.0
2020-08-03,498,24.0
2020-08-04,502,24.0
2020-08-05,510,24.0
2020-08-06,513,24.0
2020-08-07,515,25.0
2020-08-08,521,25.0
2020-08-09,522,25.0
2020-08-10,523,25.0
2020-08-11,527,25.0
2020-08-12,533,25.0
2020-08-13,539,25.0
2020-08-14,544,25.0
2020-08-15,549,25.0
2020-08-16,551,25.0
2020-08-17,551,25.0
2020-08-18,553,25.0
2020-08-19,559,25.0
2020-08-20,563,25.0
2020-08-21,568,25.0
2020-08-22,570,25.0
2020-08-23,571,25.0
2020-08-24,571,25.0
2020-08-25,571,25.0
2020-08-26,576,25.0
2020-08-27,577,25.0
2020-08-28,578,25.0
2020-08-29,581,25.0
2020-08-30,583,25.0
2020-08-31,583,25.0
2020-09-01,585,25.0
2020-09-02,592,25.0
2020-09-03,594,25.0
2020-09-04,599,25.0
2020-09-05,599,25.0
2020-09-06,598,25.0
2020-09-07,598,25.0
2020-09-08,598,25.0
2020-09-09,605,25.0
2020-09-10,611,25.0
2020-09-11,613,25.0
2020-09-12,619,25.0
2020-09-13,619,25.0
2020-09-14,619,25.0
2020-09-15,624,25.0
2020-09-16,633,25.0
2020-09-17,636,25.0
2020-09-18,640,25.0
2020-09-19,641,25.0
2020-09-20,641,25.0
2020-09-21,641,25.0
2020-09-22,643,25.0
2020-09-23,653,25.0
2020-09-24,654,25.0
2020-09-25,659,25.0
2020-09-26,667,25.0
2020-09-27,670,25.0
2020-09-28,671,25.0
2020-09-29,672,25.0
2020-09-30,672,25.0
2020-10-01,684,25.0
2020-10-02,687,25.0
2020-10-03,691,25.0
2020-10-04,691,25.0
2020-10-05,691,25.0
2020-10-06,695,25.0
2020-10-07,696,25.0
2020-10-08,697,25.0
2020-10-09,700,25.0
2020-10-10,703,25.0
2020-10-11,705,25.0
2020-10-12,707,25.0
2020-10-13,711,25.0
2020-10-14,728,25.0
2020-10-15,749,25.0
2020-10-16,755,25.0
2020-10-17,763,25.0
2020-10-18,763,25.0
2020-10-19,765,25.0
2020-10-20,776,26.0
2020-10-21,781,26.0
2020-10-22,789,26.0
2020-10-23,790,26.0
2020-10-24,794,26.0
2020-10-25,794,26.0
2020-10-26,797,26.0
2020-10-27,805,26.0
2020-10-28,805,27.0
2020-10-29,809,27.0
2020-10-30,811,27.0
2020-10-31,819,27.0
2020-11-01,819,27.0
2020-11-02,819,27.0
2020-11-03,823,27.0
2020-11-04,830,27.0
2020-11-05,838,27.0
2020-11-06,844,27.0
2020-11-07,856,27.0
2020-11-08,858,27.0
2020-11-09,860,27.0
2020-11-10,874,27.0
2020-11-11,897,27.0
2020-11-12,909,27.0
2020-11-13,935,27.0
2020-11-14,948,27.0
2020-11-15,962,27.0
2020-11-16,964,27.0
2020-11-17,975,27.0
2020-11-18,1005,29.0
2020-11-19,1019,30.0
2020-11-20,1038,33.0
2020-11-21,1054,33.0
2020-11-22,1061,33.0
2020-11-23,1062,33.0
2020-11-24,1078,33.0
2020-11-25,1098,33.0
2020-11-26,1112,34.0
2020-11-27,1122,34.0
2020-11-28,1130,34.0
2020-11-29,1161,34.0
2020-11-30,1175,34.0
2020-12-01,1193,34.0
2020-12-02,1228,34.0
2020-12-03,1247,35.0
2020-12-04,1268,36.0
2020-12-05,1284,37.0
2020-12-06,1299,37.0
2020-12-07,1305,37.0
2020-12-08,1312,37.0
2020-12-09,1338,37.0
2020-12-10,1347,38.0
2020-12-11,1375,38.0
2020-12-12,1411,39.0
2020-12-13,1413,39.0
2020-12-14,1430,40.0
2020-12-15,1445,43.0
2020-12-16,1469,43.0
2020-12-17,1490,43.0
2020-12-18,1509,43.0
2020-12-19,1517,43.0
2020-12-20,1537,43.0
2020-12-21,1546,43.0
2020-12-22,1568,43.0
2020-12-23,1598,43.0
2020-12-24,1626,44.0
2020-12-25,1644,44.0
2020-12-26,1652,44.0
2020-12-27,1660,44.0
2020-12-28,1669,44.0
2020-12-29,1685,44.0
2020-12-30,1709,46.0
2020-12-31,1728,51.0
2021-01-01,1751,51.0
2021-01-02,1760,51.0
2021-01-03,1780,51.0
2021-01-04,1797,51.0
2021-01-05,1810,52.0
2021-01-06,1825,52.0
2021-01-07,1837,52.0
2021-01-08,1850,54.0
2021-01-09,1865,55.0
2021-01-10,1876,55.0
2021-01-11,1884,55.0
2021-01-12,1896,55.0
2021-01-13,1901,57.0
2021-01-14,1909,58.0
2021-01-15,1916,58.0
