date,cases,deaths
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,3,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,3,0
2020-03-18,3,0
2020-03-19,4,0
2020-03-20,4,0
2020-03-21,5,0
2020-03-22,11,0
2020-03-23,11,0
2020-03-24,14,0
2020-03-25,15,0
2020-03-26,16,0
2020-03-27,16,0
2020-03-28,18,0
2020-03-29,19,0
2020-03-30,21,0
2020-03-31,21,0
2020-04-01,27,0
2020-04-02,26,0
2020-04-03,30,0
2020-04-04,34,0
2020-04-05,42,1
2020-04-06,46,1
2020-04-07,59,1
2020-04-08,59,1
2020-04-09,71,2
2020-04-10,76,2
2020-04-11,86,2
2020-04-12,95,2
2020-04-13,105,2
2020-04-14,114,2
2020-04-15,122,2
2020-04-16,134,2
2020-04-17,137,2
2020-04-18,137,3
2020-04-19,144,4
2020-04-20,147,4
2020-04-21,151,4
2020-04-22,158,4
2020-04-23,164,6
2020-04-24,174,7
2020-04-25,181,7
2020-04-26,190,7
2020-04-27,190,8
2020-04-28,196,8
2020-04-29,198,10
2020-04-30,207,12
2020-05-01,219,12
2020-05-02,226,13
2020-05-03,232,14
2020-05-04,248,14
2020-05-05,259,14
2020-05-06,273,17
2020-05-07,283,18
2020-05-08,294,20
2020-05-09,309,21
2020-05-10,314,21
2020-05-11,315,21
2020-05-12,331,23
2020-05-13,336,23
2020-05-14,357,24
2020-05-15,380,26
2020-05-16,416,26
2020-05-17,431,27
2020-05-18,442,27
2020-05-19,435,29
2020-05-20,438,32
2020-05-21,453,32
2020-05-22,462,32
2020-05-23,478,33
2020-05-24,480,34
2020-05-25,486,35
2020-05-26,503,37
2020-05-27,511,37
