date,cases,deaths
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,7,0
2020-04-06,7,0
2020-04-07,8,0
2020-04-08,8,0
2020-04-09,10,0
2020-04-10,10,0
2020-04-11,10,0
2020-04-12,10,0
2020-04-13,11,0
2020-04-14,13,0
2020-04-15,14,0
2020-04-16,14,0
2020-04-17,15,0
2020-04-18,19,0
2020-04-19,20,0
2020-04-20,26,0
2020-04-21,26,0
2020-04-22,27,0
2020-04-23,27,0
2020-04-24,27,0
2020-04-25,27,0
2020-04-26,27,0
2020-04-27,27,0
2020-04-28,28,0
2020-04-29,28,0
2020-04-30,28,0
2020-05-01,32,0
