date,cases,deaths
2020-06-25,2,0.0
2020-06-26,5,0.0
2020-06-27,6,1.0
2020-06-28,6,1.0
2020-06-29,6,1.0
2020-06-30,6,1.0
2020-07-01,7,1.0
2020-07-02,8,1.0
2020-07-03,9,1.0
2020-07-04,9,1.0
2020-07-05,9,1.0
2020-07-06,9,1.0
2020-07-07,10,1.0
2020-07-08,10,1.0
2020-07-09,10,1.0
2020-07-10,10,1.0
2020-07-11,10,1.0
2020-07-12,10,1.0
2020-07-13,11,1.0
2020-07-14,11,1.0
2020-07-15,11,1.0
2020-07-16,11,1.0
2020-07-17,12,1.0
2020-07-18,14,1.0
2020-07-19,14,1.0
2020-07-20,15,1.0
2020-07-21,16,1.0
2020-07-22,16,1.0
2020-07-23,16,1.0
2020-07-24,17,1.0
2020-07-25,18,1.0
2020-07-26,18,1.0
2020-07-27,18,1.0
2020-07-28,19,1.0
2020-07-29,19,1.0
2020-07-30,20,1.0
2020-07-31,20,1.0
2020-08-01,21,1.0
2020-08-02,21,1.0
2020-08-03,21,1.0
2020-08-04,21,1.0
2020-08-05,24,1.0
2020-08-06,25,1.0
2020-08-07,25,1.0
2020-08-08,26,1.0
2020-08-09,26,1.0
2020-08-10,26,2.0
2020-08-11,27,2.0
2020-08-12,27,2.0
2020-08-13,27,2.0
2020-08-14,27,2.0
2020-08-15,27,2.0
2020-08-16,28,2.0
2020-08-17,28,2.0
2020-08-18,28,2.0
2020-08-19,29,2.0
2020-08-20,45,2.0
2020-08-21,87,2.0
2020-08-22,93,2.0
2020-08-23,94,2.0
2020-08-24,94,2.0
2020-08-25,95,2.0
2020-08-26,95,3.0
2020-08-27,96,3.0
2020-08-28,97,3.0
2020-08-29,97,3.0
2020-08-30,97,3.0
2020-08-31,97,3.0
2020-09-01,98,3.0
2020-09-02,99,3.0
2020-09-03,99,3.0
2020-09-04,98,3.0
2020-09-05,98,3.0
2020-09-06,98,3.0
2020-09-07,98,3.0
2020-09-08,98,3.0
2020-09-09,98,3.0
2020-09-10,98,3.0
2020-09-11,98,3.0
2020-09-12,98,3.0
2020-09-13,98,3.0
2020-09-14,99,3.0
2020-09-15,102,3.0
2020-09-16,102,3.0
2020-09-17,103,3.0
2020-09-18,103,3.0
2020-09-19,103,3.0
2020-09-20,103,3.0
2020-09-21,103,3.0
2020-09-22,103,3.0
2020-09-23,104,3.0
2020-09-24,104,3.0
2020-09-25,104,3.0
2020-09-26,105,3.0
2020-09-27,105,3.0
2020-09-28,105,3.0
2020-09-29,105,3.0
2020-09-30,106,3.0
2020-10-01,106,3.0
2020-10-02,106,3.0
2020-10-03,106,3.0
2020-10-04,106,3.0
2020-10-05,106,3.0
2020-10-06,106,3.0
2020-10-07,106,3.0
2020-10-08,106,3.0
2020-10-09,106,3.0
2020-10-10,106,3.0
2020-10-11,106,3.0
2020-10-12,106,3.0
2020-10-13,106,3.0
2020-10-14,106,3.0
2020-10-15,106,3.0
2020-10-16,106,3.0
2020-10-17,106,3.0
2020-10-18,106,3.0
2020-10-19,106,3.0
2020-10-20,106,3.0
2020-10-21,106,4.0
2020-10-22,107,4.0
2020-10-23,107,4.0
2020-10-24,107,4.0
2020-10-25,107,4.0
2020-10-26,107,4.0
2020-10-27,107,4.0
2020-10-28,107,4.0
2020-10-29,107,4.0
2020-10-30,107,4.0
2020-10-31,107,4.0
2020-11-01,107,4.0
2020-11-02,107,4.0
2020-11-03,107,4.0
2020-11-04,107,4.0
2020-11-05,107,4.0
2020-11-06,107,4.0
2020-11-07,107,4.0
2020-11-08,107,4.0
2020-11-09,107,4.0
2020-11-10,108,4.0
2020-11-11,108,4.0
2020-11-12,108,4.0
2020-11-13,108,4.0
2020-11-14,108,4.0
2020-11-15,108,4.0
2020-11-16,108,4.0
2020-11-17,108,4.0
2020-11-18,108,4.0
2020-11-19,108,4.0
2020-11-20,108,4.0
2020-11-21,108,4.0
2020-11-22,109,4.0
2020-11-23,111,4.0
2020-11-24,111,4.0
2020-11-25,112,4.0
2020-11-26,114,4.0
2020-11-27,114,4.0
2020-11-28,116,4.0
2020-11-29,117,4.0
2020-11-30,120,4.0
2020-12-01,120,4.0
2020-12-02,121,4.0
2020-12-03,123,4.0
2020-12-04,125,4.0
2020-12-05,128,4.0
2020-12-06,129,4.0
2020-12-07,129,4.0
2020-12-08,130,4.0
2020-12-09,131,4.0
2020-12-10,131,4.0
2020-12-11,132,4.0
2020-12-12,132,4.0
2020-12-13,133,4.0
2020-12-14,133,4.0
2020-12-15,133,4.0
2020-12-16,136,4.0
2020-12-17,139,4.0
2020-12-18,140,4.0
2020-12-19,140,4.0
2020-12-20,140,4.0
2020-12-21,140,4.0
2020-12-22,143,4.0
2020-12-23,143,4.0
2020-12-24,144,4.0
2020-12-25,144,4.0
2020-12-26,145,4.0
2020-12-27,146,4.0
2020-12-28,148,4.0
2020-12-29,148,4.0
2020-12-30,151,4.0
2020-12-31,152,4.0
2021-01-01,152,4.0
2021-01-02,152,4.0
2021-01-03,152,4.0
