date,cases,deaths
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,2,0
2020-03-20,3,0
2020-03-21,5,0
2020-03-22,5,0
2020-03-23,7,0
2020-03-24,10,0
2020-03-25,12,0
2020-03-26,16,0
2020-03-27,24,0
2020-03-28,33,0
2020-03-29,34,0
2020-03-30,39,0
2020-03-31,40,0
2020-04-01,52,0
2020-04-02,57,1
2020-04-03,75,1
2020-04-04,79,1
2020-04-05,86,3
2020-04-06,98,5
2020-04-07,108,5
2020-04-08,111,5
2020-04-09,122,5
2020-04-10,135,5
2020-04-11,139,5
2020-04-12,140,5
2020-04-13,147,5
2020-04-14,157,5
2020-04-15,182,5
2020-04-16,189,5
2020-04-17,196,6
2020-04-18,201,6
2020-04-19,205,6
2020-04-20,209,6
2020-04-21,211,6
2020-04-22,221,6
2020-04-23,228,6
2020-04-24,235,6
2020-04-25,237,6
2020-04-26,238,6
2020-04-27,240,6
2020-04-28,252,6
2020-04-29,255,6
2020-04-30,259,6
2020-05-01,267,6
2020-05-02,267,7
2020-05-03,267,7
2020-05-04,267,7
2020-05-05,270,9
2020-05-06,271,10
2020-05-07,272,11
2020-05-08,273,11
2020-05-09,275,11
2020-05-10,275,11
2020-05-11,276,11
2020-05-12,276,13
2020-05-13,278,13
2020-05-14,280,13
2020-05-15,283,13
2020-05-16,284,13
2020-05-17,286,13
2020-05-18,287,13
2020-05-19,287,13
