date,cases,deaths
2020-04-09,4,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,5,1
2020-04-14,6,1
2020-04-15,7,1
2020-04-16,7,1
2020-04-17,8,1
2020-04-18,8,1
2020-04-19,8,1
2020-04-20,10,1
2020-04-21,12,1
2020-04-22,12,1
2020-04-23,13,1
2020-04-24,19,1
2020-04-25,22,1
2020-04-26,25,1
2020-04-27,27,1
2020-04-28,29,1
2020-04-29,31,1
2020-04-30,32,1
2020-05-01,35,1
2020-05-02,38,1
2020-05-03,40,1
2020-05-04,43,1
2020-05-05,45,1
2020-05-06,45,1
2020-05-07,47,1
2020-05-08,51,1
2020-05-09,53,1
2020-05-10,53,1
2020-05-11,55,1
2020-05-12,58,1
2020-05-13,60,1
2020-05-14,63,1
2020-05-15,67,2
2020-05-16,68,2
2020-05-17,68,2
2020-05-18,68,2
2020-05-19,69,2
2020-05-20,69,2
2020-05-21,69,2
2020-05-22,69,2
2020-05-23,70,2
2020-05-24,71,2
2020-05-25,71,2
2020-05-26,74,2
2020-05-27,75,2
2020-05-28,77,2
2020-05-29,77,2
2020-05-30,77,2
2020-05-31,77,3
2020-06-01,77,3
2020-06-02,80,3
2020-06-03,81,3
2020-06-04,82,3
2020-06-05,82,3
2020-06-06,84,3
2020-06-07,84,3
2020-06-08,85,3
2020-06-09,84,3
2020-06-10,84,3
2020-06-11,84,3
2020-06-12,84,3
2020-06-13,84,3
2020-06-14,84,3
2020-06-15,84,3
2020-06-16,84,3
2020-06-17,86,3
2020-06-18,86,3
2020-06-19,86,3
2020-06-20,86,3
2020-06-21,86,3
2020-06-22,90,3
2020-06-23,92,3
2020-06-24,93,3
2020-06-25,94,3
2020-06-26,97,3
2020-06-27,100,4
2020-06-28,101,4
2020-06-29,102,4
2020-06-30,103,4
2020-07-01,106,4
2020-07-02,107,4
2020-07-03,109,4
2020-07-04,111,4
2020-07-05,111,4
2020-07-06,112,4
2020-07-07,113,4
2020-07-08,114,4
2020-07-09,116,4
2020-07-10,118,4
2020-07-11,120,4
2020-07-12,125,4
2020-07-13,125,4
2020-07-14,129,4
2020-07-15,130,4
2020-07-16,132,4
2020-07-17,137,4
2020-07-18,146,4
2020-07-19,150,4
2020-07-20,153,4
2020-07-21,153,4
2020-07-22,159,4
2020-07-23,160,4
2020-07-24,163,5
2020-07-25,170,5
2020-07-26,174,5
2020-07-27,177,5
2020-07-28,182,5
2020-07-29,187,5
2020-07-30,190,5
2020-07-31,191,5
2020-08-01,196,6
2020-08-02,198,6
2020-08-03,202,6
2020-08-04,214,6
2020-08-05,225,6
2020-08-06,226,6
2020-08-07,228,6
2020-08-08,231,6
2020-08-09,231,6
2020-08-10,233,6
2020-08-11,233,6
2020-08-12,240,6
2020-08-13,243,6
2020-08-14,252,6
2020-08-15,253,6
2020-08-16,254,6
