date,cases,deaths
2020-03-20,1,0
2020-03-21,5,0
2020-03-22,6,0
2020-03-23,8,0
2020-03-24,12,0
2020-03-25,14,0
2020-03-26,15,0
2020-03-27,15,0
2020-03-28,17,1
2020-03-29,21,1
2020-03-30,23,1
2020-03-31,24,1
2020-04-01,25,1
2020-04-02,24,1
2020-04-03,26,1
2020-04-04,28,1
2020-04-05,30,1
2020-04-06,30,2
2020-04-07,38,2
2020-04-08,40,2
2020-04-09,40,2
2020-04-10,41,2
2020-04-11,42,3
2020-04-12,43,4
2020-04-13,46,4
2020-04-14,46,4
2020-04-15,46,4
2020-04-16,48,4
2020-04-17,49,4
2020-04-18,54,4
2020-04-19,60,4
2020-04-20,63,4
2020-04-21,64,4
2020-04-22,64,4
2020-04-23,66,4
2020-04-24,70,4
2020-04-25,72,5
2020-04-26,72,5
2020-04-27,70,4
2020-04-28,71,4
2020-04-29,70,4
2020-04-30,69,4
2020-05-01,71,4
2020-05-02,71,4
2020-05-03,71,4
2020-05-04,72,4
