date,cases,deaths
2020-03-21,4,0.0
2020-03-22,4,0.0
2020-03-23,6,0.0
2020-03-24,6,0.0
2020-03-25,6,0.0
2020-03-26,8,0.0
2020-03-27,9,0.0
2020-03-28,10,0.0
2020-03-29,10,0.0
2020-03-30,10,0.0
2020-03-31,11,0.0
2020-04-01,11,0.0
2020-04-02,10,0.0
2020-04-03,12,0.0
2020-04-04,13,0.0
2020-04-05,15,0.0
2020-04-06,15,0.0
2020-04-07,16,0.0
2020-04-08,17,0.0
2020-04-09,18,0.0
2020-04-10,19,0.0
2020-04-11,22,0.0
2020-04-12,24,0.0
2020-04-13,25,0.0
2020-04-14,25,0.0
2020-04-15,27,0.0
2020-04-16,30,0.0
2020-04-17,30,1.0
2020-04-18,32,1.0
2020-04-19,32,1.0
2020-04-20,34,1.0
2020-04-21,35,1.0
2020-04-22,36,1.0
2020-04-23,36,1.0
2020-04-24,38,2.0
2020-04-25,41,2.0
2020-04-26,41,2.0
2020-04-27,45,2.0
2020-04-28,49,2.0
2020-04-29,49,2.0
2020-04-30,54,2.0
2020-05-01,58,2.0
2020-05-02,58,2.0
2020-05-03,60,3.0
2020-05-04,61,3.0
2020-05-05,65,3.0
2020-05-06,64,3.0
2020-05-07,71,3.0
2020-05-08,73,3.0
2020-05-09,79,3.0
2020-05-10,83,3.0
2020-05-11,86,3.0
2020-05-12,91,3.0
2020-05-13,93,4.0
2020-05-14,100,4.0
2020-05-15,108,4.0
2020-05-16,112,4.0
2020-05-17,122,5.0
2020-05-18,126,6.0
2020-05-19,132,6.0
2020-05-20,135,6.0
2020-05-21,136,7.0
2020-05-22,139,7.0
2020-05-23,158,7.0
2020-05-24,160,7.0
2020-05-25,164,7.0
2020-05-26,166,7.0
2020-05-27,182,8.0
2020-05-28,189,9.0
2020-05-29,200,9.0
2020-05-30,211,9.0
2020-05-31,211,9.0
2020-06-01,219,9.0
2020-06-02,230,9.0
2020-06-03,241,9.0
2020-06-04,247,9.0
2020-06-05,252,9.0
2020-06-06,263,9.0
2020-06-07,270,9.0
2020-06-08,274,9.0
2020-06-09,277,9.0
2020-06-10,290,9.0
2020-06-11,290,9.0
2020-06-12,311,9.0
2020-06-13,311,9.0
2020-06-14,315,9.0
2020-06-15,317,9.0
2020-06-16,335,9.0
2020-06-17,352,10.0
2020-06-18,352,10.0
2020-06-19,352,10.0
2020-06-20,352,10.0
2020-06-21,352,10.0
2020-06-22,384,10.0
2020-06-23,392,10.0
2020-06-24,399,10.0
2020-06-25,412,10.0
2020-06-26,421,10.0
2020-06-27,425,10.0
2020-06-28,431,11.0
2020-06-29,438,11.0
2020-06-30,444,11.0
2020-07-01,453,11.0
2020-07-02,459,12.0
2020-07-03,472,12.0
2020-07-04,483,12.0
2020-07-05,483,13.0
2020-07-06,494,13.0
2020-07-07,509,13.0
2020-07-08,515,13.0
2020-07-09,526,13.0
2020-07-10,536,13.0
2020-07-11,548,13.0
2020-07-12,548,17.0
2020-07-13,549,17.0
2020-07-14,553,17.0
2020-07-15,569,17.0
2020-07-16,597,17.0
2020-07-17,608,17.0
2020-07-18,629,17.0
2020-07-19,639,17.0
2020-07-20,650,17.0
2020-07-21,671,18.0
2020-07-22,714,19.0
2020-07-23,745,20.0
2020-07-24,768,22.0
2020-07-25,794,22.0
2020-07-26,811,22.0
2020-07-27,816,22.0
2020-07-28,833,23.0
2020-07-29,885,24.0
2020-07-30,922,26.0
2020-07-31,941,30.0
2020-08-01,958,30.0
2020-08-02,973,32.0
2020-08-03,989,32.0
2020-08-04,999,32.0
2020-08-05,1023,33.0
2020-08-06,1039,35.0
2020-08-07,1058,37.0
2020-08-08,1074,37.0
2020-08-09,1077,37.0
2020-08-10,1085,38.0
2020-08-11,1092,39.0
2020-08-12,1102,40.0
2020-08-13,1114,40.0
2020-08-14,1121,40.0
2020-08-15,1136,42.0
2020-08-16,1140,42.0
2020-08-17,1140,42.0
2020-08-18,1153,46.0
2020-08-19,1167,47.0
2020-08-20,1175,47.0
2020-08-21,1200,47.0
2020-08-22,1208,47.0
2020-08-23,1215,47.0
2020-08-24,1227,47.0
2020-08-25,1237,52.0
2020-08-26,1245,53.0
2020-08-27,1252,53.0
2020-08-28,1262,53.0
2020-08-29,1272,53.0
2020-08-30,1279,53.0
2020-08-31,1285,54.0
2020-09-01,1294,55.0
2020-09-02,1297,55.0
