date,cases,deaths
2020-03-27,1,0.0
2020-03-28,3,0.0
2020-03-29,4,0.0
2020-03-30,4,0.0
2020-03-31,4,0.0
2020-04-01,5,0.0
2020-04-02,4,0.0
2020-04-03,5,0.0
2020-04-04,6,0.0
2020-04-05,9,0.0
2020-04-06,11,0.0
2020-04-07,12,0.0
2020-04-08,13,0.0
2020-04-09,17,0.0
2020-04-10,21,0.0
2020-04-11,26,0.0
2020-04-12,31,0.0
2020-04-13,34,0.0
2020-04-14,33,1.0
2020-04-15,35,1.0
2020-04-16,39,1.0
2020-04-17,46,1.0
2020-04-18,55,1.0
2020-04-19,65,2.0
2020-04-20,73,2.0
2020-04-21,82,2.0
2020-04-22,91,2.0
2020-04-23,102,2.0
2020-04-24,116,2.0
2020-04-25,119,2.0
2020-04-26,153,3.0
2020-04-27,156,3.0
2020-04-28,169,3.0
2020-04-29,174,3.0
2020-04-30,187,3.0
2020-05-01,205,4.0
2020-05-02,212,4.0
2020-05-03,214,4.0
2020-05-04,222,4.0
2020-05-05,243,10.0
2020-05-06,254,11.0
2020-05-07,261,11.0
2020-05-08,287,12.0
2020-05-09,307,13.0
2020-05-10,315,14.0
2020-05-11,320,15.0
2020-05-12,326,16.0
2020-05-13,338,16.0
2020-05-14,354,18.0
2020-05-15,369,19.0
2020-05-16,397,21.0
2020-05-17,405,23.0
2020-05-18,423,24.0
2020-05-19,429,25.0
2020-05-20,452,26.0
2020-05-21,470,26.0
2020-05-22,477,27.0
2020-05-23,511,30.0
2020-05-24,512,31.0
2020-05-25,514,31.0
2020-05-26,539,33.0
2020-05-27,565,34.0
2020-05-28,589,37.0
2020-05-29,606,38.0
2020-05-30,630,38.0
2020-05-31,646,39.0
2020-06-01,671,39.0
2020-06-02,707,42.0
2020-06-03,722,44.0
2020-06-04,728,44.0
2020-06-05,739,45.0
2020-06-06,747,45.0
2020-06-07,755,45.0
2020-06-08,772,47.0
2020-06-09,805,48.0
2020-06-10,821,49.0
2020-06-11,821,49.0
2020-06-12,855,50.0
2020-06-13,877,50.0
2020-06-14,878,50.0
2020-06-15,881,50.0
2020-06-16,895,54.0
2020-06-17,921,56.0
2020-06-18,921,56.0
