date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,4,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,6,0
2020-04-07,7,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,7,0
2020-04-11,7,0
2020-04-12,7,0
2020-04-13,7,0
2020-04-14,7,0
2020-04-15,12,0
2020-04-16,13,0
2020-04-17,14,0
2020-04-18,14,0
2020-04-19,21,0
2020-04-20,28,0
2020-04-21,32,0
2020-04-22,32,0
2020-04-23,33,0
2020-04-24,36,0
2020-04-25,38,0
2020-04-26,40,0
2020-04-27,40,0
2020-04-28,43,0
2020-04-29,45,0
2020-04-30,46,0
2020-05-01,47,0
2020-05-02,47,0
2020-05-03,48,0
2020-05-04,49,0
2020-05-05,53,0
2020-05-06,55,0
2020-05-07,56,0
2020-05-08,60,0
2020-05-09,61,0
2020-05-10,61,0
2020-05-11,62,0
2020-05-12,63,0
2020-05-13,65,0
2020-05-14,72,0
2020-05-15,75,0
2020-05-16,75,0
2020-05-17,76,0
2020-05-18,78,0
2020-05-19,78,0
2020-05-20,79,0
2020-05-21,79,0
2020-05-22,82,0
2020-05-23,83,0
2020-05-24,85,0
2020-05-25,85,0
2020-05-26,91,0
2020-05-27,93,0
2020-05-28,95,0
2020-05-29,95,0
2020-05-30,101,0
2020-05-31,98,0
2020-06-01,100,0
2020-06-02,102,0
2020-06-03,104,0
2020-06-04,104,0
2020-06-05,105,0
2020-06-06,104,0
2020-06-07,105,0
2020-06-08,108,0
2020-06-09,112,0
2020-06-10,117,1
2020-06-11,117,1
2020-06-12,117,1
2020-06-13,117,1
2020-06-14,119,1
2020-06-15,119,1
2020-06-16,123,1
2020-06-17,126,1
2020-06-18,126,1
2020-06-19,126,1
2020-06-20,126,1
2020-06-21,126,1
2020-06-22,166,2
2020-06-23,170,2
2020-06-24,177,2
2020-06-25,187,2
2020-06-26,193,3
2020-06-27,195,3
2020-06-28,198,3
2020-06-29,209,3
2020-06-30,218,3
2020-07-01,230,3
2020-07-02,271,3
2020-07-03,283,3
2020-07-04,310,3
2020-07-05,317,3
2020-07-06,323,3
2020-07-07,345,3
2020-07-08,360,3
2020-07-09,373,3
2020-07-10,384,3
2020-07-11,393,3
2020-07-12,443,3
2020-07-13,453,3
2020-07-14,461,3
2020-07-15,480,3
2020-07-16,489,3
2020-07-17,495,4
2020-07-18,515,5
2020-07-19,522,5
2020-07-20,537,5
2020-07-21,548,5
2020-07-22,576,10
2020-07-23,589,11
2020-07-24,600,12
2020-07-25,613,12
2020-07-26,623,13
2020-07-27,626,13
2020-07-28,642,15
2020-07-29,665,17
2020-07-30,685,17
2020-07-31,696,24
2020-08-01,707,26
2020-08-02,711,26
2020-08-03,712,27
2020-08-04,723,28
2020-08-05,767,30
2020-08-06,779,30
2020-08-07,786,30
2020-08-08,795,30
2020-08-09,796,30
2020-08-10,803,30
2020-08-11,806,31
2020-08-12,821,31
2020-08-13,822,31
2020-08-14,842,32
2020-08-15,852,36
2020-08-16,858,36
2020-08-17,861,36
2020-08-18,867,36
2020-08-19,872,37
2020-08-20,873,37
2020-08-21,876,38
2020-08-22,893,38
2020-08-23,894,38
2020-08-24,897,38
2020-08-25,907,39
2020-08-26,918,39
2020-08-27,923,39
2020-08-28,927,39
2020-08-29,936,39
2020-08-30,938,39
2020-08-31,938,39
2020-09-01,938,39
2020-09-02,942,39
2020-09-03,944,39
2020-09-04,955,40
2020-09-05,959,40
2020-09-06,962,40
