date,cases,deaths
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,5,0
2020-03-26,5,0
2020-03-27,9,0
2020-03-28,10,0
2020-03-29,11,0
2020-03-30,13,0
2020-03-31,16,0
2020-04-01,21,0
2020-04-02,23,0
2020-04-03,26,0
2020-04-04,32,0
2020-04-05,33,0
2020-04-06,37,1
2020-04-07,37,1
2020-04-08,37,1
2020-04-09,38,1
2020-04-10,40,1
2020-04-11,46,1
2020-04-12,48,1
2020-04-13,51,1
2020-04-14,51,1
2020-04-15,52,1
2020-04-16,52,1
2020-04-17,55,1
2020-04-18,56,1
2020-04-19,57,1
2020-04-20,59,1
2020-04-21,61,1
2020-04-22,61,1
2020-04-23,62,1
2020-04-24,63,1
2020-04-25,65,1
2020-04-26,67,1
2020-04-27,68,1
2020-04-28,69,1
2020-04-29,69,1
2020-04-30,70,1
2020-05-01,77,1
2020-05-02,77,1
2020-05-03,77,1
2020-05-04,81,1
2020-05-05,86,1
2020-05-06,88,1
2020-05-07,91,1
2020-05-08,96,1
2020-05-09,96,1
2020-05-10,96,1
2020-05-11,101,1
2020-05-12,102,1
2020-05-13,106,1
2020-05-14,111,1
2020-05-15,113,1
2020-05-16,116,1
2020-05-17,114,1
2020-05-18,120,1
2020-05-19,123,1
2020-05-20,125,1
2020-05-21,127,1
2020-05-22,133,1
2020-05-23,141,2
2020-05-24,149,2
2020-05-25,148,2
2020-05-26,152,2
2020-05-27,158,3
2020-05-28,162,3
2020-05-29,169,3
2020-05-30,171,3
2020-05-31,173,3
2020-06-01,179,3
2020-06-02,184,3
2020-06-03,189,3
2020-06-04,192,3
2020-06-05,228,3
2020-06-06,228,4
2020-06-07,233,4
2020-06-08,243,3
2020-06-09,255,3
2020-06-10,263,3
2020-06-11,291,3
2020-06-12,295,3
2020-06-13,295,3
2020-06-14,295,3
2020-06-15,298,6
2020-06-16,299,7
2020-06-17,305,8
2020-06-18,319,8
2020-06-19,334,9
2020-06-20,342,9
2020-06-21,342,9
2020-06-22,348,9
2020-06-23,367,9
2020-06-24,375,11
2020-06-25,386,11
2020-06-26,406,12
2020-06-27,414,12
