date,cases,deaths
2020-03-17,1,0.0
2020-03-18,2,0.0
2020-03-19,2,0.0
2020-03-20,3,0.0
2020-03-21,3,0.0
2020-03-22,3,0.0
2020-03-23,5,0.0
2020-03-24,5,0.0
2020-03-25,6,0.0
2020-03-26,8,0.0
2020-03-27,10,0.0
2020-03-28,17,0.0
2020-03-29,17,0.0
2020-03-30,25,0.0
2020-03-31,23,0.0
2020-04-01,24,0.0
2020-04-02,25,0.0
2020-04-03,26,1.0
2020-04-04,28,1.0
2020-04-05,30,1.0
2020-04-06,30,1.0
2020-04-07,32,1.0
2020-04-08,35,1.0
2020-04-09,35,1.0
2020-04-10,35,1.0
2020-04-11,36,1.0
2020-04-12,36,1.0
2020-04-13,37,1.0
2020-04-14,38,1.0
2020-04-15,41,1.0
2020-04-16,41,1.0
2020-04-17,42,1.0
2020-04-18,44,1.0
2020-04-19,46,1.0
2020-04-20,46,1.0
2020-04-21,46,1.0
2020-04-22,45,1.0
2020-04-23,47,1.0
2020-04-24,49,1.0
2020-04-25,50,1.0
2020-04-26,50,1.0
2020-04-27,50,1.0
2020-04-28,50,1.0
2020-04-29,50,1.0
2020-04-30,51,1.0
2020-05-01,51,1.0
2020-05-02,53,1.0
2020-05-03,54,1.0
2020-05-04,54,1.0
2020-05-05,52,1.0
2020-05-06,53,1.0
2020-05-07,55,1.0
2020-05-08,54,1.0
2020-05-09,54,1.0
2020-05-10,56,1.0
2020-05-11,55,1.0
2020-05-12,55,1.0
2020-05-13,55,1.0
2020-05-14,55,1.0
2020-05-15,55,1.0
2020-05-16,55,1.0
2020-05-17,55,1.0
2020-05-18,56,1.0
2020-05-19,55,1.0
2020-05-20,55,1.0
2020-05-21,55,1.0
2020-05-22,58,1.0
2020-05-23,59,1.0
2020-05-24,59,1.0
2020-05-25,60,1.0
2020-05-26,60,1.0
2020-05-27,60,1.0
2020-05-28,60,1.0
2020-05-29,60,1.0
2020-05-30,60,1.0
2020-05-31,60,1.0
2020-06-01,61,1.0
2020-06-02,60,1.0
2020-06-03,60,1.0
2020-06-04,60,1.0
2020-06-05,57,1.0
2020-06-06,57,1.0
2020-06-07,57,1.0
2020-06-08,57,1.0
2020-06-09,57,1.0
2020-06-10,57,1.0
2020-06-11,57,1.0
2020-06-12,57,1.0
2020-06-13,57,1.0
2020-06-14,57,1.0
2020-06-15,57,1.0
2020-06-16,57,1.0
2020-06-17,57,1.0
2020-06-18,57,1.0
2020-06-19,58,1.0
2020-06-20,60,1.0
2020-06-21,60,1.0
2020-06-22,61,1.0
2020-06-23,63,2.0
2020-06-24,64,2.0
2020-06-25,67,2.0
2020-06-26,73,2.0
2020-06-27,72,2.0
2020-06-28,73,2.0
2020-06-29,76,2.0
2020-06-30,77,2.0
2020-07-01,78,2.0
2020-07-02,79,2.0
2020-07-03,81,2.0
2020-07-04,82,2.0
2020-07-05,84,2.0
2020-07-06,91,2.0
2020-07-07,94,2.0
2020-07-08,102,2.0
2020-07-09,115,2.0
2020-07-10,128,2.0
2020-07-11,134,2.0
2020-07-12,149,2.0
2020-07-13,151,2.0
2020-07-14,153,2.0
2020-07-15,164,2.0
2020-07-16,173,2.0
2020-07-17,181,2.0
2020-07-18,181,2.0
2020-07-19,181,2.0
2020-07-20,196,2.0
2020-07-21,199,2.0
2020-07-22,205,2.0
2020-07-23,219,2.0
2020-07-24,222,2.0
2020-07-25,222,2.0
2020-07-26,226,2.0
2020-07-27,241,2.0
2020-07-28,248,2.0
2020-07-29,263,2.0
2020-07-30,273,2.0
2020-07-31,291,2.0
2020-08-01,307,2.0
2020-08-02,315,2.0
2020-08-03,325,2.0
2020-08-04,338,3.0
2020-08-05,354,3.0
2020-08-06,362,3.0
2020-08-07,385,3.0
2020-08-08,385,3.0
2020-08-09,410,3.0
2020-08-10,427,3.0
2020-08-11,438,3.0
2020-08-12,460,3.0
2020-08-13,477,3.0
2020-08-14,496,3.0
2020-08-15,527,3.0
2020-08-16,589,3.0
2020-08-17,597,3.0
2020-08-18,613,3.0
2020-08-19,634,3.0
2020-08-20,653,3.0
2020-08-21,690,3.0
2020-08-22,702,3.0
2020-08-23,719,3.0
2020-08-24,722,3.0
2020-08-25,729,4.0
2020-08-26,758,4.0
2020-08-27,775,4.0
2020-08-28,788,8.0
2020-08-29,820,8.0
2020-08-30,831,8.0
2020-08-31,846,8.0
2020-09-01,863,8.0
2020-09-02,881,9.0
2020-09-03,916,10.0
2020-09-04,944,10.0
2020-09-05,981,10.0
2020-09-06,1010,10.0
2020-09-07,1016,10.0
2020-09-08,1032,10.0
2020-09-09,1048,11.0
2020-09-10,1088,12.0
2020-09-11,1119,12.0
2020-09-12,1172,12.0
2020-09-13,1198,12.0
2020-09-14,1218,12.0
2020-09-15,1233,12.0
2020-09-16,1262,12.0
2020-09-17,1289,14.0
2020-09-18,1328,14.0
2020-09-19,1354,14.0
2020-09-20,1374,14.0
2020-09-21,1386,14.0
2020-09-22,1398,14.0
2020-09-23,1434,14.0
2020-09-24,1481,14.0
2020-09-25,1509,14.0
2020-09-26,1535,14.0
2020-09-27,1559,14.0
2020-09-28,1584,14.0
2020-09-29,1584,14.0
2020-09-30,1630,14.0
2020-10-01,1660,14.0
2020-10-02,1695,14.0
2020-10-03,1721,14.0
2020-10-04,1753,14.0
2020-10-05,1797,15.0
2020-10-06,1844,15.0
2020-10-07,1880,15.0
2020-10-08,1913,15.0
2020-10-09,1999,16.0
2020-10-10,2095,16.0
2020-10-11,2095,16.0
2020-10-12,2095,16.0
2020-10-13,2095,16.0
2020-10-14,2203,18.0
2020-10-15,2258,16.0
2020-10-16,2327,16.0
2020-10-17,2422,18.0
2020-10-18,2477,18.0
2020-10-19,2520,18.0
2020-10-20,2520,18.0
2020-10-21,2600,19.0
2020-10-22,2649,20.0
2020-10-23,2756,20.0
2020-10-24,2849,22.0
2020-10-25,2898,22.0
2020-10-26,2935,22.0
2020-10-27,2962,22.0
2020-10-28,3006,24.0
2020-10-29,3118,24.0
2020-10-30,3216,24.0
2020-10-31,3310,26.0
2020-11-01,3430,26.0
2020-11-02,3506,26.0
2020-11-03,3591,26.0
2020-11-04,3663,26.0
2020-11-05,3766,26.0
2020-11-06,3915,26.0
2020-11-07,4066,26.0
2020-11-08,4175,26.0
2020-11-09,4230,26.0
2020-11-10,4333,34.0
2020-11-11,4412,34.0
2020-11-12,4558,34.0
2020-11-13,4647,36.0
2020-11-14,4923,36.0
2020-11-15,4923,36.0
2020-11-16,5026,36.0
2020-11-17,5144,38.0
2020-11-18,5228,38.0
2020-11-19,5338,38.0
2020-11-20,5426,38.0
2020-11-21,5523,38.0
2020-11-22,5620,38.0
2020-11-23,5711,38.0
2020-11-24,5837,49.0
2020-11-25,5923,49.0
2020-11-26,6011,49.0
2020-11-27,6079,49.0
2020-11-28,6096,49.0
2020-11-29,6151,49.0
2020-11-30,6257,49.0
2020-12-01,6280,60.0
2020-12-02,6338,60.0
2020-12-03,6420,67.0
2020-12-04,6529,67.0
2020-12-05,6614,67.0
2020-12-06,6674,67.0
2020-12-07,6709,67.0
2020-12-08,6728,67.0
2020-12-09,6766,68.0
2020-12-10,6833,68.0
2020-12-11,6833,68.0
2020-12-12,6913,68.0
2020-12-13,6948,68.0
2020-12-14,6993,68.0
2020-12-15,7009,77.0
2020-12-16,7042,77.0
2020-12-17,7090,77.0
2020-12-18,7150,84.0
2020-12-19,7174,84.0
2020-12-20,7192,84.0
2020-12-21,7259,89.0
2020-12-22,7278,89.0
2020-12-23,7305,89.0
2020-12-24,7351,89.0
2020-12-25,7389,89.0
2020-12-26,7418,89.0
2020-12-27,7438,89.0
2020-12-28,7458,89.0
2020-12-29,7491,90.0
2020-12-30,7578,90.0
