date,cases,deaths
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,1,0
2020-06-18,1,0
2020-06-19,1,0
2020-06-20,1,0
2020-06-21,1,0
2020-06-22,1,0
2020-06-23,1,0
2020-06-24,1,0
2020-06-25,1,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,1,0
2020-07-01,1,0
2020-07-02,1,0
2020-07-03,1,0
2020-07-04,1,0
2020-07-05,1,0
2020-07-06,1,0
2020-07-07,1,0
2020-07-08,1,0
2020-07-09,2,0
2020-07-10,2,0
2020-07-11,2,0
2020-07-12,2,0
2020-07-13,2,0
2020-07-14,2,0
2020-07-15,2,0
2020-07-16,2,0
2020-07-17,3,0
2020-07-18,4,0
2020-07-19,4,0
2020-07-20,4,0
2020-07-21,4,0
2020-07-22,9,0
2020-07-23,10,0
2020-07-24,10,0
2020-07-25,10,0
2020-07-26,10,0
2020-07-27,10,0
2020-07-28,11,0
2020-07-29,14,0
2020-07-30,14,0
2020-07-31,14,0
2020-08-01,14,0
2020-08-02,15,0
2020-08-03,21,0
2020-08-04,21,0
2020-08-05,15,0
2020-08-06,14,0
2020-08-07,15,0
2020-08-08,15,0
2020-08-09,15,0
2020-08-10,15,0
2020-08-11,15,0
2020-08-12,15,0
2020-08-13,17,0
2020-08-14,17,0
2020-08-15,17,0
2020-08-16,17,0
2020-08-17,17,0
2020-08-18,18,0
2020-08-19,19,0
2020-08-20,19,0
2020-08-21,21,0
2020-08-22,21,0
2020-08-23,21,0
2020-08-24,20,0
2020-08-25,20,0
2020-08-26,22,0
2020-08-27,22,0
2020-08-28,24,0
2020-08-29,26,0
2020-08-30,27,0
2020-08-31,30,0
2020-09-01,30,0
2020-09-02,30,0
2020-09-03,32,0
2020-09-04,32,0
