date,cases,deaths
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,2,0
2020-06-03,2,0
2020-06-04,2,0
2020-06-05,2,0
2020-06-06,2,0
2020-06-07,2,0
2020-06-08,3,0
2020-06-09,3,0
2020-06-10,3,0
2020-06-11,3,0
2020-06-12,3,0
2020-06-13,3,0
2020-06-14,3,0
2020-06-15,3,0
2020-06-16,3,0
2020-06-17,3,0
2020-06-18,3,0
2020-06-19,3,0
2020-06-20,3,0
2020-06-21,3,0
2020-06-22,3,0
2020-06-23,3,0
2020-06-24,3,0
2020-06-25,3,0
2020-06-26,3,0
2020-06-27,3,0
2020-06-28,3,0
2020-06-29,4,0
2020-06-30,4,0
2020-07-01,5,0
2020-07-02,6,0
2020-07-03,6,0
2020-07-04,6,0
2020-07-05,6,0
2020-07-06,6,0
2020-07-07,6,0
2020-07-08,6,0
2020-07-09,8,0
2020-07-10,11,0
2020-07-11,12,0
2020-07-12,12,0
2020-07-13,13,0
2020-07-14,16,0
2020-07-15,17,0
2020-07-16,21,0
2020-07-17,22,0
2020-07-18,22,1
2020-07-19,26,1
2020-07-20,28,1
2020-07-21,31,1
2020-07-22,32,1
2020-07-23,36,1
2020-07-24,40,1
2020-07-25,43,1
2020-07-26,46,1
2020-07-27,47,1
2020-07-28,53,2
2020-07-29,56,2
2020-07-30,61,2
2020-07-31,68,2
2020-08-01,73,2
2020-08-02,73,2
2020-08-03,81,2
2020-08-04,83,2
2020-08-05,83,2
2020-08-06,84,2
2020-08-07,83,2
2020-08-08,83,2
2020-08-09,82,2
2020-08-10,87,2
2020-08-11,89,2
2020-08-12,89,2
2020-08-13,89,2
2020-08-14,89,2
2020-08-15,92,2
2020-08-16,94,2
2020-08-17,94,2
2020-08-18,94,2
2020-08-19,95,2
2020-08-20,97,2
